"cluster","label","cells","percentage"
"0","CD8 TEM",8693,87.896865520728
"0","CD4 TEM",296,2.99292214357937
"0","MAIT",284,2.87158746208291
"0","CD8 TCM",198,2.00202224469161
"0","CD4 TCM",147,1.48634984833165
"0","CD8 Naive",141,1.42568250758342
"0","gdT",105,1.06167846309403
"0","dnT",11,0.111223458038423
"0","CD4 CTL",7,0.070778564206269
"0","ILC",4,0.0404448938321537
"0","NK",2,0.0202224469160768
"0","Treg",2,0.0202224469160768
"1","CD4 TCM",7233,82.3710283566792
"1","CD8 TCM",407,4.63500740234597
"1","CD4 TEM",367,4.17947841931443
"1","CD8 Naive",322,3.66700831340394
"1","Treg",264,3.0064912880082
"1","CD4 Naive",102,1.16159890673044
"1","CD8 TEM",50,0.569411228789432
"1","ILC",15,0.17082336863683
"1","gdT",11,0.125270470333675
"1","dnT",8,0.0911057966063091
"1","HSPC",1,0.0113882245757886
"1","Plasmablast",1,0.0113882245757886
"2","CD8 TCM",6067,78.6696058091286
"2","CD8 TEM",809,10.4901452282158
"2","CD4 TEM",351,4.55134854771784
"2","CD4 TCM",227,2.94346473029046
"2","CD8 Naive",103,1.33558091286307
"2","MAIT",78,1.01141078838174
"2","gdT",39,0.505705394190871
"2","ILC",34,0.440871369294606
"2","NK_CD56bright",2,0.0259336099585062
"2","HSPC",1,0.0129668049792531
"2","Treg",1,0.0129668049792531
"3","CD4 TEM",2441,38.9562719438238
"3","CD4 TCM",1992,31.7906160229812
"3","ILC",981,15.6559208426428
"3","CD8 TCM",528,8.42642834344079
"3","MAIT",218,3.4790935205873
"3","CD8 TEM",103,1.64379189275455
"3","gdT",3,0.04787743376955
"4","CD8 TEM",2420,43.3225921947726
"4","gdT",1901,34.031507339778
"4","CD8 TCM",1054,18.8686000716076
"4","CD8 Naive",73,1.30683852488364
"4","NK",66,1.18152524167562
"4","MAIT",34,0.608664518438955
"4","CD4 TCM",30,0.537056928034372
"4","CD4 TEM",4,0.0716075904045829
"4","NK_CD56bright",2,0.0358037952022914
"4","Treg",1,0.0179018976011457
"4","dnT",1,0.0179018976011457
"5","CD4 TCM",3068,57.9086447716119
"5","CD4 TEM",1172,22.1215553038883
"5","CD8 TCM",687,12.9671574178935
"5","CD8 TEM",234,4.4167610419026
"5","MAIT",110,2.07625519063798
"5","ILC",17,0.320875802189505
"5","CD4 CTL",4,0.0755001887504719
"5","gdT",4,0.0755001887504719
"5","CD8 Naive",1,0.018875047187618
"5","NK",1,0.018875047187618
"6","CD4 TCM",3695,80.5186315101329
"6","Treg",691,15.0577467857921
"6","CD8 TEM",78,1.69971671388102
"6","CD4 TEM",66,1.4382218348224
"6","MAIT",17,0.370451078666376
"6","dnT",14,0.305077358901721
"6","ILC",13,0.28328611898017
"6","CD8 TCM",11,0.239703639137067
"6","CD8 Naive",3,0.0653737197646546
"6","gdT",1,0.0217912399215515
"7","CD4 TCM",2291,59.8954248366013
"7","MAIT",664,17.359477124183
"7","CD4 TEM",523,13.6732026143791
"7","CD8 TCM",123,3.2156862745098
"7","CD8 TEM",121,3.16339869281046
"7","ILC",41,1.0718954248366
"7","gdT",34,0.888888888888889
"7","CD8 Naive",23,0.601307189542484
"7","CD4 CTL",2,0.0522875816993464
"7","HSPC",2,0.0522875816993464
"7","NK",1,0.0261437908496732
"8","CD4 TCM",3335,95.5587392550143
"8","CD8 TEM",42,1.20343839541547
"8","CD4 TEM",31,0.888252148997135
"8","Treg",28,0.802292263610315
"8","CD8 TCM",16,0.458452722063037
"8","ILC",15,0.429799426934097
"8","dnT",13,0.372492836676218
"8","MAIT",8,0.229226361031519
"8","gdT",2,0.0573065902578797
"9","CD4 TCM",766,38.185443668993
"9","CD8 TEM",517,25.7726819541376
"9","CD8 TCM",368,18.3449651046859
"9","CD4 TEM",141,7.02891326021934
"9","ILC",65,3.24027916251246
"9","MAIT",56,2.79162512462612
"9","Treg",35,1.74476570289133
"9","gdT",34,1.69491525423729
"9","dnT",12,0.598205383848455
"9","CD8 Naive",7,0.348953140578265
"9","Plasmablast",3,0.149551345962114
"9","CD14 Mono",1,0.0498504486540379
"9","Eryth",1,0.0498504486540379
"10","CD8 TEM",781,89.3592677345538
"10","CD4 CTL",32,3.66132723112128
"10","NK",29,3.31807780320366
"10","gdT",12,1.37299771167048
"10","CD8 TCM",6,0.68649885583524
"10","MAIT",5,0.5720823798627
"10","CD4 TCM",3,0.34324942791762
"10","NK_CD56bright",3,0.34324942791762
"10","CD4 TEM",2,0.22883295194508
"10","CD8 Naive",1,0.11441647597254
"11","NK Proliferating",130,23.2974910394265
"11","CD4 TCM",123,22.0430107526882
"11","CD4 Proliferating",109,19.5340501792115
"11","CD8 Proliferating",90,16.1290322580645
"11","CD8 Naive",39,6.98924731182796
"11","CD8 TEM",34,6.09318996415771
"11","CD8 TCM",8,1.4336917562724
"11","Eryth",7,1.25448028673835
"11","CD4 TEM",6,1.0752688172043
"11","gdT",4,0.716845878136201
"11","HSPC",2,0.3584229390681
"11","MAIT",2,0.3584229390681
"11","NK",2,0.3584229390681
"11","ILC",1,0.17921146953405
"11","Plasmablast",1,0.17921146953405
"12","CD8 TEM",197,86.4035087719298
"12","gdT",24,10.5263157894737
"12","MAIT",4,1.75438596491228
"12","NK",2,0.87719298245614
"12","CD8 TCM",1,0.43859649122807
"13","HSPC",49,28.8235294117647
"13","dnT",30,17.6470588235294
"13","Plasmablast",24,14.1176470588235
"13","cDC2",16,9.41176470588235
"13","CD4 TCM",15,8.82352941176471
"13","pDC",13,7.64705882352941
"13","CD14 Mono",7,4.11764705882353
"13","B naive",5,2.94117647058824
"13","CD8 TEM",4,2.35294117647059
"13","Eryth",3,1.76470588235294
"13","CD16 Mono",2,1.17647058823529
"13","CD4 TEM",1,0.588235294117647
"13","gdT",1,0.588235294117647
