"cluster","label","cells","percentage"
"0","CD8 TEM",8693,87.896865520728
"1","CD4 TCM",7233,82.3710283566792
"2","CD8 TCM",6067,78.6696058091286
"3","CD4 TEM",2441,38.9562719438238
"4","CD8 TEM",2420,43.3225921947726
"5","CD4 TCM",3068,57.9086447716119
"6","CD4 TCM",3695,80.5186315101329
"7","CD4 TCM",2291,59.8954248366013
"8","CD4 TCM",3335,95.5587392550143
"9","CD4 TCM",766,38.185443668993
"10","CD8 TEM",781,89.3592677345538
"11","NK Proliferating",130,23.2974910394265
"12","CD8 TEM",197,86.4035087719298
"13","HSPC",49,28.8235294117647
