"pathway","pval","padj","log2err","ES","NES","size"
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN",0.00813123271291913,0.0523105724067585,0.380730400722792,-0.2921150148523,-1.39162737975961,171
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",8.28620985407516e-05,0.00188569355090402,0.538434096309916,0.40903621709135,1.77311147766666,146
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",3.82508627739026e-10,9.8043000899424e-08,0.814035837847908,0.521740153979247,2.26166636773284,146
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP",0.0299121476390921,0.124612625322821,0.352487857583619,-0.282399791038812,-1.34654009375816,173
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",1.63566565621429e-06,0.000100831541085615,0.643551836150722,0.441607575125239,1.93511246759825,157
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.0136383196176236,0.0747957393443995,0.380730400722792,-0.295400465079564,-1.38919639487316,159
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN",0.797222222222222,0.875219166416191,0.072003313661988,-0.204155778997472,-0.825914147457767,67
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP",0.989329268292683,0.996903276760887,0.0336033244336697,0.157630987644093,0.698986622082488,173
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN",0.508771929824561,0.671104902016689,0.0667426134241917,0.230451412676782,0.96908120730394,111
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP",0.29242819843342,0.501099692600548,0.128788713061714,-0.272030513740859,-1.10704896563811,63
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN",0.873015873015873,0.925702232550724,0.0413209506074822,0.185351216221188,0.797307104750065,130
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP",0.160686427457098,0.354279728215798,0.135002033828631,0.311572570376741,1.21342175479071,66
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN",0.0104949301364664,0.0616529671466722,0.380730400722792,0.438038108176466,1.564661960214,48
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP",0.863013698630137,0.918699255870434,0.0673623868166279,-0.180962100475613,-0.841858278877934,143
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN",0.643835616438356,0.766672756461337,0.0824344091527096,-0.207222683307069,-0.90795936932138,102
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP",0.936,0.966808555693235,0.0621124188949471,-0.173192284353126,-0.769597523543763,111
