"pathway","pval","padj","log2err","ES","NES","size"
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN",0.105515587529976,0.28952810678699,0.147331213699377,0.295246490611457,1.23400935484374,168
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",1.22221048201971e-05,0.000606740203574071,0.593325476396405,0.451313334551879,1.82745387655825,137
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",2.23639057091268e-07,2.72001003187254e-05,0.690132458796796,0.481906485315633,1.95986050691916,140
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP",0.0572109654350417,0.202390997448747,0.204294756516886,0.30921638748594,1.29518112293719,170
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",1.21120663358777e-05,0.000606740203574071,0.593325476396405,0.448159958073804,1.84714038442292,149
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.00649236427490685,0.0495845403413216,0.407017918923954,0.353370594959812,1.46092205398578,155
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN",0.588555858310627,0.754101725225494,0.0523759084097997,0.260371916230617,0.937070596849741,62
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP",0.998805256869773,1,0.0202691096367175,0.140020881730952,0.58672033090912,172
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN",0.943225806451613,0.976962646026633,0.0277292221875017,0.187215417692495,0.72983928180616,106
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP",0.0915300546448087,0.266323992731456,0.170932335370056,0.377903689743778,1.33288796007148,54
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN",0.82286432160804,0.908893351572126,0.0331626424471441,0.20382165247374,0.81648631872245,124
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP",0.130376344086022,0.326608739863323,0.139599673451922,0.352928457398376,1.27587519318189,65
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN",0.00168983465546292,0.0197402935418697,0.45505986738723,0.53060652758868,1.7977106283016,45
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP",0.969387755102041,0.989524009351957,0.0943563635421779,-0.161936394544809,-0.768322616544895,140
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN",0.72609819121447,0.851636769638456,0.0403295396423143,0.222338597434144,0.861252610300399,100
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP",0.172236503856041,0.383985816480096,0.116234148779716,0.300542004582828,1.17740897203098,109
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.5,0.695397369925672,0.0559428593065705,0.244074874781137,0.980283463199054,125
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",0.487593052109181,0.685114772567244,0.0567672387487446,0.241907454831477,0.983810929091395,140
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN",0.879474940334129,0.940982094727411,0.0273074724591201,0.192315294942429,0.806638358632056,176
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP",0.0970149253731343,0.275045228403437,0.157402899305283,0.308356648790098,1.2492786784681,138
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.44297719087635,0.651433570439184,0.0597317976364411,0.2416084716036,1.00810297457976,165
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",0.354300385109114,0.57725096234288,0.0739901439101341,0.27215698830056,1.06179679718676,104
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.244525547445255,0.469276839574425,0.0911073131586733,0.270417108588036,1.11797168000427,155
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP",0.798962386511025,0.893141546501869,0.0360729976388226,0.21451712838479,0.829066655271711,99
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN",0.253056234718826,0.478405288255662,0.0894366833718621,0.27192909570573,1.11492984092923,146
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP",0.524096385542169,0.712015893790184,0.0520570030732099,0.234753151870436,0.975749310647928,160
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.100371747211896,0.280662682008928,0.154190966581424,0.312587946009107,1.26413854524329,131
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",0.271186440677966,0.495055172194486,0.0850427463764322,0.265761963234021,1.10095455154561,158
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.00736280936787588,0.053945884901681,0.407017918923954,0.365441231024296,1.48620916735607,140
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP",0.359469240048251,0.582279786351564,0.070113215764256,0.252454067694222,1.04592512322098,153
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN",0.0628205128205128,0.212865513622024,0.20207170902116,0.338805818300034,1.32696763419216,108
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.86873508353222,0.932970765954655,0.0279402790995263,0.194669374269577,0.816246902657067,174
"GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.0117414952548579,0.072674776609267,0.380730400722792,-0.31844979979689,-1.45325102742964,92
"GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.693266832917706,0.82863748863459,0.0408229003677776,0.221456397250704,0.890523219922361,129
"GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.183291770573566,0.398086814214464,0.110122263835536,0.290896294761095,1.1778946484385,137
"GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.139013452914798,0.34104914192158,0.257206466468838,-0.254583106516183,-1.17824277194677,115
"GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.807317073170732,0.898147166927878,0.0326513265618535,0.204421340440058,0.845301866796737,156
"GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.348214285714286,0.57139299048977,0.0745500777420554,0.269353917239523,1.06871935034573,117
"GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.170454545454545,0.381972069846321,0.211400189384923,-0.260918688460733,-1.14717077956703,78
"GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.464864864864865,0.66981930903942,0.149207542435322,-0.213971836125462,-1.01510912240116,143
"GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.264080100125156,0.489614972221374,0.0883594442500905,0.278291937786531,1.11827183090063,127
"GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.0188439090678442,0.0992160363799375,0.352487857583619,0.333196452676394,1.38706458025052,161
"GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN",0.226600985221675,0.448682862475966,0.208955027549354,-0.240617072577072,-1.11374687530422,120
"GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP",0.271186440677966,0.495055172194486,0.0850427463764322,0.265527280039018,1.0999823449568,158
"GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN",0.68983268983269,0.825662559904288,0.0425023180036553,0.227809102150991,0.896191931254333,112
"GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP",0.920152091254753,0.964563655236883,0.0280810636309052,0.187283288563992,0.746474415917575,121
"GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN",0.189473684210526,0.406253624365011,0.237793834423688,-0.232476273183401,-1.11203885809098,145
"GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP",0.515566625155666,0.708132546589174,0.0543434390269162,0.240357229572338,0.971432390146851,134
"GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN",0.983516483516483,0.996212303207931,0.0978773277424561,-0.165324474307863,-0.789929307728385,156
"GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP",0.360208062418726,0.582583850953158,0.0738052724171275,0.273029769885368,1.05686804136304,102
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.0178790473377855,0.0952700605677178,0.352487857583619,0.332882181342073,1.38893936528069,165
"GSE10325_BCELL_VS_LUPUS_BCELL_UP",0.936657681940701,0.972022103805783,0.0302754424728262,0.186995095508172,0.682511608070761,69
"GSE10325_BCELL_VS_MYELOID_DN",0.0455729166666667,0.180253853319783,0.241339976815091,0.363515422500198,1.39829861260308,97
"GSE10325_BCELL_VS_MYELOID_UP",0.00121541243784853,0.0155208718667123,0.45505986738723,0.392892990769853,1.58855382309298,133
"GSE10325_CD4_TCELL_VS_BCELL_DN",0.800261096605744,0.893977091845452,0.0363018462359236,0.21727202479188,0.829004443885875,90
"GSE10325_CD4_TCELL_VS_BCELL_UP",0.000200464947803026,0.00473428141292097,0.518848077743792,0.398101197363128,1.6694529326087,177
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN",0.062111801242236,0.211606381683108,0.199915231309662,0.320779612861449,1.30388161566549,139
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP",0.0732919254658385,0.233049161693663,0.183023938384487,0.317150575257878,1.28913056783036,139
"GSE10325_CD4_TCELL_VS_MYELOID_DN",0.834862385321101,0.915600880204499,0.0344919215094074,0.211429189588172,0.806148762884823,91
"GSE10325_CD4_TCELL_VS_MYELOID_UP",1.14751894132633e-06,0.000113932237745972,0.643551836150722,0.437931128664981,1.84423158440759,183
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",0.00015617775517546,0.00389948656873298,0.518848077743792,0.431868453171632,1.70417803086252,115
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP",0.00206506306532042,0.0227812512761539,0.431707695803346,0.380591219616693,1.56864842350551,149
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",0.395256916996047,0.612544680017627,0.0697792517076235,0.277462738991431,1.04247996548285,82
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",0.0037143243940874,0.0343539699186981,0.431707695803346,0.358164274756676,1.4969799122937,168
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",0.0100028091568134,0.0655844562640122,0.380730400722792,0.380010922609133,1.4526537165446,92
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP",0.000255291776094244,0.00551997551421553,0.49849310876659,0.394424135915532,1.65403303169473,177
"GSE10325_MYELOID_VS_LUPUS_MYELOID_DN",0.00720935363910276,0.0531721637779713,0.407017918923954,0.350782869344784,1.46027513053793,161
"GSE10325_MYELOID_VS_LUPUS_MYELOID_UP",0.347469220246238,0.571093836654712,0.0782955249944794,0.306001125730327,1.07398176421683,53
"GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_DN",0.0478796169630643,0.184295631840511,0.241339976815091,0.396631525512804,1.39207012555129,53
"GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_UP",0.13,0.326341589267286,0.282013350011725,-0.245172406388161,-1.1666833661474,137
"GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN",0.27445652173913,0.498778848808692,0.0908241419007155,0.310518889341981,1.11511333713667,60
"GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP",0.477064220183486,0.67843245577102,0.134273452883202,-0.217516486592906,-1.00349647703747,117
"GSE10500_ARTHRITIC_SYNOVIAL_FLUID_VS_HEALTHY_MACROPHAGE_DN",0.372881355932203,0.593802879414131,0.147331213699377,-0.23156554683873,-1.04766194652058,90
"GSE10500_ARTHRITIC_SYNOVIAL_FLUID_VS_HEALTHY_MACROPHAGE_UP",0.0717948717948718,0.230442213792586,0.188204146308491,0.335503351861849,1.31403318667156,108
"GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN",0.121059268600252,0.314701438969017,0.140406238523342,0.311025247154377,1.24296057742285,122
"GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP",0.00297278339301105,0.0294553792403233,0.431707695803346,-0.334592467979042,-1.54264719498243,113
"GSE11057_CD4_CENT_MEM_VS_PBMC_DN",0.449579831932773,0.657015885356846,0.132147260608774,-0.221473222837016,-1.01107040679926,93
"GSE11057_CD4_CENT_MEM_VS_PBMC_UP",0.279041916167665,0.504083147735709,0.0828962134571565,0.260057050657076,1.08962142571048,171
"GSE11057_CD4_EFF_MEM_VS_PBMC_DN",0.655396618985696,0.800930557991813,0.0453152441270267,0.234544360849516,0.901333251950607,96
"GSE11057_CD4_EFF_MEM_VS_PBMC_UP",0.000808169856543123,0.0118070461023492,0.477270815362862,0.374404595807403,1.56480829758673,169
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN",0.126126126126126,0.321090321090321,0.13880510939114,0.31093091737936,1.22499024529927,114
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP",0.00622840482418498,0.0481735921616215,0.407017918923954,0.36476557762395,1.47700548118254,137
"GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN",0.000146413463114282,0.00374645233505934,0.518848077743792,0.416703704190601,1.71357450904014,147
"GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP",0.921592279855247,0.964585556901677,0.025411808387565,0.185841169515516,0.769945796082321,153
"GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN",0.0299043062200957,0.147102578120087,0.287857117255149,0.319517493807901,1.34052000346942,178
"GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP",0.39453125,0.612518517129517,0.0692836467392548,0.269659121939798,1.03727091822075,97
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN",1.55950039535835e-06,0.000141319033584459,0.643551836150722,0.440269895851293,1.84483411181157,172
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP",0.0106333026817918,0.068246724995933,0.380730400722792,0.368468082605819,1.47249568502209,120
"GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN",1.99789903499238e-06,0.000164145842307999,0.627256739718528,0.437797509346525,1.83862880059934,180
"GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP",0.223667100130039,0.444865266611872,0.10027910675413,0.296435002126046,1.1391735170716,96
"GSE11057_PBMC_VS_MEM_CD4_TCELL_DN",0.0223351923657268,0.114019633640358,0.352487857583619,0.331620506773251,1.38902282587177,170
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",0.0923295454545455,0.268270715388574,0.173747838999571,0.404823615917644,1.32115093724888,39
"GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN",0.561946902654867,0.73570282061785,0.119887845115423,-0.211919232619628,-0.969203116614234,105
"GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP",7.82948083164184e-05,0.00241078634467959,0.538434096309916,0.456175754020881,1.78363516175111,107
"GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN",0.979193758127438,0.993903115645731,0.0261841515946199,0.17254414869929,0.667899315745075,102
"GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP",0.781593406593407,0.882239425307871,0.03975964750879,0.23454987507097,0.816609555028952,51
"GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_DN",0.9818401937046,0.995758295262222,0.0220834140571177,0.169305902108902,0.701372390774353,158
"GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_UP",0.397755610972569,0.614298312904684,0.0667426134241917,0.25662852301894,1.03192407511675,128
"GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_DN",0.147308781869688,0.352165711939083,0.134273452883202,0.390924209128475,1.27110720528317,38
"GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_UP",0.472527472527473,0.674009420892214,0.118815039412263,-0.250279035266233,-0.992456809524985,52
"GSE11386_NAIVE_VS_MEMORY_BCELL_DN",0.403669724770642,0.618726927426755,0.147331213699377,-0.222217961608075,-1.02518638978156,117
"GSE11386_NAIVE_VS_MEMORY_BCELL_UP",0.00223671355369734,0.0242150182912596,0.431707695803346,0.377294078647264,1.52382799759775,132
"GSE11818_WT_VS_DICER_KO_TREG_DN",0.266009852216749,0.491348275790463,0.191892240384838,-0.228648156054797,-1.07049109770397,127
"GSE11818_WT_VS_DICER_KO_TREG_UP",0.600583090379009,0.761125837053571,0.054568064667094,0.295341681568438,0.91044217654186,29
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN",0.190416141235813,0.407555885223155,0.108394255853397,0.292134945884425,1.16746863588752,122
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",0.482926829268293,0.682579611966951,0.0564118388217596,0.24040620742709,0.994102746269937,156
"GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN",0.237074401008827,0.461716157289009,0.0949751525905595,0.283318352221845,1.13223458833026,122
"GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP",0.457627118644068,0.66398924312657,0.154190966581424,-0.211059610134989,-1.00470995549302,150
"GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN",0.00488976972064695,0.0408741059981914,0.407017918923954,0.380261947280618,1.51965351330226,122
"GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",0.00619308022223645,0.0480428939128454,0.407017918923954,0.376892968565883,1.48724157159328,115
