"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",82,0.616913295287151,2.49539007674384,1e-10,1.49066666666667e-07,1.2653391871124e-07,2232,"tags=70%, list=22%, signal=54%","55967/4708/4718/4714/1337/4729/4700/4701/1349/6391/7381/1347/1327/4702/4713/4704/1329/1345/4715/9167/4709/4540/790955/4724/1351/51142/4712/27069/4694/4717/126328/4707/4720/11315/1716/4695/6392/4696/4723/4716/29796/27089/4711/54949/374291/4726/7388/10975/6390/4539/4514/4710/54205/4519/4722/4728/1340",NA
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",77,0.605100897302468,2.38381251792545,4.11759117505166e-10,3.06897795580517e-07,2.60507473515053e-07,2234,"tags=62%, list=22%, signal=49%","55967/4831/4708/4718/4714/4729/7114/4700/4701/54539/6391/226/30968/3614/2023/51079/4702/4713/4704/4715/4709/4540/790955/4724/4712/4694/4717/126328/9605/4707/4720/4830/4695/3615/6392/4696/4723/4716/4711/374291/29922/4726/6390/4539/4710/4722/4728/1353",0.814035837847908
"GO:0031640","killing of cells of another organism",27,0.752609404068458,2.38369369999216,2.21031483168919e-08,5.49140440406338e-06,4.66132995398681e-06,615,"tags=41%, list=6%, signal=38%","10578/3958/4818/6370/5551/115362/2633/2999/2634/3002/3004",0.73376198835648
"GO:0141061","disruption of cell in another organism",27,0.752609404068458,2.38369369999216,2.21031483168919e-08,5.49140440406338e-06,4.66132995398681e-06,615,"tags=41%, list=6%, signal=38%","10578/3958/4818/6370/5551/115362/2633/2999/2634/3002/3004",0.73376198835648
"GO:0034341","response to type II interferon",74,0.611406766266823,2.3638106038301,1.95947329694083e-09,7.96614962174489e-07,6.7619954965079e-07,1813,"tags=54%, list=18%, signal=45%","199/10581/5292/115362/2633/5699/2634/5687/3659/10410/5689/834/5685/5691/965/5690/5698/149233/5683/115361/5682/6772/972/684/3594/6737/3113/8519/29927/5686/5692/5684/3965/5696/356/801/11140/5688/83666/6352",0.774939030136436
"GO:0098869","cellular oxidant detoxification",44,0.654492587884713,2.31757323216663,8.49209828874291e-08,1.58236098113576e-05,1.34317309319457e-05,1200,"tags=43%, list=12%, signal=38%","3043/3039/2168/3040/1192/241/10549/9446/7295/373156/2950/2882/847/5052/1728/4259/25824/4258/11315",0.704975715167238
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process",18,0.791412215167267,2.27518674290375,2.22552902017858e-06,0.000284359022235389,0.000241375635538956,1819,"tags=83%, list=18%, signal=68%","5699/5687/5689/5685/5691/5690/5683/5694/5682/5695/5686/5692/5684/5688/90007",0.627256739718528
"GO:0141060","disruption of anatomical structure in another organism",31,0.702080213884851,2.25450547656806,4.94712957419255e-07,7.37452115192969e-05,6.25979691394851e-05,615,"tags=35%, list=6%, signal=33%","10578/3958/4818/6370/5551/115362/2633/2999/2634/3002/3004",0.659444398037935
"GO:0160165","CD8-positive, alpha-beta T cell homeostasis",14,0.825726555477879,2.20293219791658,4.24100855933645e-06,0.00052682750770424,0.000447192860250627,1759,"tags=100%, list=18%, signal=83%","5699/5687/5689/5685/5691/5690/5698/5683/5682/5686/5692/5684/5696/5688",0.610526878385931
"GO:0002260","lymphocyte homeostasis",43,0.611933362568352,2.20051824443713,7.61380302628916e-06,0.000920241273880138,0.000781138648550161,1864,"tags=53%, list=19%, signal=44%","10673/8740/5699/27240/5687/5689/5685/5691/5690/5698/5683/5682/972/5518/355/10572/5686/5692/5684/3965/5696/5688/11035",0.610526878385931
