"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",82,0.63673025936754,2.3987223746367,1e-10,1.11725e-07,8.94844601186143e-08,2268,"tags=73%, list=24%, signal=56%","55967/440567/9167/1347/4708/1337/4709/1345/4694/4729/4715/4711/4695/4724/7384/6392/4704/4696/4713/7385/1349/4706/4707/7388/4714/4710/27069/1327/1340/4540/4728/51142/7381/4718/4700/29796/374291/1351/1350/11315/1329/4514/4541/4702/4712/126328/6391/6389/790955/54949/27089/4701/6390/4512/51103/4513/4698/4716/4705/4726",NA
"GO:0034341","response to type II interferon",71,0.64033280445166,2.37466285811229,3.73256754474759e-10,2.38297776535386e-07,1.90861023770286e-07,1125,"tags=51%, list=12%, signal=45%","199/10581/5699/5292/2633/5691/7294/2634/5685/5682/83666/3659/6772/3965/5698/5686/115362/5687/84166/5690/6352/5689/5683/11140/115361/972/5684/8519/6737/10410/356/10241/5688/5692/29927/801",0.814035837847908
"GO:0045061","thymic T cell selection",21,0.811546131341491,2.36639449719788,4.21040794815938e-08,1.4474087015634e-05,1.15928025267743e-05,952,"tags=76%, list=10%, signal=69%","1236/5699/5691/5685/915/5682/5698/5686/5687/5690/5689/5683/5684/4775/5688/5692",0.719512826338911
"GO:0141061","disruption of cell in another organism",28,0.765917857326588,2.36075987436243,3.08673945981915e-08,1.25405805872107e-05,1.00441896032269e-05,527,"tags=46%, list=6%, signal=44%","10578/3002/4818/2999/3958/4069/2633/5551/2634/3001/6375/115362/3004",0.719512826338911
"GO:0051384","response to glucocorticoid",48,-0.582118367972591,-2.29557794301107,2.31072126220323e-06,0.00035609011450987,0.000285205027079805,896,"tags=29%, list=10%, signal=26%","4537/178/5578/7040/5447/2908/10081/1843/2354/10018/5604/7538/687/678",0.627256739718528
"GO:0141060","disruption of anatomical structure in another organism",32,0.730686484857458,2.28001732517247,4.00064998757896e-08,1.4474087015634e-05,1.15928025267743e-05,527,"tags=41%, list=6%, signal=38%","10578/3002/4818/2999/3958/4069/2633/5551/2634/3001/6375/115362/3004",0.719512826338911
"GO:0160165","CD8-positive, alpha-beta T cell homeostasis",14,0.856755547789259,2.24614733779081,5.92134211797399e-07,0.000131922380379887,0.000105661248474886,952,"tags=93%, list=10%, signal=83%","5699/5691/5685/5682/5698/5686/5687/5690/5689/5683/5684/5688/5692",0.659444398037935
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process",18,0.788359198418694,2.22534789870503,1.81967768914452e-06,0.000312774599722571,0.000250512116312284,1277,"tags=83%, list=14%, signal=72%","5699/5691/5685/5682/5686/5687/5695/5690/5689/5683/5684/5694/5688/5692/23198",0.643551836150722
"GO:0001906","cell killing",100,0.554175460831362,2.15070275839357,1.0751519875702e-08,5.3387269249458e-06,4.27597311791886e-06,798,"tags=32%, list=9%, signal=30%","10578/3002/4818/2999/7305/3958/1191/4069/11151/2633/5551/2634/3122/3001/201633/3383/203068/6375/3965/409/10125/634/56253/3824/115362/3004/1130/2214/10870/3805/1773/1075",0.747739663149885
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",52,0.61190436454962,2.13949058500823,9.63065395388691e-07,0.000179330802166336,0.000143632311608795,2268,"tags=71%, list=24%, signal=54%","55967/4708/4709/4694/4729/4715/4711/4695/54539/4724/6392/4704/4696/4713/51079/4706/4707/4714/30968/4710/4540/4728/4718/4700/374291/4541/4702/4712/126328/6391/6389/4701/6390/4698/4716/4705/4726",0.643551836150722
"GO:0043029","T cell homeostasis",32,0.675936605675296,2.10917705965041,4.83560111244806e-06,0.000635597099162659,0.000509071946936924,1549,"tags=72%, list=17%, signal=60%","5699/27240/8740/50943/5691/5685/5682/3965/3718/5698/5686/5687/5690/5689/5683/5684/5688/5692/207/10572/5696/5366/11035",0.610526878385931
"GO:1901740","negative regulation of myoblast fusion",45,0.603754387272815,2.05152661324974,7.87942582258499e-06,0.000818910558165868,0.000655894107701103,2166,"tags=69%, list=23%, signal=53%","6142/6129/4736/6144/6136/6152/6132/6175/25873/6138/6164/11224/6170/6161/6171/6160/6157/6134/6147/6141/6176/23521/6135/6155/6143/6124/9045/6165/6173/6139/6125",0.593325476396405
