"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",0.157281553398058,0.281796116504854,0.154190966581424,0.289478134034577,1.20625340850482,81
"HALLMARK_ALLOGRAFT_REJECTION",0.0160205573351315,0.0626258150373324,0.352487857583619,0.331549184374921,1.43836706387106,102
"HALLMARK_ANDROGEN_RESPONSE",0.32484076433121,0.388004246284501,0.107554375265169,-0.299468472394636,-1.08607852536191,39
"HALLMARK_APICAL_JUNCTION",0.208333333333333,0.324365821094793,0.130105630751129,0.331490907448813,1.17926539024108,40
"HALLMARK_APOPTOSIS",0.379591836734694,0.42953813104189,0.0956031492204301,-0.246044881024073,-1.04068349915016,79
"HALLMARK_BILE_ACID_METABOLISM",0.22568093385214,0.324859095814846,0.126253987849115,0.397466413759416,1.19215311719885,19
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.67680608365019,0.709821014559955,0.0614364107201271,0.266042696854882,0.858497252718908,26
"HALLMARK_COAGULATION",0.000503937211672875,0.00309561430027623,0.477270815362862,0.631191204846766,1.93958531475325,21
"HALLMARK_COMPLEMENT",0.0902255639097744,0.193984962406015,0.204294756516886,0.316658355875081,1.29618514946165,72
"HALLMARK_DNA_REPAIR",0.254335260115607,0.341763005780347,0.117249716749792,0.258157139697973,1.11498824029131,97
"HALLMARK_E2F_TARGETS",1.66729964985382e-07,2.38979616479048e-06,0.690132458796796,-0.434576166699489,-2.05539526982213,162
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.052434456928839,0.161048689138577,0.271288554688953,0.452391426933082,1.48041187800126,27
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.358862144420131,0.41705600567745,0.103197466945307,-0.312696970223411,-1.06179152811852,31
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00305453119825742,0.0131344841525069,0.431707695803346,-0.47159697381557,-1.76652441404538,46
"HALLMARK_FATTY_ACID_METABOLISM",0.0247949230990497,0.0888484744382614,0.352487857583619,0.362678129883211,1.43490240726586,63
"HALLMARK_G2M_CHECKPOINT",5.68540922481956e-16,2.44472596667241e-14,1.02766987054358,-0.579367438639235,-2.66779835895498,135
"HALLMARK_GLYCOLYSIS",0.652452025586354,0.70138592750533,0.0687943095604775,-0.229220447082638,-0.904676784494197,60
"HALLMARK_HEME_METABOLISM",0.271784232365145,0.346384413638067,0.11776578836269,-0.267556693388277,-1.11360848496716,73
"HALLMARK_HYPOXIA",0.00116587727053146,0.00626659032910658,0.45505986738723,-0.43848414742433,-1.76360006983664,66
"HALLMARK_IL2_STAT5_SIGNALING",7.44868139467876e-05,0.000640586599942374,0.538434096309916,0.479739977493379,1.9053736858912,64
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.790352504638219,0.809170421415319,0.0530212512043078,0.236937462649704,0.787525127991093,29
"HALLMARK_INFLAMMATORY_RESPONSE",0.0654205607476635,0.166536659780553,0.241339976815091,0.364320303003973,1.38356637411701,52
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.234200743494424,0.324859095814846,0.120433371642259,0.314233472644554,1.14946746922485,44
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.060546875,0.166536659780553,0.257206466468838,0.301843549576131,1.30590175526939,100
"HALLMARK_KRAS_SIGNALING_UP",0.0836431226765799,0.189297593425944,0.211400189384923,0.372219357806979,1.36158010034423,44
"HALLMARK_MITOTIC_SPINDLE",4.35115483617795e-11,9.3549828977826e-10,0.851339057116899,-0.56513392661991,-2.45194499717293,96
