"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",0.0058589439884779,0.028041898909121,0.407017918923954,0.372934449456601,1.52734354199815,147
"HALLMARK_ALLOGRAFT_REJECTION",1.12967179757282e-08,2.65472872429613e-07,0.747739663149885,0.521836055059261,2.10656354304022,135
"HALLMARK_ANDROGEN_RESPONSE",0.411764705882353,0.523052464228935,0.144630528034484,-0.239409275663929,-1.02183101123452,75
"HALLMARK_APICAL_JUNCTION",0.0705289672544081,0.13328606876994,0.188204146308491,0.350206441776837,1.32828430691119,85
"HALLMARK_APICAL_SURFACE",0.0986547085201794,0.171732270386979,0.172324344900946,0.459747234481672,1.34015309314596,22
"HALLMARK_APOPTOSIS",0.0136976944768212,0.043941278311002,0.380730400722792,0.365138873280184,1.45600389175819,116
"HALLMARK_BILE_ACID_METABOLISM",0.576763485477178,0.645425805176842,0.11378726182188,-0.238064052331075,-0.954706992055276,58
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.398639455782313,0.520445956160242,0.0709609456938284,0.296836718885785,1.03654950261087,52
"HALLMARK_COAGULATION",0.00596636147002575,0.028041898909121,0.407017918923954,0.512238644039937,1.67573282721938,39
"HALLMARK_COMPLEMENT",0.00183414566307963,0.0123149780235347,0.45505986738723,0.412100311938977,1.64576947982613,117
"HALLMARK_DNA_REPAIR",0.0303398058252427,0.0838806396344946,0.287857117255149,0.336051586634116,1.3606783655614,137
"HALLMARK_E2F_TARGETS",0.498809523809524,0.58610119047619,0.05378728077603,0.238317985893855,0.986767511918185,160
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0398936170212766,0.09375,0.261663521711573,0.40692038103955,1.43999848904287,57
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.812420785804816,0.84852837628503,0.0341946045318573,0.214061668420122,0.812032195662947,87
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00988172806309117,0.0387034349137737,0.380730400722792,-0.348930546894935,-1.52834601521209,85
"HALLMARK_FATTY_ACID_METABOLISM",0.196102314250914,0.292043766040794,0.104343952581949,0.292877605333794,1.16964003719147,117
"HALLMARK_G2M_CHECKPOINT",0.709794437726723,0.758189513026272,0.0383205781976994,0.216923436303387,0.885475819136133,144
"HALLMARK_GLYCOLYSIS",0.0711656441717791,0.13328606876994,0.184706471207739,0.321959390581789,1.28624725254238,121
"HALLMARK_HEME_METABOLISM",0.625304136253041,0.683471962881231,0.0444181153081573,0.229639246949549,0.924730861203637,130
"HALLMARK_HYPOXIA",0.176361421694697,0.276299560655025,0.249246554383295,-0.256994041378416,-1.16805313928613,114
"HALLMARK_IL2_STAT5_SIGNALING",1.63059703885911e-06,2.55460202754593e-05,0.643551836150722,0.487214977539849,1.96242573353615,128
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0429362880886427,0.0960955019126764,0.257206466468838,0.420177367189957,1.43140456343951,46
"HALLMARK_INFLAMMATORY_RESPONSE",0.0008970538221545,0.00702692160687692,0.477270815362862,0.442474042311889,1.71600369977172,98
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.035264483627204,0.0901552162955866,0.271288554688953,0.374390831048286,1.42001233046927,85
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00317202728042071,0.0186356602724717,0.431707695803346,0.372153597847503,1.54092054119215,160
"HALLMARK_KRAS_SIGNALING_DN",0.00741282684491586,0.0316729874282769,0.407017918923954,-0.432138279431372,-1.63607782850357,41
"HALLMARK_KRAS_SIGNALING_UP",0.167253140064172,0.271065433897107,0.249246554383295,-0.279795850281083,-1.22631681234675,83
"HALLMARK_MITOTIC_SPINDLE",0.851428571428571,0.869937888198758,0.109250039480711,-0.176990604768374,-0.835465646308437,144
"HALLMARK_MTORC1_SIGNALING",0.0140238122269155,0.043941278311002,0.380730400722792,0.337190248791901,1.41704412376156,176
"HALLMARK_MYC_TARGETS_V1",0.000483128430434573,0.00567675905760624,0.49849310876659,0.388100313383137,1.63884084339141,190
"HALLMARK_MYC_TARGETS_V2",0.0701754385964912,0.13328606876994,0.195789002148949,0.382184772359736,1.34342012618116,54
"HALLMARK_MYOGENESIS",0.340314136125654,0.456993268511593,0.0770736734944102,0.29953771567676,1.0836170942377,64
"HALLMARK_NOTCH_SIGNALING",0.0737327188940092,0.13328606876994,0.204294756516886,0.518621321756081,1.4409048164571,18
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",6.07580702881238e-14,2.85562930354182e-12,0.954541630725724,0.550924042718372,2.3146455352363,179
"HALLMARK_P53_PATHWAY",0.0131699381645658,0.043941278311002,0.380730400722792,-0.29829237123667,-1.41106546410653,141
"HALLMARK_PEROXISOME",0.212628865979381,0.293928138265616,0.102821842840815,0.315699131437394,1.17995557789188,78
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.443742098609355,0.548838911437887,0.0621124188949471,0.265343091800622,1.00624488801517,88
"HALLMARK_PROTEIN_SECRETION",0.122166246851385,0.20506477150054,0.139599673451922,0.330742501152155,1.25446028828022,85
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.199714693295292,0.292043766040794,0.11331290842208,0.362990903122932,1.19736532064002,41
"HALLMARK_SPERMATOGENESIS",1,1,0.0277995594097672,0.0898519694972326,0.31014470586621,49
"HALLMARK_TGF_BETA_SIGNALING",0.557909604519774,0.639554912498277,0.0565299525056311,0.287774950520352,0.941424347907627,39
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000757492174627104,0.00702692160687692,0.477270815362862,-0.363413316813981,-1.69523629430944,127
