"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9907900","Proteasome assembly",50,0.677183757630992,2.5095774100107,1.50509947082579e-09,4.29204199097155e-07,4.10656863553674e-07,1759,"tags=66%, list=18%, signal=55%","5699/5687/5721/51371/5689/5702/5685/5704/5691/5690/5698/56984/5683/5694/5714/5682/9861/11047/5713/5710/10197/5695/5705/5719/5700/10213/5720/5686/5692/5684/5696/9491/5688",0.788186810800237
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",132,0.561007101046147,2.4414528795498,1e-10,4.2775e-08,4.09265505217767e-08,2704,"tags=61%, list=27%, signal=45%","6231/116832/5687/6204/5689/5702/5685/5704/5691/51065/6129/5690/65110/5683/6208/5694/5714/5682/6144/6142/9861/6203/6222/11047/6166/6122/5713/5695/5705/5719/9978/5700/6191/10921/10213/4116/6132/6139/5686/4736/6233/6134/8453/5692/5684/55110/6194/6223/6136/6209/6173/5688/6170/6207/6143/7314/6138/6171/6135/6154/5718/5706/6124/6141/65109/6189/5701/26986/22916/6147/6176/9939/51121/6159/9045/6175/6229/6228/5707/6188",NA
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",36,0.72287795166168,2.42311419668804,1.14830266883289e-08,2.45593233296635e-06,2.34980335951402e-06,1759,"tags=78%, list=18%, signal=64%","5699/5687/5721/5689/5702/5685/5704/5691/5690/5698/5683/5694/5714/5682/9861/11047/5713/5695/5705/5719/5700/10213/5720/5686/5692/5684/5696/5688",0.747739663149885
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",102,0.577875933681499,2.38793333941845,1e-10,4.2775e-08,4.09265505217767e-08,2704,"tags=60%, list=27%, signal=44%","6231/90701/116832/10952/6204/23480/60559/9789/51065/6129/1650/6208/6185/6746/6144/6142/6203/6748/6222/6166/6122/6184/6747/6191/28972/29927/6132/6139/4736/6233/6731/6134/6194/6223/6726/23478/6136/6209/6173/6170/6207/6143/58477/6138/6171/6135/6154/6124/6141/6189/6727/6147/6728/6176/51121/6159/9045/6175/6229/6228/6188",NA
"R-HSA-180585","Vif-mediated degradation of APOBEC3G",38,0.686421029821275,2.38168857367353,1.37223430596439e-07,1.26562279074336e-05,1.21093103651362e-05,1847,"tags=71%, list=18%, signal=58%","5687/60489/5689/5702/5685/5704/5691/5690/5683/5694/5714/5682/9861/11047/5713/5695/5705/5719/9978/5700/10213/5686/6233/5692/5684/5688/7314",0.690132458796796
"R-HSA-9824272","Somitogenesis",37,0.693802953120609,2.37186252532304,6.24731930710315e-08,9.71742121313953e-06,9.29749924537555e-06,1481,"tags=65%, list=15%, signal=55%","3955/5687/5689/5702/5685/5704/5691/4851/5690/5683/5694/5714/5682/9861/11047/5713/5695/5705/5719/5700/10213/5686/5692/5684",0.704975715167238
"R-HSA-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation",19,0.818045846945197,2.36469648422689,1.68304222592944e-07,1.30894784025694e-05,1.25238386708699e-05,1759,"tags=95%, list=18%, signal=78%","5699/5687/5721/5689/5685/5691/5690/5698/5683/5694/5682/5695/5720/5686/5692/5684/5696/5688",0.690132458796796
"R-HSA-5610780","Degradation of GLI1 by the proteasome",44,0.661112236700582,2.36406313018916,1.23793909271195e-07,1.24594928684126e-05,1.19210768990018e-05,1481,"tags=64%, list=15%, signal=54%","5687/5689/5702/5685/8945/5704/5691/5690/5683/5694/83737/5714/5682/9861/11047/5713/5695/5705/5719/9978/5700/5566/10213/8454/5686/6233/5692/5684",0.690132458796796
"R-HSA-5676590","NIK-->noncanonical NF-kB signaling",45,0.652398443636239,2.35788779432838,1.13090581021175e-07,1.21348499221605e-05,1.16104628501106e-05,1481,"tags=60%, list=15%, signal=51%","9040/5687/4791/5689/5702/5685/8945/5704/5691/5690/5683/5694/5714/5682/9861/11047/5713/5695/5705/5719/5700/10213/8454/5686/6233/5692/5684",0.704975715167238
"R-HSA-180534","Vpu mediated degradation of CD4",38,0.678022455494491,2.35254787483093,2.59236775557922e-07,1.64971312201753e-05,1.57842355195063e-05,1847,"tags=71%, list=18%, signal=58%","5687/5689/5702/5685/8945/5704/5691/5690/5683/5694/5714/5682/9861/11047/5713/5695/5705/920/5719/5700/10213/5686/6233/5692/5684/5688/7314",0.674962860011025
