"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9604323","Negative regulation of NOTCH4 signaling",42,0.729402597015792,2.44811488144376,5.13830765863638e-10,9.13208937669887e-08,7.25461953727752e-08,1696,"tags=71%, list=18%, signal=59%","5691/5685/5682/7534/9978/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/10460/6233/5704/207/5713/5708/7314/9861/5705",0.801215574617779
"R-HSA-5676590","NIK-->noncanonical NF-kB signaling",45,0.718449783872916,2.44513638559673,1.47223179699101e-09,1.9229612240698e-07,1.52761887122558e-07,1696,"tags=67%, list=18%, signal=55%","5691/5685/5682/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5971/5719/9040/4791/6233/5704/5713/5708/9039/7314/9861/5705",0.788186810800237
"R-HSA-9907900","Proteasome assembly",49,0.703046255003095,2.43361822516997,4.7507870399134e-10,9.13208937669887e-08,7.25461953727752e-08,1696,"tags=69%, list=18%, signal=57%","5699/51371/5691/5685/5682/5721/5715/5698/5686/5687/5695/5690/5689/5683/5684/5694/11047/10213/389362/5714/5700/5688/5692/5719/5710/10197/5704/9491/23198/5713/5696/5708/9861/5705",0.801215574617779
"R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",39,0.725796580817726,2.43320547887099,2.12722781519472e-09,2.2575205188754e-07,1.79339598929315e-07,1696,"tags=69%, list=18%, signal=57%","5691/5685/5682/9978/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/6233/5704/5713/5708/7314/9861/5705",0.774939030136436
"R-HSA-9929356","GSK3B-mediated proteasomal degradation of PD-L1(CD274)",41,0.717113583229983,2.38600245564802,4.23024708682454e-09,3.59147977671404e-07,2.8531060397161e-07,1696,"tags=68%, list=18%, signal=56%","5691/5685/5682/9978/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/6233/5704/5713/5708/10987/7314/9861/5705",0.761460801445585
"R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling",46,0.702719997792208,2.37836178483451,4.92044771466269e-10,9.13208937669887e-08,7.25461953727752e-08,1696,"tags=65%, list=18%, signal=54%","5691/5685/5682/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5971/5719/9040/4791/6233/5704/5713/5708/9039/7314/9861/5705",0.801215574617779
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",36,0.7331971951069,2.37498606048227,1.97819460362171e-08,9.8793365792637e-07,7.84823989416264e-07,1696,"tags=75%, list=18%, signal=62%","5699/5691/5685/5682/5721/5698/5686/5687/5695/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/5704/5713/5696/5708/9861/5705",0.73376198835648
"R-HSA-180585","Vif-mediated degradation of APOBEC3G",38,0.730401779898002,2.37360772608163,2.28499765706639e-09,2.28230942452866e-07,1.81308853410319e-07,1696,"tags=71%, list=18%, signal=58%","5691/5685/5682/9978/5686/60489/5687/5695/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/6233/5704/5713/5708/7314/9861/5705",0.774939030136436
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",102,0.604425628244557,2.36037145917437,1e-10,2.83e-08,2.24817918918758e-08,2701,"tags=78%, list=29%, signal=56%","6231/10952/6204/6142/6208/60559/6748/23480/6166/6731/6129/1650/6222/6122/4736/51065/6746/6203/28972/6144/6185/6727/6728/6136/6152/6132/6175/6138/200916/6207/6729/6170/29927/6233/6171/116832/6157/6184/6726/6134/6193/6209/6147/6191/6141/6232/6176/6188/9789/23521/6223/6194/6189/6135/6155/6143/6124/90701/9045/6745/6228/6201/6229/6173/2197/6230/6139/6125/6206/58477/3921/6234/6159/23478/6202/51121/6130/6227/6217/6154",NA
"R-HSA-72766","Translation",326,0.524346402761307,2.34687004046679,1e-10,2.83e-08,2.24817918918758e-08,2482,"tags=57%, list=27%, signal=44%","6231/10952/122704/6204/5691/6142/5685/6208/5464/116541/60559/5682/6748/64983/51642/51258/23480/9978/10480/11222/6166/51504/6731/10573/6129/1650/6222/55052/51264/7284/5686/54460/57129/51649/6122/4736/5687/5695/51065/5690/6746/29074/6203/28972/6144/5689/28957/6185/4706/55168/5683/6727/5018/6728/118487/64960/5684/6136/6152/5694/11047/6183/10213/28998/327/6132/5714/6175/27068/6138/200916/8666/64968/7965/64928/6207/5700/4540/84545/5688/51373/5692/219927/65003/5719/54534/116540/6729/1973/6170/56945/29927/6233/6171/9553/116832/51023/9669/1936/6157/8668/1938/6184/63931/6726/6134/6193/64951/5704/51318/6209/6147/6191/6141/60488/8892/128308/6232/65080/6176/6188/5713/51650/51386/8891/9789/23521/5708/6223/8663/6194/4514/6189/6135/4541/6155/6143/6124/2193/90701/9045/7314/1965/9861/5705/51253/6745/6228/65008/10667/27335/7323/92399/6201/6229/29093/55173/4512/6173/8664/8667/2197/6230/26986/57038/6139/6125/4513/26284/6206/65005/10102/79590/3646/58477/3921/85476/51069/54948/6234/64976/6159/54998/23478/23708/4539/5693",NA
"R-HSA-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2",41,0.703065901746765,2.33926257608229,1.85417420733517e-08,9.54056910319734e-07,7.57911975647147e-07,1696,"tags=66%, list=18%, signal=54%","5691/5685/5682/9978/5686/5687/5695/6500/5690/5689/5683/5684/5694/11047/10213/5714/5700/5688/5692/5719/6233/5704/5713/5708/7314/9861/5705",0.73376198835648
"R-HSA-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation",19,0.816673118334991,2.33660069438673,1.65039442210409e-07,4.37870270114491e-06,3.47848349411782e-06,952,"tags=84%, list=10%, signal=76%","5699/5691/5685/5682/5721/5698/5686/5687/5695/5690/5689/5683/5684/5694/5688/5692",0.690132458796796
