cluster,CellMarker2.0,genes,score,tissue
0,Natural regulatory T (Treg) cell,"REG4,NMUR1,ITGA1,EPSTI1,CISH,CD6,XCL2,PTGER2,IRF1,STAT1",1,blood
0,FOXP3+ natural regulatory T (Treg) cell,"REG4,NMUR1,ITGA1,EPSTI1,CISH,CD6,XCL2,PTGER2,IRF1,STAT1",0.33,blood
0,Exhausted T(Tex) cell,"REG4,NMUR1,ITGA1,EPSTI1,CISH,CD6,XCL2,PTGER2,IRF1,STAT1",1,intestine
1,(TEMRA) memory T,"KLRC1,KLRC2,CD160,ENTPD1,KLRD1,CCL4,TMIGD2,TRDC,TRGC1,HOPX,GZMA,HLA-DRB1",0.29,blood
1,Pan-B Terminal effector CD8+ T cell,"KLRC1,KLRC2,CD160,ENTPD1,KLRD1,CCL4,TMIGD2,TRDC,TRGC1,HOPX,GZMA,HLA-DRB1",0.25,blood
1,Gamma delta T cell,"KLRC1,KLRC2,CD160,ENTPD1,KLRD1,CCL4,TMIGD2,TRDC,TRGC1,HOPX,GZMA,HLA-DRB1",N.A,intestine
2,Pan-B Terminal effector CD8+ T cell,"KIR2DL4,FCER1G,TRDC,NMUR1,ITGA1,HOPX,CD160,TRGC2,TRGC1,GZMA,IL2RB,ENTPD1",0.25,blood
2,Cytotoxic CD8+ T cell,"KIR2DL4,FCER1G,TRDC,NMUR1,ITGA1,HOPX,CD160,TRGC2,TRGC1,GZMA,IL2RB,ENTPD1",0.22,blood
2,Gamma delta T cell,"KIR2DL4,FCER1G,TRDC,NMUR1,ITGA1,HOPX,CD160,TRGC2,TRGC1,GZMA,IL2RB,ENTPD1",N.A,intestine
3,CD8 T cell,"CD8A,CAPG,CD55,XCL2,ANXA1,XCL1,CD8B,SOCS1,CTSW,IFITM2,CXCR3,CXCR4",0.6,blood
3,Naive citotoxic T cell,"CD8A,CAPG,CD55,XCL2,ANXA1,XCL1,CD8B,SOCS1,CTSW,IFITM2,CXCR3,CXCR4",0.5,blood
3,T helper 1(Th1) cell ,"CD8A,CAPG,CD55,XCL2,ANXA1,XCL1,CD8B,SOCS1,CTSW,IFITM2,CXCR3,CXCR4",0.5,intestine
4,Cytotoxic CD4+ T cell,"IFITM1,CRIP1,EMP3,GZMB,CISH,IFITM3,CREM,ANXA1,ANXA2,TIMP1,S100A4,CAPG,PSMB10,ALOX5AP",0.5,blood
4,Pan-B Terminal effector CD8+ T cell,"IFITM1,CRIP1,EMP3,GZMB,CISH,IFITM3,CREM,ANXA1,ANXA2,TIMP1,S100A4,CAPG,PSMB10,ALOX5AP",0.25,blood
4,innate lymphoid cell,"IFITM1,CRIP1,EMP3,GZMB,CISH,IFITM3,CREM,ANXA1,ANXA2,TIMP1,S100A4,CAPG,PSMB10,ALOX5AP",1,intestine
5,Pan-B cell,"CCL20,CD40LG,CXCR6,RORA,IFI44,TMIGD2,CCR6,FABP5,ENTPD1,JAML,GPR34,SIRPG",0.24,blood
5,T helper 1(Th1) cell ,"CCL20,CD40LG,CXCR6,RORA,IFI44,TMIGD2,CCR6,FABP5,ENTPD1,JAML,GPR34,SIRPG",0.14,blood
5,T helper 17(Th17) cell ,"CCL20,CD40LG,CXCR6,RORA,IFI44,TMIGD2,CCR6,FABP5,ENTPD1,JAML,GPR34,SIRPG",0.25,intestine
6,CD8 T cell,"KLRD1,KLRC2,CXCR4,IL7R,SYTL3,CD55,KLRK1,GPR171,FAM129A,CD8A,CD8B,TXNIP",0.67,blood
6,Naive citotoxic T cell,"KLRD1,KLRC2,CXCR4,IL7R,SYTL3,CD55,KLRK1,GPR171,FAM129A,CD8A,CD8B,TXNIP",0.5,blood
6,Helper innate lymphoid cell,"KLRD1,KLRC2,CXCR4,IL7R,SYTL3,CD55,KLRK1,GPR171,FAM129A,CD8A,CD8B,TXNIP",0.5,intestine
7,Transitional memory T cell,"CXCL13,IL6ST,TOX2,TNFRSF4,MAF,PDCD1,IL6R,CTLA4,CD27,ICOS",1,blood
7,Terminal differentiated B cell,"CXCL13,IL6ST,TOX2,TNFRSF4,MAF,PDCD1,IL6R,CTLA4,CD27,ICOS",0.5,blood
7,Plasmablast,"CXCL13,IL6ST,TOX2,TNFRSF4,MAF,PDCD1,IL6R,CTLA4,CD27,ICOS",1,intestine
8,Naive CD4+ T cell,"CCR7,LEF1,SELL,GPR183,TXK,TCF7,PLAC8,FCMR,IL6ST,NOSIP,ZBTB16,RASGRP2,FOXP1,NDFIP1,LDHB",0.56,blood
8,Effector CD4+ memory T (Tem) cell,"CCR7,LEF1,SELL,GPR183,TXK,TCF7,PLAC8,FCMR,IL6ST,NOSIP,ZBTB16,RASGRP2,FOXP1,NDFIP1,LDHB",0.5,blood
