"pathway","pval","padj","log2err","ES","NES","size"
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN",0.317195325542571,0.561413786963225,0.0943563635421779,-0.234116206465149,-1.06921046834292,163
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.000383104592208709,0.0115692827783773,0.49849310876659,0.372415715558178,1.73976920260278,117
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",2.02265143925695e-05,0.00142523641995178,0.575610261071129,0.405842678000164,1.89506359676324,121
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP",0.260504201680672,0.50968669157804,0.106729884364606,-0.242369472586053,-1.1059066544936,162
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",0.000783302554185468,0.0186687108747537,0.477270815362862,0.332080917102701,1.58729068407558,139
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP",0.0948419301164725,0.318014802914682,0.186432558434075,-0.276338585211614,-1.24947896987611,150
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN",0.658886894075404,0.795854332001004,0.059989249649033,-0.229136983080613,-0.885561131111214,59
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP",0.129411764705882,0.365389082462253,0.158514105424824,-0.264934760683405,-1.20886971333579,162
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN",0.976525821596244,0.98767514486394,0.0541200569620232,0.155362394684284,0.706517177589082,99
"GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP",0.0809657246219744,0.292029193703293,0.287805130535564,0.34661996508432,1.37274288007651,47
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN",0.742214532871972,0.844918534025645,0.0526973085708419,-0.200672776227458,-0.876130858738614,118
"GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP",0.502692998204668,0.699711811414571,0.0732558655828455,-0.253083645039962,-0.978109408416575,59
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN",0.451990632318501,0.666480913903594,0.0934449219410994,0.250995803888139,0.985928184506572,46
"GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP",0.821247892074199,0.889883497050313,0.0468819856878333,-0.186761604146357,-0.833015056887606,130
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN",0.522968197879859,0.711749532908223,0.0704500850658419,-0.227111675121027,-0.96511068571608,100
"GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP",0.199652777777778,0.451703957913241,0.126875729929857,-0.270052049065367,-1.15167854434187,99
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN",0.184433164128596,0.434433177408721,0.130777137971974,-0.266571613469891,-1.17191869763993,120
