"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",83,0.600426698480045,2.51519376845672,1.26512557938654e-10,1.05098233768917e-07,8.1556057127312e-08,2588,"tags=72%, list=26%, signal=54%","55967/983/1345/4708/4713/4718/1351/4540/4711/1347/4728/4729/1349/4702/4700/4714/51142/1327/1337/7388/27069/7381/4710/4709/4724/4726/4694/27089/10975/4725/9167/6390/7385/1329/1716/4712/4698/4519/4695/4512/54949/1340/126328/54205/4707/29796/6391/4535/11315/4723/374291/1350/4514/4715/4696/4704/4706/440567/4513/4538",0.826657301178302
"GO:0141060","disruption of anatomical structure in another organism",30,0.720017997722152,2.4595056180486,6.2218339363891e-08,1.9545445958989e-05,1.51672340252167e-05,1409,"tags=60%, list=14%, signal=52%","10578/4069/6375/2633/3958/2634/2999/115362/4818/4814/3001/6223/5551/6364/1460/3002/3004/3151",0.704975715167238
"GO:0031640","killing of cells of another organism",26,0.741971137387782,2.44875206027512,1.09772818208171e-07,2.45506907922574e-05,1.90512958112193e-05,598,"tags=54%, list=6%, signal=51%","10578/4069/6375/2633/3958/2634/2999/115362/4818/4814/3001/6223/5551/6364",0.704975715167238
"GO:0141061","disruption of cell in another organism",26,0.741971137387782,2.44875206027512,1.09772818208171e-07,2.45506907922574e-05,1.90512958112193e-05,598,"tags=54%, list=6%, signal=51%","10578/4069/6375/2633/3958/2634/2999/115362/4818/4814/3001/6223/5551/6364",0.704975715167238
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",52,0.628159579043222,2.36574774979277,3.17770998904564e-08,1.17490896618292e-05,9.11727431843337e-06,3118,"tags=81%, list=31%, signal=56%","55967/4708/4713/4718/54539/4540/4711/4728/4729/4702/4700/4714/4710/4709/4724/4726/4694/4725/30968/6390/4712/51079/4698/4695/126328/4707/6391/4535/4723/374291/4715/4696/4704/4706/4538/6392/4722/4705/4539/4508/4720/4717",0.719512826338911
"GO:0032663","regulation of interleukin-2 production",49,0.618577897494962,2.3039709827746,3.93764236195834e-07,6.07347389139298e-05,4.71300578406274e-05,1444,"tags=53%, list=14%, signal=46%","6375/2633/5699/5144/920/301/5682/5685/729230/5691/7189/5690/5686/5689/50943/5698/5621/5683/7805/11146/5142/30968/5684/10524/84636/84433",0.674962860011025
"GO:0071357","cellular response to type I interferon",90,0.529965256819074,2.2386616736666,2.83569770402013e-08,1.15309780273473e-05,8.94802004760471e-06,1899,"tags=49%, list=19%, signal=40%","6772/5721/10581/5682/5685/10410/9641/5691/3429/10010/5690/5686/79594/5689/5694/9636/5700/3654/5719/5683/5704/5695/5717/5720/389856/5714/10213/5713/3454/5684/5705/11047/5770/5707/7187/11140/4615/8519/8638/5701/81030/9470/9861/253943",0.73376198835648
"GO:0002468","dendritic cell antigen processing and presentation",11,0.821181371576187,2.14313400431479,3.16621403540838e-05,0.00217884236621257,0.00169077810461544,609,"tags=55%, list=6%, signal=51%","7057/3122/968/3123/50856/972",0.557332238758646
"GO:0051099","positive regulation of binding",25,0.654963231330777,2.13619032029765,6.72106684876066e-05,0.00393623758661908,0.00305451391492292,1660,"tags=48%, list=17%, signal=40%","7295/5914/285381/6737/387082/2625/64400/8721/5329/151636/9693/83666",0.538434096309916
"GO:0006968","cellular defense response",30,0.623804023084239,2.13084881793338,5.72270120847656e-05,0.00345914087912374,0.00268428765196501,591,"tags=37%, list=6%, signal=35%","10578/1235/3805/4046/7305/3959/10803/729230/3688/6693/5551",0.557332238758646
"GO:0046034","ATP metabolic process",143,0.455849820322784,2.10603251831273,7.72605654224905e-08,2.1599156820925e-05,1.67609102876295e-05,2325,"tags=45%, list=23%, signal=35%","55967/481/3565/7114/5236/2597/5230/4708/3939/4713/4718/54539/4540/4711/2023/4728/4729/5315/4702/523/7351/4700/7167/4714/526/4710/4709/3312/4724/402/4726/3692/4694/572/29789/4725/3303/30968/6390/5223/271/11164/4712/51079/4698/2821/4695/64223/4967/226/11182/126328/10165/4707/51024/6391/28964/4535/4723/374291/3458/4715/4696/1353/4704",0.704975715167238
"GO:0160165","CD8-positive, alpha-beta T cell homeostasis",14,0.769660678642715,2.10599396148406,4.40259444490907e-05,0.0028132578502969,0.00218308348032895,2322,"tags=100%, list=23%, signal=77%","5699/5682/5685/5691/5690/5686/5689/5698/5683/5684/5692/5696/5687/5688",0.557332238758646
"GO:0070661","leukocyte proliferation",155,0.450818748707578,2.08790267566013,1.23552470195321e-08,5.99090341689182e-06,4.64893123119963e-06,901,"tags=33%, list=9%, signal=30%","199/1191/3595/10673/8740/2323/6375/3965/3109/2214/1435/952/3559/3958/7940/3565/3560/920/3123/3558/7305/126259/10125/259307/301/26191/7412/10859/5880/5130/6504/3594/3561/729230/2950/6693/7189/4067/972/6352/50943/3113/5621/959/51237/7805/23529/3115/4609/4478/11146",0.747739663149885
"GO:0002366","leukocyte activation involved in immune response",188,0.435692632958831,2.07386118388062,1.33934795816942e-08,5.99090341689182e-06,4.64893123119963e-06,822,"tags=30%, list=8%, signal=28%","2207/1235/2242/51744/3122/2776/3965/3109/2214/7462/3958/5699/6095/3565/3123/3558/6775/7305/301/5682/5685/10859/5880/5130/6504/3956/3594/8673/80149/5293/729230/4853/27040/4818/6482/8807/5691/3955/6097/6693/11151/5690/5686/5689/3430/5914/4067/972/50943/10538/5698/2625/5683/3554/959/23529",0.747739663149885
"GO:0002501","peptide antigen assembly with MHC protein complex",16,0.7106942873299,2.05130873358783,0.00035026161225556,0.0137431595756063,0.0106646693028385,1854,"tags=56%, list=18%, signal=46%","3122/3109/3123/55080/3113/3115/567/3108/6892",0.49849310876659
"GO:0071677","positive regulation of mononuclear cell migration",52,0.54066948762106,2.03624630809478,3.49845485549206e-05,0.00237099826797212,0.00183989076939827,1263,"tags=31%, list=13%, signal=27%","199/7057/1235/6375/3965/1435/719/3958/729230/6693/6364/6352/10488/4739/387/158747",0.557332238758646
"GO:1902600","proton transmembrane transport",117,0.445750481538891,2.00050409170166,2.82936575500457e-06,0.000281238956047454,0.00021824096888501,2325,"tags=49%, list=23%, signal=38%","486/55967/481/440400/4708/4713/4718/1351/4540/4711/4728/4729/1349/4702/523/7351/4700/9296/9114/4714/1327/526/7388/27069/4710/4709/5250/4724/4726/9550/4694/4725/9167/8992/292/1329/53827/4712/4698/84329/4519/4695/533/4512/1340/150159/10165/4707/29796/4535/535/4723/374291/4514/4715/4696/4704",0.627256739718528
"GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",61,-0.491070652594536,-1.95622814336115,0.000144818027788005,0.00724359264485642,0.00562101601868789,1311,"tags=31%, list=13%, signal=27%","26233/26262/130888/8945/150726/6468/26268/84961/79176/26224/55030/54850/196394/80028/54461/26232/23291/4008/114907",0.518848077743792
