"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",0.000197818887523356,0.00116218596419971,0.518848077743792,0.379744093343349,1.76716550686993,150
"HALLMARK_ALLOGRAFT_REJECTION",2.6721732640713e-06,3.13980358528377e-05,0.627256739718528,0.416441914484738,1.93609871187018,147
"HALLMARK_ANDROGEN_RESPONSE",0.329918032786885,0.394838056680162,0.104343952581949,-0.250381393658269,-1.06714820860416,81
"HALLMARK_APICAL_JUNCTION",0.0992217898832685,0.145732003891051,0.197822021315103,0.293870086765412,1.26674381529816,93
"HALLMARK_APICAL_SURFACE",0.0755813953488372,0.12686877076412,0.227987202850442,0.439328270605969,1.40949634530258,23
"HALLMARK_APOPTOSIS",0.0685185185185185,0.12686877076412,0.234392647294686,0.277826053520707,1.25636997312813,127
"HALLMARK_BILE_ACID_METABOLISM",0.856610800744879,0.880052649456522,0.0494904866135495,0.199026336913257,0.784339569495566,62
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00160110930060426,0.00752521371284002,0.45505986738723,0.466335343289653,1.80553705402196,58
"HALLMARK_COAGULATION",0.0594370097892506,0.116397477503949,0.321775918075361,0.381973037491995,1.41441145456166,45
"HALLMARK_COMPLEMENT",0.0339135245389717,0.0759016977776985,0.321775918075361,0.301001542937104,1.3551602538536,121
"HALLMARK_DNA_REPAIR",0.0020424312487715,0.00872675169929639,0.431707695803346,0.351684357886711,1.60772721259447,139
"HALLMARK_E2F_TARGETS",0.0312265688531063,0.0733824368047998,0.352487857583619,0.282683035407849,1.33532209290574,168
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00443008118450086,0.0130133634794713,0.407017918923954,0.406911015563085,1.62222244112631,66
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0892116182572614,0.138365173817726,0.216542836735348,-0.289841777504549,-1.26064262650469,96
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00309274529133751,0.0121132523910719,0.431707695803346,-0.373459349114949,-1.63394852927982,95
"HALLMARK_FATTY_ACID_METABOLISM",0.0192188832335226,0.0501826395541978,0.352487857583619,0.311444885047417,1.38451779531268,115
"HALLMARK_G2M_CHECKPOINT",0.0856610800744879,0.138365173817726,0.208955027549354,0.261734251729034,1.2234570065464,154
"HALLMARK_GLYCOLYSIS",0.323863636363636,0.394838056680162,0.100633389423036,0.238370563260786,1.07060218589761,123
"HALLMARK_HEME_METABOLISM",0.346808510638298,0.397560975609756,0.103576326612592,-0.227551954659244,-1.04210942916813,133
"HALLMARK_HYPOXIA",0.0748440748440748,0.12686877076412,0.237793834423688,-0.278809320286819,-1.25242330167219,115
"HALLMARK_IL2_STAT5_SIGNALING",0.00431610054300967,0.0130133634794713,0.407017918923954,0.336457272368718,1.54794450686285,142
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00335731450438475,0.0121379832081602,0.431707695803346,0.445745177857787,1.70213670679227,52
"HALLMARK_INFLAMMATORY_RESPONSE",1.83728188588184e-05,0.000143920414394077,0.575610261071129,0.429691886322583,1.89566047834294,110
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00363479770526763,0.0122025351533985,0.431707695803346,0.381130451533897,1.61282159084425,87
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8.85605733494618e-06,8.32469389484941e-05,0.593325476396405,0.396240338218843,1.86685807104862,165
"HALLMARK_KRAS_SIGNALING_DN",0.336032388663968,0.394838056680162,0.102449405629826,-0.277097170261624,-1.07666403250581,50
"HALLMARK_KRAS_SIGNALING_UP",0.0518234165067179,0.110713662537079,0.276500599254472,0.310876475837585,1.34634441904328,97
"HALLMARK_MITOTIC_SPINDLE",0.569296375266525,0.622254177616899,0.0756946307932749,-0.205662166930311,-0.963741604598178,157
"HALLMARK_MTORC1_SIGNALING",2.33906430750221e-07,3.66453408175346e-06,0.690132458796796,0.414212588635348,1.9634159487509,177
"HALLMARK_MYC_TARGETS_V1",6.7375152839902e-09,1.5833160917377e-07,0.761460801445585,0.434205249737842,2.08048428736869,190
"HALLMARK_MYC_TARGETS_V2",0.99402390438247,0.99402390438247,0.04577044581081,0.147060910482239,0.561283183815316,54
"HALLMARK_MYOGENESIS",0.123076923076923,0.175291375291375,0.175204047558551,0.306128475827141,1.2570293365033,74
"HALLMARK_NOTCH_SIGNALING",0.513347022587269,0.574459763371468,0.0791316651768349,-0.315259171078051,-0.956765966414388,19
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.17624642756499e-16,4.31283582095554e-14,1.01754479730988,0.531811319895691,2.52962305460969,180
