"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",0.0283406028886064,0.0888005557176333,0.352487857583619,0.275511661708847,1.32315585350384,140
"HALLMARK_ALLOGRAFT_REJECTION",6.05806254714643e-05,0.000711822349289706,0.557332238758646,0.378752892294133,1.81423206515457,134
"HALLMARK_ANDROGEN_RESPONSE",0.0581196581196581,0.143633276740238,0.245041785430996,-0.342149828476711,-1.38780583644017,72
"HALLMARK_APICAL_JUNCTION",0.302158273381295,0.38245931283906,0.120433371642259,0.25381055251279,1.08732133146035,72
"HALLMARK_APICAL_SURFACE",0.012826838670091,0.0548055834085705,0.380730400722792,0.545241938074674,1.63295683426476,17
"HALLMARK_APOPTOSIS",0.316353887399464,0.38245931283906,0.125033367555272,0.229314827165778,1.06715307498402,113
"HALLMARK_BILE_ACID_METABOLISM",0.428235294117647,0.47921568627451,0.096887770327544,0.257477640923761,1.01657460250311,52
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.325497287522604,0.38245931283906,0.09754492162472,-0.292265229285093,-1.08445979723111,47
"HALLMARK_COAGULATION",0.153679653679654,0.238976410769359,0.165656695205483,0.341957460622272,1.23829738940929,35
"HALLMARK_COMPLEMENT",0.025153945226362,0.0888005557176333,0.352487857583619,0.290941590425161,1.35522806286832,115
"HALLMARK_DNA_REPAIR",0.118863049095607,0.192640114051501,0.208955027549354,0.251863637821026,1.19754819242882,131
"HALLMARK_E2F_TARGETS",0.869354838709677,0.888253856942497,0.0422468188360053,-0.179635118477962,-0.821252065126058,145
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0818181818181818,0.149557277255119,0.237793834423688,0.33891410694022,1.33338178794594,49
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0283322602382414,0.0888005557176333,0.352487857583619,-0.337225569380229,-1.40319843457508,81
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0611205432937182,0.143633276740238,0.237793834423688,-0.33112673136833,-1.36517302237856,78
"HALLMARK_FATTY_ACID_METABOLISM",0.157622739018088,0.238976410769359,0.179782316298324,0.254065540487955,1.17546030686207,107
"HALLMARK_G2M_CHECKPOINT",0.710569105691057,0.742149954832882,0.0518457624865066,-0.198278123893286,-0.898259748984974,131
"HALLMARK_GLYCOLYSIS",0.320251177394035,0.38245931283906,0.0902635484340068,-0.240515629243197,-1.06377576586984,110
"HALLMARK_HEME_METABOLISM",0.168300653594771,0.24719158496732,0.135002033828631,-0.257213806951938,-1.15716888085994,126
"HALLMARK_HYPOXIA",0.000608009193114956,0.00476273867940048,0.477270815362862,-0.385073451743113,-1.68315906762649,105
"HALLMARK_IL2_STAT5_SIGNALING",0.000172564319869296,0.00162210460677138,0.518848077743792,0.36346141795581,1.72797940459503,128
