"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",133,0.571182442749057,2.57741256693577,1e-10,2.85e-08,2.2099798729343e-08,3419,"tags=83%, list=34%, signal=55%","6231/5682/5685/6204/5691/6176/51065/5690/5686/2107/5689/5694/6223/5700/5719/5683/5704/5695/8861/5717/9978/6203/5714/6222/7316/10213/5713/5684/6191/5705/11047/5707/6142/6136/6129/6170/65109/6233/6132/5701/6134/6124/6229/6143/6224/6228/6122/6175/4736/6159/23053/4116/6207/6208/6217/6166/9861/6141/6146/6144/9045/6154/7311/6205/2197/5692/6158/6138/6135/3921/5702/5687/5688/65110/6194/6189/6167/22916/7314/116832/6133/200916/6152/9349/6168/6130/55110/6155/5706/6206/6209/1605/6202/6193/6218/6201/5718/10921/6157/26986/51121/9939/23521/6230/6234/6128/6125/6210/6188/8453",NA
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",102,0.592171355199173,2.55278921571661,1e-10,2.85e-08,2.2099798729343e-08,3414,"tags=85%, list=34%, signal=57%","6231/10952/6204/6176/23480/51065/9789/6223/90701/55176/6748/60559/6747/6203/6222/6728/28972/6191/6727/6746/6142/6136/6129/6170/6233/6132/6731/6134/6124/6229/6184/6143/6224/6228/6122/6175/4736/6159/1650/6207/6208/6217/6166/6141/23478/6146/6144/9045/6154/7311/6205/2197/6185/6158/6138/6135/3921/6194/6189/6167/116832/6133/200916/6152/9349/58477/6168/6130/6155/6206/6209/6202/6729/6193/6218/6201/6726/6157/51121/23521/6230/6234/6128/6125/6210/29927/6188",NA
"R-HSA-9948299","Ribosome-associated quality control",129,0.556660920916346,2.54173823666456,1e-10,2.85e-08,2.2099798729343e-08,3419,"tags=81%, list=34%, signal=54%","6231/53918/5682/5685/6204/5691/6176/51065/5690/5686/5689/5694/6223/5700/5719/5683/5704/5695/5717/9978/7323/6203/5714/6222/7316/10213/5713/5684/6191/5705/11047/5707/6142/6136/6129/6170/6233/6132/25898/5701/6134/6124/6229/6143/6224/6228/6122/6175/4736/6159/6207/6208/6217/6166/9861/6141/6146/6144/9045/6154/7311/6205/2197/5692/6158/6138/6135/3921/5702/5687/5688/6194/6189/6167/22980/6059/7314/116832/6133/200916/6152/9349/6168/6130/9147/6155/5706/6206/6209/23008/6202/6193/6218/6201/5718/6157/51121/23521/6230/6234/6128/6125/6210/6188/8453",NA
"R-HSA-5678895","Defective CFTR causes cystic fibrosis",45,0.661053021698822,2.49693898423906,3.31333868549254e-08,1.61880261491207e-06,1.25527059551196e-06,2871,"tags=84%, list=29%, signal=61%","5682/5685/5691/5690/5686/5689/5694/5700/5719/10613/5683/5704/5695/5717/51009/5714/7316/10213/5713/5684/5705/11047/5707/6233/6048/5701/9861/7311/10956/5692/5702/5687/5688/7314/79139/5706/11160/6400",0.719512826338911
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",36,0.72025250211485,2.49302960381472,8.59259893594228e-10,1.33575856186012e-07,1.03578931116159e-07,2322,"tags=86%, list=23%, signal=66%","5721/5699/5682/5685/5691/5690/5686/5689/5694/5700/5698/5719/5683/5704/5695/5717/5720/5714/10213/5713/5684/5705/11047/5707/5701/9861/5692/5696/5702/5687/5688",0.801215574617779
"R-HSA-9931269","AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)",51,0.648000159723628,2.48204093187531,9.83937418749603e-09,6.23160365208082e-07,4.83218198147455e-07,3011,"tags=80%, list=30%, signal=57%","5682/5685/5691/5690/5686/5689/5694/5700/5719/10613/5683/5704/5695/5717/51009/5714/7316/10213/5713/5684/5705/11047/5707/6233/6048/5701/9861/7311/10956/5692/5702/5687/5688/7314/79139/5706/5564/11160/6400/5718/5571",0.747739663149885
"R-HSA-5362768","Hh mutants are degraded by ERAD",41,0.677512161822265,2.48096698198048,1.98496982454943e-08,1.0607182499936e-06,8.22514380119281e-07,2414,"tags=78%, list=24%, signal=60%","5682/5685/5691/5690/5686/5689/5694/5700/5719/5683/5704/5695/5717/51009/5714/7316/10213/5713/5684/5705/11047/5707/6233/5701/9861/7311/10956/5692/5702/5687/5688/7314",0.73376198835648
"R-HSA-5619084","ABC transporter disorders",51,0.647290018539307,2.4793208716092,1.07967097927266e-08,6.36633577433186e-07,4.93665751775965e-07,2510,"tags=75%, list=25%, signal=56%","19/5682/5685/5691/5690/5686/5689/5694/5700/5719/10613/5683/5704/5695/5717/51009/5714/7316/10213/5713/5684/5705/11047/5707/6233/6048/5701/215/9861/7311/10956/5692/5702/5687/5688/55788/7314/79139",0.747739663149885
"R-HSA-180585","Vif-mediated degradation of APOBEC3G",38,0.691491209227552,2.47628968176487,3.93385345777151e-08,1.72073040278153e-06,1.3343086164538e-06,2414,"tags=82%, list=24%, signal=62%","5682/5685/5691/5690/5686/5689/5694/5700/5719/5683/5704/5695/5717/9978/5714/7316/10213/5713/5684/5705/11047/5707/6233/5701/9861/7311/5692/5702/5687/5688/7314",0.719512826338911
"R-HSA-5387390","Hh mutants abrogate ligand secretion",42,0.674839123368702,2.47437892456948,9.23661327927585e-09,6.07484950290835e-07,4.71062987106399e-07,2414,"tags=76%, list=24%, signal=58%","5682/5685/5691/5690/5686/5689/5694/5700/5719/5683/5704/5695/5717/51009/5714/7316/10213/5713/5684/5705/11047/5707/6233/5701/9861/7311/10956/5692/5702/5687/5688/7314",0.747739663149885
