"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",132,0.546733345980385,2.58490960685867,1e-10,1.12266666666667e-08,1.12266666666667e-08,2256,"tags=64%, list=26%, signal=48%","6231/5685/5691/5690/5689/5694/6204/6208/9978/6142/6203/5714/5719/6129/5682/4736/6143/11047/51121/6207/5693/6217/6222/51065/6229/6233/6170/6134/6152/5695/6132/6138/6141/6158/6224/6159/200916/9045/2197/4116/5686/5717/6122/3921/5713/6228/6136/6157/5705/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/7316/2107/6223/6144/5683/6176/5700/6206/7311/5702/6191/6189/5692/6133/7314/6210/6188/6202/26019/6130/6125/6146",NA
"R-HSA-156902","Peptide chain elongation",79,0.587015730952869,2.56324512973652,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=80%, list=28%, signal=58%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/1915/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",NA
"R-HSA-72764","Eukaryotic Translation Termination",82,0.585490815752005,2.55647417582832,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=78%, list=28%, signal=57%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/51504/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/2107/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",NA
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",101,0.564622510011335,2.5562026722335,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=77%, list=28%, signal=57%","6231/10952/6204/6208/6142/6184/6203/6129/4736/6143/6731/29927/23480/51121/6207/6746/6217/6222/51065/6747/6748/6229/6233/6170/6134/6152/60559/6132/6138/6141/6158/6224/6159/200916/9045/2197/90701/6122/3921/6228/9789/6136/6157/6124/6209/6728/6234/6166/6135/6727/6147/6167/23521/6230/6201/9349/6154/28972/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/58477/6125/6146/6175/1650/6194",NA
"R-HSA-156842","Eukaryotic Translation Elongation",82,0.584038199960239,2.5501315062951,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=78%, list=28%, signal=57%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/1915/1936/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",NA
"R-HSA-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",79,0.583765654290962,2.54905344332058,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=78%, list=28%, signal=57%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",NA
"R-HSA-72689","Formation of a pool of free 40S subunits",91,0.575275522595018,2.53171108660184,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=79%, list=28%, signal=58%","6231/10480/6204/8669/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/8666/6132/6138/8668/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/1964/6135/6147/6167/23521/6230/6201/27335/9349/6154/8664/6128/6155/6223/6144/6176/6206/7311/8667/6191/6189/6133/6210/6188/6202/6130/6125/6146/51386/8661/6175/6194",NA
"R-HSA-192823","Viral mRNA Translation",79,0.577677154185112,2.52246758297509,1.91741226955054e-10,1.89936603642536e-08,1.89936603642536e-08,2371,"tags=78%, list=28%, signal=57%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",0.826657301178302
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",102,0.548432501309237,2.51903016149954,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=74%, list=28%, signal=54%","6231/10480/6204/8669/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/8666/6132/6138/8668/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/7458/6166/1964/6135/6147/6167/23521/6230/6201/27335/9349/6154/8664/6128/6155/6223/6144/6176/6206/7311/8667/9669/6191/6189/6133/6210/6188/6202/6130/6125/6146/51386/8661/6175/1977/6194",NA
"R-HSA-9948299","Ribosome-associated quality control",129,0.526097395659336,2.50788584888531,1e-10,1.12266666666667e-08,1.12266666666667e-08,2323,"tags=66%, list=27%, signal=49%","6231/5685/5691/5690/5689/5694/6204/7323/6208/9978/6142/6203/5714/5719/6129/5682/4736/6143/11047/51121/6207/5693/6217/6222/51065/6229/6233/6170/6134/6152/5695/6132/6138/6141/6158/6224/6159/200916/9045/2197/5686/5717/6122/3921/5713/6228/6136/6157/5705/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/7316/6223/6144/5683/6176/5700/6206/7311/5702/6191/6189/5692/6133/7314/6210/6188/6202/6130/6125/6146/6175/22980",NA
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",85,0.570492426903679,2.49210508975264,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=75%, list=28%, signal=55%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/5976/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/2107/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/6125/6146/6175/6194",NA
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",101,0.549035765970053,2.48563715976581,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=73%, list=28%, signal=54%","6231/10480/6204/8669/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/8666/6132/6138/8668/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/7458/6166/1964/6135/6147/6167/23521/6230/6201/27335/9349/6154/8664/6128/6155/6223/6144/6176/6206/7311/8667/6191/6189/6133/6210/6188/6202/6130/6125/6146/51386/8661/6175/1977/6194",NA
"R-HSA-2408557","Selenocysteine synthesis",81,0.574954836701776,2.47352703800302,1.36436438774289e-10,1.43599351809939e-08,1.43599351809939e-08,2371,"tags=78%, list=28%, signal=57%","6231/6204/6208/6142/6203/6129/4736/6143/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/51091/6125/6146/6175/6194",0.826657301178302
"R-HSA-611105","Respiratory electron transport",142,0.511222142117395,2.44510875724014,1e-10,1.12266666666667e-08,1.12266666666667e-08,1748,"tags=50%, list=20%, signal=40%","55967/4729/192286/54205/84233/4724/84300/84987/1349/4540/4714/9167/4713/7388/1347/57128/4519/4708/4694/7381/1327/55471/285521/51295/27089/54539/4696/29796/4718/4717/1351/1345/4726/4512/55245/57226/4728/126328/51079/4709/4715/90639/9054/3313/2109/4702/28958/4514/1337/10063/5018/4710/51241/4711/4513/1350/29078/4707/4191/7385/1353/116228/4704/4725/1329/4535/4695/4538/51103/4190/4698",NA
"R-HSA-6799198","Complex I biogenesis",65,0.576812663649902,2.42942854727649,1.13564840187816e-08,7.64972763505128e-07,7.64972763505128e-07,1748,"tags=55%, list=20%, signal=44%","55967/4729/84233/4724/4540/4714/4713/4708/4694/55471/51295/54539/4696/4718/4717/4726/57226/4728/126328/51079/4709/4715/3313/4702/5018/4710/4711/29078/4707/4704/4725/4535/4695/4538/51103/4698",0.747739663149885
"R-HSA-72613","Eukaryotic Translation Initiation",109,0.527654841795644,2.42803107303463,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=71%, list=28%, signal=52%","6231/10480/6204/8669/6208/6142/6203/6129/4736/6143/8891/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/8666/6132/6138/8668/6141/6158/6224/8892/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/7458/6166/1964/6135/6147/6167/23521/6230/6201/27335/9349/6154/8664/6128/6155/6223/6144/6176/6206/7311/8667/9669/6191/6189/6133/6210/6188/6202/6130/6125/6146/51386/8661/6175/1977/6194",NA
"R-HSA-72737","Cap-dependent Translation Initiation",109,0.527654841795644,2.42803107303463,1e-10,1.12266666666667e-08,1.12266666666667e-08,2371,"tags=71%, list=28%, signal=52%","6231/10480/6204/8669/6208/6142/6203/6129/4736/6143/8891/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/8666/6132/6138/8668/6141/6158/6224/8892/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/7458/6166/1964/6135/6147/6167/23521/6230/6201/27335/9349/6154/8664/6128/6155/6223/6144/6176/6206/7311/8667/9669/6191/6189/6133/6210/6188/6202/6130/6125/6146/51386/8661/6175/1977/6194",NA
"R-HSA-72766","Translation",322,0.452294462382996,2.41120746177221,1e-10,1.12266666666667e-08,1.12266666666667e-08,2520,"tags=60%, list=29%, signal=44%","6231/92399/10952/64928/5685/29088/116541/5464/65003/5691/10480/64968/4540/57129/5690/51258/5689/5694/6204/128308/4519/64432/8669/7323/122704/6208/55052/4539/9978/6142/6184/64983/6203/51264/5714/5719/28998/55168/4512/6129/5682/51642/4736/6143/7965/11047/6731/51067/29927/8891/23480/51121/6207/6746/5693/6217/219927/10352/6222/51065/6747/54948/51318/63931/6748/6229/4514/9553/10573/6233/6170/6134/6152/8666/5695/60559/6132/6138/8668/51021/51504/6141/64979/5018/6158/51650/6224/8892/6159/4513/200916/27068/9045/2197/54534/90701/64960/124454/5686/5717/6122/3921/10102/5713/6228/63875/9789/29074/6136/10667/6157/5705/6124/4535/6209/6728/6234/7458/6166/1915/56945/2193/1936/4538/1964/6135/6727/6147/6167/23521/6230/6201/27335/51649/84545/65005/9349/6154/28972/8664/6128/6155/7316/2107/6223/6144/5683/6176/5700/51373/6206/7311/8667/9669/4706/5702/26589/6191/6189/5692/6133/84340/7314/6210/64981/11222/54460/6188/6202/54471/6130/58477/6125/6146/51386/4536/78988/8661/6175/22980/1650/1977/6194/64963/51023/9521/9147/28977/5688/4508/64965/6181",NA
"R-HSA-2408522","Selenoamino acid metabolism",88,0.544732662857027,2.39566505580197,2.86409986833929e-09,2.41157208914168e-07,2.41157208914168e-07,2757,"tags=81%, list=32%, signal=55%","6231/6204/6208/6142/6203/6129/4736/6143/7965/51121/6207/6217/6222/51065/6229/6233/6170/6134/6152/6132/6138/6141/6158/6224/6159/200916/9045/2197/6122/3921/6228/6136/6157/6124/6209/6234/6166/6135/6147/6167/23521/6230/6201/9349/6154/6128/6155/6223/6144/6176/6206/7311/6191/6189/6133/6210/6188/6202/6130/51091/6125/6146/6175/6194/9521/6181/7296/6193/6168/6232/6171",0.774939030136436
"R-HSA-1236974","ER-Phagosome pathway",67,0.555986170248506,2.35353663072291,2.83626646917826e-08,1.83702797465238e-06,1.83702797465238e-06,2123,"tags=57%, list=25%, signal=43%","6280/23643/10952/5699/5721/5685/5691/5690/5689/5694/5714/5719/567/5682/5698/11047/29927/23480/5693/6233/5695/5686/5717/5713/8673/5705/5720/3133/7316/5683/6891/5700/7311/5702/5692/4615/6892/7314",0.73376198835648
"R-HSA-180585","Vif-mediated degradation of APOBEC3G",38,0.62384578790621,2.34862903640193,2.27019112629747e-06,9.8025688632947e-05,9.8025688632947e-05,2123,"tags=66%, list=25%, signal=50%","5685/5691/5690/5689/5694/60489/9978/5714/5719/5682/11047/5693/6233/5695/5686/5717/5713/5705/7316/5683/5700/7311/5702/5692/7314",0.627256739718528
