cluster,CellMarker2.0,genes,score,tissue
0,Finally highly effector (TEMRA) memory T cell,"GZMH, GZMB, NKG7, GZMA, CTSW, PRF1, GZMK, CST7, CCL5, IFNG",0.14,blood
0,Gamma delta (gammadelta) T cell,"GZMH, GZMB, NKG7, GZMA, CTSW, PRF1, GZMK, CST7, CCL5, IFNG",0.13,blood
0,Cytotoxic T cell 2,"GZMH, GZMB, NKG7, GZMA, CTSW, PRF1, GZMK, CST7, CCL5, IFNG",0.33,intestine
1,Pan B-cell,"CCR6, LGALS3, STAT4, S100A4, TRAT1, BIRC3, CREM, IRF2BP2, SAMSN1, ANXA1",0.25,blood
1,T helper 1 (Th1) cell,"CCR6, LGALS3, STAT4, S100A4, TRAT1, BIRC3, CREM, IRF2BP2, SAMSN1, ANXA1",0.14,blood
1,T helper 17 (Th17) cell,"CCR6, LGALS3, STAT4, S100A4, TRAT1, BIRC3, CREM, IRF2BP2, SAMSN1, ANXA1",0.08,intestine
2,Effector memory T cell,"LTB, ITGB7, TNFRSF25, PTGER4, CD6, STAT1, SOCS3, TNFSF13B, EPSTI1, DUSP1",0.06,blood
2,T cell,"LTB, ITGB7, TNFRSF25, PTGER4, CD6, STAT1, SOCS3, TNFSF13B, EPSTI1, DUSP1",0.02,blood
2,0,"LTB, ITGB7, TNFRSF25, PTGER4, CD6, STAT1, SOCS3, TNFSF13B, EPSTI1, DUSP1",0,intestine
3,Effector memory CD4+ T cell,"IL7R, ZBTB16, IL2, PTGER4, TXNIP, NFKBIA, ATF3, ZFP36, CEBPB, CD55",0.2,blood
3,Memory CD4+ T cell,"IL7R, ZBTB16, IL2, PTGER4, TXNIP, NFKBIA, ATF3, ZFP36, CEBPB, CD55",0.09,blood
3,Helper innate lymphoid cell,"IL7R, ZBTB16, IL2, PTGER4, TXNIP, NFKBIA, ATF3, ZFP36, CEBPB, CD55",0.5,intestine
4,Effector memory CD4+ T cell,"CCR7, LEF1, ETS1, CD40LG, CD84, IL6ST, ZBTB16, TXK, C10orf54, PIK3IP1",0.5,blood
4,Recent thymic T-cell emigrant,"CCR7, LEF1, ETS1, CD40LG, CD84, IL6ST, ZBTB16, TXK, C10orf54, PIK3IP1",0.33,blood
4,Naive CD4+ T cell,"CCR7, LEF1, ETS1, CD40LG, CD84, IL6ST, ZBTB16, TXK, C10orf54, PIK3IP1",1,intestine
5,Naive cytotoxic T cell,"CD8A, CD8B, CD160, ITGA1, XCL1, XCL2, ITGB7, TMIGD2, CD9, PTGER2",0.5,blood
5,EMRA CD8+ T cell,"CD8A, CD8B, CD160, ITGA1, XCL1, XCL2, ITGB7, TMIGD2, CD9, PTGER2",0.33,blood
5,CD8+ T cell,"CD8A, CD8B, CD160, ITGA1, XCL1, XCL2, ITGB7, TMIGD2, CD9, PTGER2",0.14,intestine
6,Regulatory CD4+ T cell,"FOXP3, IL2RA, CTLA4, TIGIT, BATF, CCR6, CXCR6, CD27, GPX1, SAMSN1",0.17,blood
6,Natural regulatory T cell,"FOXP3, IL2RA, CTLA4, TIGIT, BATF, CCR6, CXCR6, CD27, GPX1, SAMSN1",0.08,blood
6,T helper 17 (Th17) cell,"FOXP3, IL2RA, CTLA4, TIGIT, BATF, CCR6, CXCR6, CD27, GPX1, SAMSN1",0.08,intestine
7,Naive cytotoxic T cell,"CD8A, GZMK, NKG7, GZMA, CCL4, KLRG1, CRTAM, DUSP2, DUSP1, SH2D1A",0.5,blood
