"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.5909789683105,0.707,0.28,0,0,"NMUR1"
0,2.92045279745439,0.426,0.063,0,0,"REG4"
0,1.28521634216795,0.96,0.724,0,0,"RPS26"
0,0.778929592174332,0.991,0.932,0,0,"PABPC1"
4.04433676047202e-260,1.04949006431424,0.765,0.431,7.98271189781967e-256,0,"ITGA1"
2.20119712841553e-240,0.404872003102095,1,0.992,4.34472289206657e-236,0,"RPL39"
2.8340372323575e-237,0.823543185440668,0.65,0.318,5.59382268922724e-233,0,"XIST"
1.27079727986464e-165,0.439559709663711,0.986,0.955,2.50829967099683e-161,0,"RPL36A"
1.11998710075939e-139,0.604714757743778,0.863,0.676,2.21063053947888e-135,0,"COTL1"
1.41014669822617e-139,0.38965808615642,0.982,0.951,2.78334755295882e-135,0,"RPS10"
2.53795130572647e-137,0.41612761208988,0.983,0.945,5.00940828724291e-133,0,"RPL17"
4.5925446418398e-132,0.907707466024106,0.615,0.381,9.0647646140634e-128,0,"EPSTI1"
1.54454106872265e-124,1.05304691417181,0.483,0.257,3.04861516144476e-120,0,"STXBP3"
1.10716690041586e-120,0.510725106576572,0.898,0.799,2.18532602804082e-116,0,"NBEAL1"
5.33207029697696e-118,0.255926180567728,1,0.995,1.05244403521731e-113,0,"RPL13"
1.27714549250513e-115,0.269850298963799,0.998,0.99,2.52082977310663e-111,0,"RPS4X"
2.13761853641218e-112,2.26106517156037,0.163,0.038,4.21923146717036e-108,0,"COL18A1"
1.92172005489731e-111,0.601993375692299,0.828,0.675,3.79309104435632e-107,0,"STK17B"
2.4405014420336e-103,0.704115369022126,0.695,0.507,4.81706174628593e-99,0,"MBNL1"
3.34345081562139e-92,0.705365804447231,0.663,0.477,6.5993032198735e-88,0,"IRF1"
3.11197576799067e-87,0.798081715561117,0.544,0.353,6.14241777085999e-83,0,"CD6"
7.75084261527806e-83,0.57889144141655,0.733,0.579,1.52986131540358e-78,0,"CD48"
3.93536234465933e-82,1.16129787300233,0.302,0.142,7.76761819588859e-78,0,"CISH"
6.00935209343323e-81,0.774648633972223,0.527,0.342,1.18612591620185e-76,0,"EML4"
2.11698191468406e-78,0.61935476997007,0.701,0.543,4.17849890320339e-74,0,"PPP1R15A"
6.45970279685878e-78,0.550127594192174,0.709,0.526,1.27501613804399e-73,0,"ATP5EP2"
4.42490425769787e-73,0.862516262079192,0.431,0.263,8.73387602384405e-69,0,"EEF1G"
2.23103696733103e-72,1.24501396324861,0.236,0.104,4.40362076611799e-68,0,"XCL1"
2.3844076214123e-71,0.965283185213553,0.307,0.156,4.70634376314361e-67,0,"XCL2"
1.46568597293348e-68,0.45708039836413,0.787,0.62,2.8929709733761e-64,0,"JUN"
7.72712792464626e-68,0.984737190540414,0.318,0.167,1.52518050976668e-63,0,"MIAT"
4.32445936544285e-65,0.752636229720954,0.46,0.295,8.5356178955111e-61,0,"NEDD9"
6.25460988376096e-63,0.677056694248791,0.507,0.336,1.23453489885674e-58,0,"IER2"
1.47590394715562e-61,0.831845563668722,0.425,0.289,2.91313921089577e-57,0,"STAT1"
5.14380261927849e-61,0.951762304722104,0.312,0.168,1.01528376099319e-56,0,"PTGER2"
1.87151561813944e-60,0.681728290866452,0.513,0.358,3.69399752708362e-56,0,"SYNE2"
3.48700369962376e-60,1.16320320699506,0.249,0.123,6.88264790231738e-56,0,"MYADM"
3.90828911115693e-60,0.278220626798219,0.567,0.403,7.71418104760154e-56,0,"CD160"
3.90954671228993e-58,1.76093108539636,0.119,0.037,7.71666330071786e-54,0,"PTP4A3"
4.62837007314311e-56,0.577100028154156,0.611,0.471,9.13547685036987e-52,0,"CDC42SE2"
1.34483920091654e-55,1.41270716645468,0.149,0.055,2.65444361476906e-51,0,"EPHA1-AS1"
3.4556700836623e-55,0.983426864208381,0.245,0.122,6.82080161113265e-51,0,"RNF187"
6.96065387280503e-54,0.578929554293486,0.551,0.395,1.37389386141426e-49,0,"TMEM123"
2.08286633504426e-53,1.42343301213458,0.172,0.074,4.11116157211037e-49,0,"MAP3K12"
1.63495431202974e-52,0.424203579794503,0.561,0.4,3.2270728210843e-48,0,"RORA"
2.1727635667454e-52,0.516080282253021,0.623,0.472,4.28860072804207e-48,0,"LIMD2"
9.46888994423754e-52,0.967208604378342,0.26,0.139,1.8689694971936e-47,0,"PAG1"
4.1231914881906e-51,0.63720292060023,0.495,0.35,8.1383553593906e-47,0,"CCDC85B"
1.2640711545468e-49,0.354622120033831,0.797,0.685,2.49502364484446e-45,0,"FYB"
4.08356462862481e-48,0.973398761152826,0.236,0.122,8.06013986397965e-44,0,"RNPEPL1"
4.50870905290101e-48,0.825314319517718,0.326,0.197,8.89928992861602e-44,0,"CYLD"
7.28857842219232e-47,0.981474010651633,0.246,0.133,1.43861960897232e-42,0,"FLT3LG"
2.97286880895356e-45,0.541427270627141,0.571,0.437,5.86784845511253e-41,0,"IDS"
4.15618102767894e-45,1.49959148721533,0.128,0.05,8.2034701124327e-41,0,"LRRN3"
1.08333023383292e-44,0.882557214160997,0.292,0.178,2.13827721553941e-40,0,"HMGA1"
1.83475693560325e-44,0.455367252626145,0.63,0.485,3.62144323949369e-40,0,"RUNX3"
5.7254523045475e-44,0.460373432574244,0.646,0.517,1.13008977587158e-39,0,"CLEC2D"
7.29203654482771e-44,0.828579154256103,0.31,0.19,1.43930217321809e-39,0,"AC020571.3"
1.507737592828e-43,1.17894743454937,0.197,0.104,2.9759724607239e-39,0,"EIF5AL1"
3.6243926279116e-43,0.547647551959591,0.542,0.41,7.15382616897191e-39,0,"PTP4A2"
6.4493300217628e-43,0.35692022464358,0.654,0.509,1.27296875969554e-38,0,"CD8A"
1.54239616966846e-42,0.803281902452713,0.292,0.174,3.0443815596916e-38,0,"TC2N"
3.92855544101448e-42,0.72651228320443,0.36,0.238,7.75418272947439e-38,0,"CMTM3"
1.76108247399875e-41,0.273135695039757,0.767,0.636,3.47602458717873e-37,0,"CKLF"
1.18437725392849e-40,0.459116000792403,0.587,0.448,2.33772382380405e-36,0,"LAT"
1.72679251047565e-40,0.615562735096694,0.422,0.293,3.40834305717683e-36,0,"ITGB7"
3.61114050006836e-40,0.881625769486644,0.229,0.125,7.12766911903494e-36,0,"PRKX"
7.86868026735987e-40,0.962994853559913,0.187,0.094,1.55312011117149e-35,0,"C10orf128"
1.29931372578386e-39,0.693911897682285,0.397,0.283,2.56458543195219e-35,0,"EIF5A"
1.64001792880439e-39,0.7918643126265,0.283,0.171,3.23706738787411e-35,0,"EXOC1"
2.52175917192387e-39,0.27638840327124,0.863,0.789,4.97744825354333e-35,0,"ITM2B"
2.99079805739136e-39,0.539440925978776,0.445,0.313,5.90323720567906e-35,0,"BCL11B"
5.54884063350023e-39,0.594366046276967,0.442,0.322,1.09523016424028e-34,0,"GRAP2"
1.15240002241747e-38,1.06258095017578,0.173,0.085,2.27460716424761e-34,0,"PIK3CD"
2.30774713814868e-38,0.280686505873915,0.42,0.297,4.55503130127786e-34,0,"EMP3"
4.63192304226174e-38,0.481803986933778,0.582,0.463,9.14248970081622e-34,0,"DDX3X"
2.55851775925074e-36,0.706077685703398,0.287,0.176,5.0500023532091e-32,0,"RCAN3"
5.0421623500802e-36,0.999300630115574,0.194,0.105,9.95222004658831e-32,0,"CD9"
8.17827236425078e-36,0.523811121824582,0.489,0.364,1.61422739925582e-31,0,"HMHA1"
3.69130348900562e-35,1.28378481114718,0.133,0.061,7.2858948265993e-31,0,"CTD-3252C9.4"
3.24546380295514e-33,0.281562434793992,0.819,0.724,6.40589645427285e-29,0,"CCNI"
4.33681745519673e-33,1.14043785105447,0.133,0.061,8.56001029306731e-29,0,"AIF1"
6.98843363140409e-33,1.23884746910107,0.114,0.049,1.37937703016654e-28,0,"LINC00176"
1.24059451059813e-32,0.34091547004852,0.764,0.666,2.44868544501859e-28,0,"SRSF7"
1.37342284976544e-32,0.833785719428809,0.208,0.117,2.71086202086703e-28,0,"SLK"
3.0226840426023e-32,0.974919996221178,0.174,0.092,5.96617376328842e-28,0,"TNFSF13B"
5.1838330748278e-32,0.766928787020179,0.244,0.148,1.02318497230951e-27,0,"ZNF652"
1.41832120985804e-31,0.915136041261414,0.187,0.103,2.7994824040178e-27,0,"PELO"
1.58333635483581e-31,0.466373428493366,0.568,0.463,3.12518929717491e-27,0,"CD8B"
