"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.33472603550671,0.687,0.11,0,0,"GZMH"
0,2.18597073841492,0.837,0.303,0,0,"GZMA"
0,2.41408894266784,0.9,0.386,0,0,"NKG7"
0,2.13640872647768,0.742,0.24,0,0,"GZMK"
0,2.66215331455226,0.641,0.172,0,0,"HLA-DRB1"
0,2.34296098012913,0.696,0.231,0,0,"CTSW"
0,2.13686425911932,0.918,0.464,0,0,"CST7"
0,3.32446056371081,0.551,0.113,0,0,"GZMB"
0,1.66342667478414,0.748,0.355,0,0,"IFITM1"
0,2.07511141583091,0.788,0.409,0,0,"CCL4"
0,2.28661937772269,0.575,0.197,0,0,"HLA-DPB1"
0,2.19444073722493,0.547,0.203,0,0,"HLA-DPA1"
0,1.89642103836094,0.622,0.3,0,0,"LITAF"
0,2.27178878844365,0.532,0.225,0,0,"LGALS1"
0,0.804434808814125,0.73,0.43,0,0,"RPS4Y1"
0,1.50522088328159,0.811,0.513,0,0,"CRIP1"
0,2.91277387867472,0.381,0.084,0,0,"HLA-DRA"
0,2.35076015479361,0.427,0.133,0,0,"PRF1"
0,1.45565494366914,0.843,0.55,0,0,"CREM"
0,1.64382008881063,0.994,0.705,0,0,"CCL5"
0,1.69472392377832,0.749,0.461,0,0,"ALOX5AP"
0,1.47839436975543,0.694,0.451,0,0,"CLEC2B"
0,1.2219773355434,0.651,0.414,0,0,"RUNX3"
0,1.61289455461253,0.85,0.625,0,0,"CD74"
0,1.40798050769501,0.46,0.242,0,0,"LYAR"
0,1.38773454285512,0.503,0.288,0,0,"STAT4"
0,1.16780743415589,0.818,0.606,0,0,"ANXA1"
0,1.10939422964208,0.685,0.476,0,0,"REL"
0,2.53442278735541,0.331,0.125,0,0,"IFNG"
0,0.304792720193144,0.914,0.709,0,0,"AC090498.1"
0,3.71173893162328,0.221,0.022,0,0,"HLA-DRB5"
0,1.25142952887548,0.539,0.344,0,0,"GZMM"
0,1.75821684306883,0.361,0.169,0,0,"JMJD6"
0,1.74200023608579,0.354,0.164,0,0,"LYST"
0,1.52348214911881,0.375,0.19,0,0,"ANXA2"
0,1.18310573203857,0.894,0.712,0,0,"HCST"
0,1.08869737982042,0.723,0.541,0,0,"CD99"
0,3.71821614547376,0.199,0.021,0,0,"AC002331.1"
0,1.06834064203292,0.702,0.526,0,0,"SELK"
0,1.18384654051593,0.549,0.376,0,0,"DNAJB6"
0,1.27538545891476,0.868,0.708,0,0,"S100A6"
0,1.54202267247427,0.433,0.273,0,0,"TUBA4A"
0,1.08556384928638,0.635,0.479,0,0,"S100A10"
0,1.21890659082178,0.911,0.757,0,0,"S100A4"
0,1.00870439572466,0.581,0.429,0,0,"EMP3"
0,0.997198666693332,0.643,0.501,0,0,"TAGLN2"
0,0.93887643929682,0.781,0.648,0,0,"SUB1"
0,0.889642327170423,0.735,0.605,0,0,"IFITM2"
0,0.895605649220739,0.717,0.593,0,0,"ISG20"
0,0.866028574297977,0.72,0.604,0,0,"CLIC1"
0,0.825551342547289,0.702,0.594,0,0,"LSP1"
0,0.967087367801652,0.951,0.849,0,0,"SH3BGRL3"
0,4.64954074067376,0.105,0.006,0,0,"S100B"
0,0.907046749121077,0.949,0.854,0,0,"MYL6"
0,0.894490988689949,0.984,0.895,0,0,"IL32"
0,0.793079865152984,0.76,0.675,0,0,"CALM2"
0,0.749078167238641,0.733,0.665,0,0,"RARRES3"
0,0.700975309217744,0.94,0.873,0,0,"GAPDH"
0,0.615333361954855,0.757,0.695,0,0,"CHCHD2"
0,0.628678045787734,0.89,0.833,0,0,"OAZ1"
0,0.686671675499542,0.954,0.898,0,0,"CFL1"
0,0.66727678044127,0.695,0.639,0,0,"MYL12B"
0,0.644069852230827,0.634,0.58,0,0,"SSR4"
0,0.644954590610408,0.89,0.84,0,0,"UBB"
0,0.578373396275445,0.942,0.895,0,0,"ARHGDIB"
0,0.55876692135555,0.904,0.86,0,0,"RPL36AL"
0,0.506497144554001,0.99,0.946,0,0,"SRGN"
0,0.520318445970283,0.942,0.909,0,0,"SERF2"
0,0.557524951561363,0.966,0.936,0,0,"ATP5E"
0,0.588162451808271,0.982,0.957,0,0,"UBC"
0,0.73122950707055,0.996,0.978,0,0,"HLA-C"
0,0.588057425079052,0.998,0.99,0,0,"HLA-A"
0,0.667221487090723,1,0.995,0,0,"HLA-B"
0,0.424564170322907,0.998,0.994,0,0,"EIF1"
0,0.543838145144089,1,1,0,0,"B2M"
0,0.641702962196881,1,1,0,0,"TMSB4X"
3.45845952088873e-323,0.555933229188537,0.979,0.964,6.82630740233017e-319,0,"H3F3B"
8.59760981691179e-317,1.10587639157832,0.423,0.292,1.69699622566205e-312,0,"GNG2"
1.61841399316165e-315,1.03166512763112,0.527,0.358,3.19442553970246e-311,0,"ITGB2"
3.16217473116631e-311,0.597463064002841,0.704,0.657,6.24150048437606e-307,0,"ARPC3"
5.35983426290048e-307,1.46845404081961,0.345,0.181,1.0579240868113e-302,0,"GABARAPL1"
2.26906768207742e-303,1.18093580445663,0.415,0.265,4.47868579094392e-299,0,"TXN"
3.57328607884455e-302,0.80726415087706,0.507,0.415,7.05295206241256e-298,0,"POMP"
1.51096860850575e-301,0.789159836704809,0.546,0.463,2.98234984399665e-297,0,"PSMB9"
6.10696855028072e-301,1.59769577303983,0.338,0.145,1.20539345249795e-296,0,"KLRG1"
8.49714868809866e-295,0.835763708983077,0.552,0.46,1.67716720805691e-290,0,"SDCBP"
1.71472451522297e-293,1.22413090890655,0.468,0.244,3.3845232481471e-289,0,"CD8B"
2.29254521967742e-291,0.567986873073086,0.708,0.657,4.5250257545993e-287,0,"COX7A2"
3.69176891355616e-290,0.594132097543557,0.729,0.677,7.28681348157714e-286,0,"PSME1"
9.2369710192797e-287,0.928776760539604,0.522,0.405,1.82319333978543e-282,0,"S100A11"
8.30427361397054e-279,2.19424160936322,0.202,0.064,1.63909752592551e-274,0,"TNIP3"
2.32750979051854e-278,1.11565045474279,0.505,0.328,4.5940388245255e-274,0,"MT2A"
5.00701552321791e-277,1.45608191457843,0.356,0.153,9.8828472397275e-273,0,"KLRD1"
1.87463601022129e-273,0.941441003249792,0.489,0.382,3.70015655697478e-269,0,"ADGRE5"
3.0741552445053e-272,0.637132087902467,0.689,0.623,6.06776762160457e-268,0,"CD44"
9.48734131392569e-271,1.62227474076127,0.24,0.123,1.87261142854265e-266,0,"SLA2"
3.15470184860027e-270,1.7473757889167,0.292,0.146,6.2267505087672e-266,0,"CMC1"
4.83674485987265e-270,0.70870977973473,0.544,0.487,9.54676700441663e-266,0,"LDHA"
7.4630789495374e-270,0.837975948957969,0.57,0.481,1.47306252305969e-265,0,"DNAJA1"
6.85237073250468e-265,0.907041839373212,0.417,0.323,1.35252093518177e-260,0,"SLC38A1"
2.73371813665e-263,1.22540238747434,0.336,0.212,5.39581285811978e-259,0,"SH2D2A"
6.70293153262179e-262,0.54533265270438,0.841,0.806,1.32302462590889e-257,0,"CORO1A"
