"cluster","label","cells","percentage"
"0","T_cells",9721,98.2912032355915
"1","T_cells",8737,99.4989181186653
"2","T_cells",7687,99.6758298755187
"3","T_cells",6256,99.8404085541015
"4","T_cells",5157,92.3200859291085
"5","T_cells",5284,99.7357493393733
"6","T_cells",4587,99.9564175201569
"7","T_cells",3815,99.7385620915033
"8","T_cells",3476,99.5988538681949
"9","T_cells",1929,96.1615154536391
"10","T_cells",808,92.4485125858124
"11","T_cells",508,91.0394265232975
"12","T_cells",169,74.1228070175439
"13","T_cells",74,43.5294117647059
