"cluster","label","cells","percentage"
"0","T cells",8821,89.1911021233569
"1","CD4+ T cells",5680,64.6851155904794
"2","T cells",7278,94.3724066390041
"3","T cells",5439,86.8017874241941
"4","T cells",5149,92.1768707482993
"5","T cells",3939,74.3488108720272
"6","CD4+ T cells",2774,60.448899542384
"7","T cells",3741,97.8039215686274
"8","CD4+ T cells",2708,77.593123209169
"9","T cells",1413,70.4386839481555
"10","T cells",703,80.4347826086957
"11","T cells",434,77.7777777777778
"12","T cells",218,95.6140350877193
"13","T cells",40,23.5294117647059
