"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000112232",-2.28440871397987,0.675602774496999,-12.5934291480679,7.12392530746014e-30,1.49424333323976e-25,55.5543526549368,"KHDRBS2","202559","KH RNA binding domain containing, signal transduction associated 2","Down in CD"
"ENSG00000257612",-1.99687086627668,-1.08816622415422,-9.43462962647825,7.8878056521299e-19,8.27233617767123e-15,30.7655637804264,"MIR4307HG","101927081","MIR4307 host gene","Down in CD"
"ENSG00000162896",0.926139268124663,12.8227018756634,9.35741145848018,1.4038324145048e-18,9.81512829807941e-15,31.2305009429917,"PIGR","5284","polymeric immunoglobulin receptor","Not Significant"
"ENSG00000185008",-0.990819168315161,2.66676374641457,-9.1994774785692,4.52696701759365e-18,2.37382832985067e-14,30.285860857719,"ROBO2","6092","roundabout guidance receptor 2","Not Significant"
"ENSG00000113282",0.312523279685106,7.54516994443115,8.84705622444215,5.92427920519289e-17,2.48523512657842e-13,27.8863012721411,"CLINT1","9685","clathrin interactor 1","Not Significant"
"ENSG00000112699",0.404305847357832,6.00509541516704,8.73709493406901,1.30583312190118e-16,4.56497495531287e-13,27.1125774067537,"GMDS","2762","GDP-mannose 4,6-dehydratase","Not Significant"
"ENSG00000166278",0.840881812878885,4.0482661440921,8.66070012324181,2.25349581598633e-16,6.75243924861618e-13,26.5722904762118,"C2","717","complement C2","Not Significant"
"ENSG00000007171",1.65300772292792,5.60860265126508,8.50181740240634,6.94508679265517e-16,1.54498840273192e-12,25.4870457850488,"NOS2","4843","nitric oxide synthase 2","Up in CD"
"ENSG00000124406",-0.42522443702588,7.9152034337003,-8.49346485214155,7.36585650885302e-16,1.54498840273192e-12,25.4310248280136,"ATP8A1","10396","ATPase phospholipid transporting 8A1","Not Significant"
"ENSG00000187908",1.29031321402187,10.4321270628098,8.50456422460772,6.81198067657664e-16,1.54498840273192e-12,25.4724758825395,"DMBT1","1755","deleted in malignant brain tumors 1","Up in CD"
"ENSG00000139514",0.434563514116806,6.0352980972035,8.47656778715734,8.29573084512026e-16,1.58184504069452e-12,25.3080500495513,"SLC7A1","6541","solute carrier family 7 member 1","Not Significant"
"ENSG00000125347",0.500498966225848,7.6877352252408,8.40955036527227,1.32744148390501e-15,2.3202570937423e-12,24.856062487555,"IRF1","3659","interferon regulatory factor 1","Not Significant"
"ENSG00000189157",-0.734144063068226,2.38743069261247,-8.35468467924522,1.94721625193208e-15,3.14175852955964e-12,24.4065079463032,"FAM47E","100129583","family with sequence similarity 47 member E","Not Significant"
"ENSG00000003400",0.648751090902284,6.69409752257756,8.34367445248733,2.10244817550475e-15,3.14991789151515e-12,24.401921013604,"CASP10","843","caspase 10","Not Significant"
"ENSG00000160183",0.839708200052929,1.69630161687405,8.29422305659841,2.96484954991269e-15,4.14584795396124e-12,23.8675718732995,"TMPRSS3","64699","transmembrane serine protease 3","Not Significant"
"ENSG00000006740",0.537864265607225,4.07885523890486,8.27688913987781,3.34346874160846e-15,4.38307855345233e-12,23.9578958969291,"ARHGAP44","9912","Rho GTPase activating protein 44","Not Significant"
"ENSG00000205403",0.944026965469101,5.13812122048466,8.19321354721026,5.95927496754535e-15,7.35269367319198e-12,23.394854515472,"CFI","3426","complement factor I","Not Significant"
"ENSG00000185624",0.419923289767308,9.22549007147616,8.17601618089924,6.70780957203364e-15,7.81646143185587e-12,23.281918626306,"P4HB","5034","prolyl 4-hydroxylase subunit beta","Not Significant"
"ENSG00000160190",0.411693683250376,6.84383454526665,8.13189837371623,9.08023387429e-15,1.00241002901701e-11,22.9769936106591,"SLC37A1","54020","solute carrier family 37 member 1","Not Significant"
"ENSG00000138606",0.607782465302376,3.18782252209051,8.01500988396367,2.01538115309506e-14,2.01298188981756e-11,22.1909821650787,"SHF","90525","Src homology 2 domain containing F","Not Significant"
"ENSG00000177359",-0.803150281545399,3.73782615128177,-8.01778911941179,1.97770436077629e-14,2.01298188981756e-11,22.2344583682903,"OVOS2P","144203","ovostatin 2, pseudogene","Not Significant"
"ENSG00000258498",-1.00910129840537,1.24847323057363,-7.96096988632422,2.90640302082605e-14,2.7709910619012e-11,21.6999649373724,"DIO3OS","64150","DIO3 opposite strand upstream RNA","Down in CD"
"ENSG00000128652",-0.629053910484485,1.58822941067913,-7.91225073757621,4.03743225088647e-14,3.68196267227581e-11,21.4112552238432,"HOXD3","3232","homeobox D3","Not Significant"
"ENSG00000140263",0.637285780927042,3.41487263566165,7.84486613541831,6.34760075971707e-14,5.32563703740262e-11,21.0932175334638,"SORD","6652","sorbitol dehydrogenase","Not Significant"
"ENSG00000254087",0.4387865602895,5.73406730468805,7.84966914640639,6.14666276240461e-14,5.32563703740262e-11,21.1125512370129,"LYN","4067","LYN proto-oncogene, Src family tyrosine kinase","Not Significant"
"ENSG00000117036",0.287059435432506,5.74329360838856,7.83477732635083,6.79103804370481e-14,5.4785393448734e-11,21.0152295641975,"ETV3","2117","ETS variant transcription factor 3","Not Significant"
"ENSG00000142657",0.403129793254629,6.60647531845133,7.79460566636931,8.8810547859473e-14,6.89926385686091e-11,20.7538978235232,"PGD","5226","phosphogluconate dehydrogenase","Not Significant"
"ENSG00000107159",1.03155777512725,1.1210841399111,7.73337345325608,1.33453397418249e-13,9.99708932445631e-11,20.1890706077273,"CA9","768","carbonic anhydrase 9","Up in CD"
"ENSG00000128335",0.395778836236457,5.89282749449784,7.71719454548097,1.48562163285251e-13,1.06165151022883e-10,20.2523646496347,"APOL2","23780","apolipoprotein L2","Not Significant"
"ENSG00000248325",-0.966535372024332,-0.473510417574343,-7.7138944273346,1.51845269639403e-13,1.06165151022883e-10,19.8145497012484,NA,NA,NA,"Not Significant"
"ENSG00000170166",-0.671099373951206,1.97875707880014,-7.70526785380231,1.60769496994938e-13,1.08778716111898e-10,20.1310746768812,"HOXD4","3233","homeobox D4","Not Significant"
"ENSG00000156284",-1.45816903623128,1.47137450307992,-7.68008770370946,1.89886774081671e-13,1.24464846448845e-10,19.954654971245,"CLDN8","9073","claudin 8","Down in CD"
"ENSG00000137752",0.512141641347308,7.22916403703239,7.64846045410561,2.33923240511432e-13,1.48683029385676e-10,19.8175107848133,"CASP1","834","caspase 1","Not Significant"
"ENSG00000168610",0.408830471788134,7.949765351406,7.62442761135287,2.73991053403065e-13,1.69028304268509e-10,19.675131960994,"STAT3","6774","signal transducer and activator of transcription 3","Not Significant"
