"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000112232",-2.77119659159085,0.00772462891560086,-17.674591895908,4.56593145105909e-54,9.97929977943474e-50,110.860069729692,"KHDRBS2","202559","KH RNA binding domain containing, signal transduction associated 2","Down in CD"
"ENSG00000257612",-2.77585491184627,-1.91961773536182,-15.5625003678404,2.07270952993169e-44,2.26505697430935e-40,87.886543187228,"MIR4307HG","101927081","MIR4307 host gene","Down in CD"
"ENSG00000162896",1.21677632583397,13.126261099419,12.9918808602545,3.16003047725197e-33,2.30218753702731e-29,64.5071186521858,"PIGR","5284","polymeric immunoglobulin receptor","Up in CD"
"ENSG00000205403",1.38167222899852,5.53320603081828,12.0323862769414,2.7879196706988e-29,1.52331930806982e-25,55.7097165083443,"CFI","3426","complement factor I","Up in CD"
"ENSG00000007171",2.15290653883424,6.12340303688753,11.9128632285597,8.43106759813034e-29,3.36276942706948e-25,54.6166501219916,"NOS2","4843","nitric oxide synthase 2","Up in CD"
"ENSG00000189157",-0.966445048592335,2.09890166373383,-11.9022239632566,9.23161445937816e-29,3.36276942706948e-25,54.4714114989841,"FAM47E","100129583","family with sequence similarity 47 member E","Not Significant"
"ENSG00000166278",1.06838253907869,4.29438174894803,11.7869221446879,2.66997239768956e-28,8.33641667484329e-25,53.4829252865188,"C2","717","complement C2","Up in CD"
"ENSG00000113282",0.386862978170318,7.61366687988428,11.5830367381618,1.71780804120705e-27,4.69305156857766e-24,51.6388796175515,"CLINT1","9685","clathrin interactor 1","Not Significant"
"ENSG00000187908",1.65858402639573,10.7698502187004,11.5517740824666,2.2986009291286e-27,5.58202465633719e-24,51.3567537569822,"DMBT1","1755","deleted in malignant brain tumors 1","Up in CD"
"ENSG00000144802",0.841246373286097,6.19047470345492,11.4159336377099,7.81313743445329e-27,1.70763931767411e-23,50.1348429605057,"NFKBIZ","64332","NFKB inhibitor zeta","Not Significant"
"ENSG00000177359",-1.09242080629669,3.37706945442094,-11.3090174238169,2.04526189414944e-26,4.06374945077547e-23,49.2093103053366,"OVOS2P","144203","ovostatin 2, pseudogene","Down in CD"
"ENSG00000185008",-1.03560361365045,2.53628502441177,-11.2983290108049,2.25038651799878e-26,4.09870397811511e-23,49.1032780588631,"ROBO2","6092","roundabout guidance receptor 2","Down in CD"
"ENSG00000003400",0.777741071319761,6.83224918865348,11.2803552291393,2.6438615669951e-26,4.44494141601885e-23,48.9314202375231,"CASP10","843","caspase 10","Not Significant"
"ENSG00000156284",-1.89996370320124,0.971213152983474,-11.1678169342943,7.26210907125309e-26,1.13371897043791e-22,47.8795991124026,"CLDN8","9073","claudin 8","Down in CD"
"ENSG00000248325",-1.29594689493942,-0.862535322191385,-11.1025082546267,1.29114684747067e-25,1.88128703322127e-22,46.9735515107726,NA,NA,NA,"Down in CD"
"ENSG00000125347",0.587702836449049,7.80199329063459,11.0915057946932,1.42315600100894e-25,1.94403109737821e-22,47.2806656591029,"IRF1","3659","interferon regulatory factor 1","Not Significant"
"ENSG00000105967",-1.06847106555347,5.70762567713758,-11.0752685107519,1.64842322785865e-25,2.11929047459286e-22,47.1252374648353,"TFEC","22797","transcription factor EC","Down in CD"
"ENSG00000112699",0.510416685166814,6.1094368926631,11.0346184731136,2.3562583156675e-25,2.86102120817938e-22,46.7701240487002,"GMDS","2762","GDP-mannose 4,6-dehydratase","Not Significant"
"ENSG00000254087",0.581119183541399,5.88144502361879,10.9729921807444,4.06221897615884e-25,4.67283462857513e-22,46.2340648361284,"LYN","4067","LYN proto-oncogene, Src family tyrosine kinase","Not Significant"
"ENSG00000132874",-1.50285668710624,1.36621892558475,-10.9357101751963,5.65150313401877e-25,6.17596262485571e-22,45.8945994682767,"SLC14A2","8170","solute carrier family 14 member 2","Down in CD"
"ENSG00000100219",0.535923734458033,8.2983342917329,10.7360034220959,3.24260010861625e-24,3.37477466542461e-21,44.2051806125515,"XBP1","7494","X-box binding protein 1","Not Significant"
"ENSG00000160183",1.10887812364726,1.98258749652159,10.6939885023426,4.6774298527233e-24,4.64681394823275e-21,43.7785042700104,"TMPRSS3","64699","transmembrane serine protease 3","Up in CD"
"ENSG00000184613",-1.09727639670918,4.19817999496713,-10.6721163620093,5.66590307053205e-24,5.38408597867602e-21,43.6530042055064,"NELL2","4753","neural EGFL like 2","Down in CD"
"ENSG00000112242",0.535834520213897,3.98404770370676,10.6385750359451,7.55813724579148e-24,6.88294365183411e-21,43.3914207551891,"E2F3","1871","E2F transcription factor 3","Not Significant"
"ENSG00000123388",-1.70813290944207,-1.29275206247096,-10.6140830301208,9.35166862095012e-24,8.17560277517943e-21,42.76132372017,"HOXC11","3227","homeobox C11","Down in CD"
"ENSG00000148600",-1.65879097945837,4.91248688691671,-10.4655552949518,3.37554697848442e-23,2.83753672160598e-20,41.8791232376437,"CDHR1","92211","cadherin related family member 1","Down in CD"
"ENSG00000163710",-1.85934798002695,-2.80122344825809,-10.4575692562582,3.59736495357278e-23,2.91200031204765e-20,40.3918766158764,"PCOLCE2","26577","procollagen C-endopeptidase enhancer 2","Down in CD"
"ENSG00000139514",0.504051897289603,6.12204756795035,10.4108713733723,5.36409018112794e-23,4.18705553566901e-20,41.4138197840485,"SLC7A1","6541","solute carrier family 7 member 1","Not Significant"
"ENSG00000175538",0.661398536483723,5.6877864936015,10.37383182519,7.36582562539351e-23,5.55129258167588e-20,41.1067762385094,"KCNE3","10008","potassium voltage-gated channel subfamily E regulatory subunit 3","Not Significant"
"ENSG00000137752",0.622797221771079,7.3396177025318,10.3425557763677,9.61226977280083e-23,7.00285893847783e-20,40.8480717935873,"CASP1","834","caspase 1","Not Significant"
"ENSG00000171236",1.22103292103142,3.5847566778896,10.2650981582285,1.85795696634509e-22,1.27601448715801e-19,40.2487689984748,"LRG1","116844","leucine rich alpha-2-glycoprotein 1","Up in CD"
"ENSG00000258498",-1.2100304015087,0.987904774386634,-10.2643825068196,1.86824961516546e-22,1.27601448715801e-19,40.1876511516922,"DIO3OS","64150","DIO3 opposite strand upstream RNA","Down in CD"
"ENSG00000160190",0.482978393706594,6.91835628708658,10.2231498476842,2.64646238188915e-22,1.75276005510816e-19,39.8445460635765,"SLC37A1","54020","solute carrier family 37 member 1","Not Significant"
"ENSG00000141527",1.07135542093845,2.04844242877826,10.1179111186977,6.4295294609745e-22,4.13305282056055e-19,38.9814936822574,"CARD14","79092","caspase recruitment domain family member 14","Up in CD"
"ENSG00000110092",0.485529957548914,5.8270087212082,10.1084639697645,6.95497331923357e-22,4.34308276757625e-19,38.8887032270352,"CCND1","595","cyclin D1","Not Significant"
"ENSG00000140263",0.727478628365929,3.52481913118139,10.0700126203191,9.60342093045695e-22,5.78973658760145e-19,38.6373630798043,"SORD","6652","sorbitol dehydrogenase","Not Significant"
"ENSG00000235688",-1.41559322456962,-2.08516967760714,-10.067559816074,9.80143913530626e-22,5.78973658760145e-19,37.8800636431824,"SNTG2-AS1","101060391","SNTG2 antisense RNA 1","Down in CD"
"ENSG00000111052",-1.05735205692829,3.64090141617453,-10.0571181481297,1.07138245479138e-21,6.16214077155799e-19,38.5058710737028,"LIN7A","8825","lin-7 cell polarity scaffold A","Down in CD"
"ENSG00000117036",0.341669252277689,5.79696236126112,10.0312491132425,1.32784842969197e-21,7.44139878957633e-19,38.2511966073334,"ETV3","2117","ETS variant transcription factor 3","Not Significant"
"ENSG00000182054",0.471706926613551,7.06439905715599,10.0242080277504,1.40828805583453e-21,7.6948859370799e-19,38.1985496419609,"IDH2","3418","isocitrate dehydrogenase (NADP(+)) 2","Not Significant"
"ENSG00000168394",0.570015845971692,7.78578604559697,10.0136176359056,1.53872736291325e-21,8.20254274239805e-19,38.1223802393244,"TAP1","6890","transporter 1, ATP binding cassette subfamily B member","Not Significant"
"ENSG00000159131",0.283368442374216,6.12118847216553,9.95378409787324,2.53246952358416e-21,1.31784890255846e-18,37.6125810011313,"GART","2618","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","Not Significant"
"ENSG00000155660",0.533082801531606,8.20784369840021,9.88090780000763,4.63520205030706e-21,2.35597618631421e-18,37.0463072228072,"PDIA4","9601","protein disulfide isomerase family A member 4","Not Significant"
"ENSG00000205089",0.496816408375552,2.45745862327333,9.87677866849385,4.79629973655056e-21,2.3824528873193e-18,37.0505807899706,"CCNI2","645121","cyclin I family member 2","Not Significant"
"ENSG00000128652",-0.753711511430449,1.42738130262862,-9.86169690783073,5.43334778559169e-21,2.58154889569331e-18,36.9118302259694,"HOXD3","3232","homeobox D3","Not Significant"
"ENSG00000183010",0.763356154785876,4.37723248383262,9.86425211621169,5.32359356801827e-21,2.58154889569331e-18,36.9352801521251,"PYCR1","5831","pyrroline-5-carboxylate reductase 1","Not Significant"
"ENSG00000006740",0.616833452812787,4.18265148814879,9.84022755218214,6.48810783240568e-21,3.01710818691614e-18,36.7430528549093,"ARHGAP44","9912","Rho GTPase activating protein 44","Not Significant"
"ENSG00000128335",0.488324110166488,6.00418068774713,9.80802498829118,8.46022883311974e-21,3.85222419534719e-18,36.4251696624093,"APOL2","23780","apolipoprotein L2","Not Significant"
"ENSG00000205360",-1.49960126308179,-2.42651187335882,-9.79976765231751,9.05689789732337e-21,4.03974613150815e-18,35.6385166669021,NA,NA,NA,"Down in CD"
"ENSG00000198270",-0.524090430921232,3.63078441983634,-9.79450900091346,9.45596063132159e-21,4.13338951116329e-18,36.3734847063467,"TMEM116","89894","transmembrane protein 116","Not Significant"
"ENSG00000100644",0.480091466700731,7.26822821147345,9.79130158314807,9.70882787907425e-21,4.16070866911857e-18,36.2980896956673,"HIF1A","3091","hypoxia inducible factor 1 subunit alpha","Not Significant"
"ENSG00000134532",-0.590994505932401,2.23051801498115,-9.78168139708159,1.05082006265684e-20,4.36102317770867e-18,36.2896509239724,"SOX5","6660","SRY-box transcription factor 5","Not Significant"
"ENSG00000144619",-0.672869770947638,3.83813116969486,-9.78098384770471,1.0575321578448e-20,4.36102317770867e-18,36.2517172485268,"CNTN4","152330","contactin 4","Not Significant"
"ENSG00000204033",-1.33737972582768,-1.06087274134938,-9.77539150400231,1.10728931061232e-20,4.48165095791535e-18,35.9622762012297,"LRIT2","340745","leucine rich repeat, Ig-like and transmembrane domains 2","Down in CD"
"ENSG00000168610",0.484782287572618,8.0414576688008,9.76501810364439,1.20502232146962e-20,4.78853961055274e-18,36.1033722830945,"STAT3","6774","signal transducer and activator of transcription 3","Not Significant"
"ENSG00000197147",0.320205862334819,4.87282140026094,9.7305062924709,1.59937410644792e-20,6.24212865545104e-18,35.822719632533,"LRRC8B","23507","leucine rich repeat containing 8 VRAC subunit B","Not Significant"
"ENSG00000227588",-1.05166380067576,-0.482215527986553,-9.72800943161886,1.63258153252579e-20,6.25994771489185e-18,35.6930992526923,"CNTN4-AS2","100873976","CNTN4 antisense RNA 2","Down in CD"
"ENSG00000198535",1.33849783406835,1.57149452040626,9.70508789129115,1.97070006518608e-20,7.42614148701842e-18,35.6014167137152,"C2CD4A","145741","C2 calcium dependent domain containing 4A","Up in CD"
"ENSG00000100522",0.491623573907556,5.10647887682362,9.69499495850416,2.1388081072541e-20,7.92301525290603e-18,35.5297709106778,"GNPNAT1","64841","glucosamine-phosphate N-acetyltransferase 1","Not Significant"
"ENSG00000044574",0.569412836930045,8.16432324913922,9.68283635718042,2.36262403513646e-20,8.46516572326927e-18,35.4407666915804,"HSPA5","3309","heat shock protein family A (Hsp70) member 5","Not Significant"
"ENSG00000078487",-0.479299856897373,1.24615965474619,-9.68482093759412,2.32423091714503e-20,8.46516572326927e-18,35.4776978662592,"ZCWPW1","55063","zinc finger CW-type and PWWP domain containing 1","Not Significant"
"ENSG00000236333",-1.43312008258899,-0.564056590505889,-9.61449483708714,4.12547337115652e-20,1.45429590322576e-17,34.792061289967,NA,NA,NA,"Down in CD"
"ENSG00000213145",-0.792717953878098,1.99893282019552,-9.60810004517084,4.34365526769842e-20,1.5069036433463e-17,34.9013337061524,"CRIP1","1396","cysteine rich protein 1","Not Significant"
"ENSG00000170166",-0.787691558973861,1.82007419255512,-9.57461759321076,5.69958422429282e-20,1.946408012596e-17,34.6310387511043,"HOXD4","3233","homeobox D4","Not Significant"
"ENSG00000240038",-0.403893156140619,3.52233016901439,-9.57116230631877,5.86099211475301e-20,1.97073605630834e-17,34.5897834545515,"AMY2B","280","amylase alpha 2B","Not Significant"
"ENSG00000205361",-1.29685662781208,-1.25770230132009,-9.56752293158442,6.03999028947228e-20,2.00015193585918e-17,34.3020300699623,NA,NA,NA,"Down in CD"
"ENSG00000157502",-1.44395614493509,-2.61752613992327,-9.55735110463993,6.55497794725894e-20,2.13829250769092e-17,33.5726333648625,"PWWP3B","139221","PWWP domain containing 3B","Down in CD"
