"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0071357","cellular response to type I interferon",97,0.576013576415549,2.57524035249269,1e-10,1.25106382978723e-08,5.21192653702082e-09,3998,"tags=54%, list=23%, signal=41%","5690/4615/51441/5720/6772/9759/5717/5707/7474/3654/79594/5685/5684/3093/5781/5704/8519/5721/54502/5708/5702/57506/81030/29110/10410/5709/64343/5695/5719/10581/5686/5700/81844/5718/253943/5705/3429/5701/25939/6773/5683/10213/5687/7979/5693/5694/5713/5692/11047/84166/9470/5688",NA,"BP"
"GO:0000070","mitotic sister chromatid segregation",197,0.500359021965602,2.48339724390922,1e-10,1.25106382978723e-08,5.21192653702082e-09,3827,"tags=52%, list=22%, signal=41%","57082/24137/3832/9918/3833/3619/2801/9319/22974/3837/9928/5347/1063/9371/1104/220134/9055/11065/146909/991/10726/9787/90417/3192/332/10051/56992/81620/1778/9493/1062/9031/140735/11004/55055/699/23397/891/55143/221150/54908/29127/1058/23212/348235/8243/27183/4085/64151/27243/23063/23310/387/701/3550/81930/440145/23636/7283/1781/84722/11130/7272/10403/51203/57132/8678/6993/54892/983/8766/2491/9212/22919/26065/9525/10592/57405/5885/51143/83903/387893/83540/92421/147841/54617/26271/64105/11200/9587/54627/79643/10615/9126/11044/3021/79003/8899/8467/10540/8697/10524/25978",NA,"BP"
"GO:0090068","positive regulation of cell cycle process",213,0.490955679343415,2.48004379073156,1e-10,1.25106382978723e-08,5.21192653702082e-09,3532,"tags=46%, list=20%, signal=37%","595/894/6241/1981/6491/994/57082/5292/1894/56852/3619/990/7027/81610/7564/54623/9928/5347/8502/898/1104/220134/11065/993/991/11113/144455/9787/382/3192/332/2237/10051/995/1778/9493/6790/140735/55920/699/23397/891/55143/221150/29127/1654/55968/23137/4085/64151/51514/387/137886/10733/23636/1781/163786/10403/9585/5586/51203/8678/4041/23236/84967/6993/51692/79733/54892/983/8766/10361/207/10869/9212/2146/55835/9525/5514/10592/29899/5885/256006/51143/8555/199/6240/3553/6840/54617/10755/26271/9555/9587/54627/252983/10615/10635/23276",NA,"BP"
"GO:1905709","negative regulation of membrane permeability",15,0.828424784841871,2.44390508809866,1.75071445891039e-07,7.19177290686423e-06,2.9960895015155e-06,1367,"tags=53%, list=8%, signal=49%","578/10449/255027/3099/292/664/8326/598",0.690132458796796,"BP"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",124,0.522196673733495,2.43624786335158,1e-10,1.25106382978723e-08,5.21192653702082e-09,4628,"tags=54%, list=27%, signal=40%","3998/10342/6836/7415/22820/1314/9871/10652/378/64746/10525/9276/2801/9632/54732/372/55014/90411/5861/22872/1453/10483/6811/11196/339122/10802/3638/8729/60561/8615/10959/51014/123720/553115/1315/23423/9527/6396/10016/11316/6845/10972/26958/10113/128637/29959/113419/81876/58485/90522/9321/51128/5537/56681/9183/53407/10897/10960/9217/64764/50999/146456/10427/9919/81555/57222/51246",NA,"BP"
"GO:0000075","cell cycle checkpoint signaling",189,0.480504146908572,2.38958438442431,1e-10,1.25106382978723e-08,5.21192653702082e-09,4773,"tags=58%, list=28%, signal=42%","4067/595/26270/151636/83666/57082/4582/3619/9319/990/8914/5347/1063/220134/991/63967/4998/332/81620/1778/140735/988/55055/699/891/29980/90381/55143/221150/54908/27183/4085/51514/60561/701/3550/79184/163859/8318/1781/11130/1017/7272/10403/57662/1111/672/6993/27339/51347/9575/3014/1386/983/4683/9212/5514/57405/51343/1869/80185/8454/51143/55159/7157/8555/83903/1407/83540/92421/5888/5883/5591/10116/5932/147841/11200/8525/9587/5983/580/23376/84444/54962/440275/8899/5985/57805/5982/8655/83990/9183/261726/1026/146956/3364/84446/55743/79968/79035/54888/51776/84126/9344/25896/10926/116224/79791/54584",NA,"BP"
"GO:0050000","chromosome localization",112,0.527073360219209,2.38487090579471,1.19981973851937e-10,1.41098801249878e-08,5.87816999474067e-09,4004,"tags=55%, list=23%, signal=43%","57082/1894/3833/3619/81610/3837/9928/1063/220134/10726/9787/90417/3192/332/81620/1778/1062/4751/11004/55920/55055/891/55143/221150/54908/29127/1058/23212/348235/27183/27243/81930/23636/84722/11130/7272/10403/57132/8678/983/8766/151648/4928/9212/22919/9525/57405/83540/92421/147841/7518/79643/10615/3021/79003/55201/10540/8697/10524/25978/9183/79980",0.826657301178302,"BP"
"GO:0098813","nuclear chromosome segregation",282,0.447422969143067,2.34908368687444,1e-10,1.25106382978723e-08,5.21192653702082e-09,4004,"tags=47%, list=23%, signal=37%","57082/24137/3832/9918/1894/3833/3619/2801/9319/990/22974/81610/7153/3837/9928/5347/1063/9371/1104/220134/9055/11065/151246/146909/991/10726/9787/90417/3192/332/9897/10051/56992/81620/1778/9493/1062/4751/9031/140735/11004/55920/55055/699/23397/891/55143/221150/54908/29127/1058/23212/348235/60/8243/27183/4085/64151/27243/23063/23310/6599/387/701/1642/3550/81930/440145/10460/23636/7283/1781/84722/11130/7272/10403/51203/57132/8678/6993/116028/54892/983/8766/2491/996/151648/9212/22919/26065/9525/9275/10592/57405/5885/256006/51143/10783/55193/6597/83903/387893/83540/92421/147841/9232/54617/26271/64105/11200/9587/84057/54627/79643/10615/9126/11044/3021/79003/55201/100507650/8899/8467/10540/6603/8697/10524/25978/7917/8655/9183/79980",NA,"BP"
"GO:0050892","intestinal absorption",31,0.669835093974313,2.33190639913074,1.60323429443987e-06,4.62108708397373e-05,1.92514289274456e-05,3483,"tags=61%, list=20%, signal=49%","3784/29881/339221/2346/1645/64240/3949/6523/10162/64241/150/5357/51474/9075/9414/50848/113235/7357/4864",0.643551836150722,"BP"
"GO:0050792","regulation of viral process",128,0.499880404566267,2.33053442073301,1.86038387816766e-10,2.11475079526475e-08,8.81004272252096e-09,4275,"tags=50%, list=25%, signal=38%","5034/57169/6732/103/6772/5819/6737/7301/9830/7342/7706/7153/26986/3838/23367/10614/201626/7113/55337/8519/1654/2040/6780/3669/27183/8815/147339/24138/1642/200315/23633/57506/9582/7538/5586/10410/3576/6993/90120/10581/7879/5987/11074/89870/3965/64135/81559/3609/1660/5045/128637/22954/85363/10318/5481/684/7251/9235/30835/27350/6609/9217/55254/5610",0.826657301178302,"BP"
"GO:0072524","pyridine-containing compound metabolic process",156,0.481548170861816,2.32322706469254,1e-10,1.25106382978723e-08,5.21192653702082e-09,4863,"tags=54%, list=28%, signal=40%","5226/3418/7086/7415/4860/2597/3091/2023/83666/10135/9759/5214/351/29968/669/80201/3099/9611/64223/54625/55163/48/3607/4200/125061/5236/84676/405/2821/5223/5230/23729/2539/226/8671/3101/10165/3417/2806/4191/5209/2805/160428/79751/51422/221937/2820/57103/160728/2475/55526/7157/3939/55191/51341/5208/22934/6714/6888/5315/5211/5562/9555/93100/5515/23530/5634/5566/54956/4967/64080/249/2203/7167/3458/3692/5465/25819/3620/53632/3098/4199/11212/5663/23498",NA,"BP"
"GO:0034976","response to endoplasmic reticulum stress",256,0.447875358716611,2.31255676176032,1e-10,1.25106382978723e-08,5.21192653702082e-09,4717,"tags=50%, list=27%, signal=37%","5034/6774/3309/7494/9601/26270/7415/79094/578/23197/1981/2923/7184/168620/55666/5611/9709/57003/351/23071/10525/55210/7706/811/9131/1051/467/11153/821/79139/81502/51465/10613/84919/10130/10905/23190/10162/80267/26003/488/100289255/51283/1654/153090/598/468/54546/30001/27248/29979/7873/317/6400/55161/282679/9695/1938/3576/4189/4780/8440/3725/91319/2081/27230/10280/84699/6449/207/10869/8795/54870/23392/29982/246/83590/55829/4121/55298/7157/7353/118424/51439/26232/153830/201595/1388/4217/5366/165324/51009/4976/51506/64714/55432/10952/23376/746/51528/90993/83667/54956/9451/7917/55741/192683/57414/25/51493/10956/26608/79029/9354/83734/9217/10488/64764/7466/54788/81542/10277/9919/160418/27113/51246/51776/550",NA,"BP"
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",17,0.765192252095982,2.31201737857771,1.09819085924339e-06,3.47170013567264e-05,1.44630878416237e-05,4078,"tags=100%, list=24%, signal=77%","6890/3106/3077/3416/6891/3134/3133/3107/3105/6892/64167/563/567/3136/3135/51752/79465",0.643551836150722,"BP"
"GO:0035795","negative regulation of mitochondrial membrane permeability",13,0.841841782975943,2.31085705806974,1.74427228889346e-07,7.19177290686423e-06,2.9960895015155e-06,1367,"tags=62%, list=8%, signal=57%","578/10449/255027/3099/292/664/8326/598",0.690132458796796,"BP"
"GO:0051983","regulation of chromosome segregation",133,0.483744570523609,2.30525233034507,6.0368773614158e-10,5.63441887065474e-08,2.34729647948103e-08,3977,"tags=49%, list=23%, signal=38%","57082/56852/3619/9319/990/5347/1063/220134/11065/991/9787/3192/332/10051/1778/1062/140735/11004/55920/55055/699/23397/891/55143/221150/54908/23137/9698/60/4085/64151/6599/701/3550/10460/1781/11130/7272/10403/8678/6993/116028/54892/983/996/9212/9275/10592/57405/5885/51143/10783/55193/6597/83903/83540/147841/26271/9587/8899/6603/8697/10524/8655/9183",0.801215574617779,"BP"
"GO:0070555","response to interleukin-1",96,0.510490120316199,2.29184940820885,1.53279103060659e-08,1.06033073646667e-06,4.41733329014023e-07,3558,"tags=45%, list=21%, signal=36%","4615/2633/3934/3091/80149/2634/9759/5578/5603/351/1051/3654/8792/5976/84676/153090/81030/6662/3576/23236/54726/169026/2729/9100/54472/5584/4824/8887/3965/7528/5595/4524/1116/1072/3557/6714/8986/3553/3280/29108/166/5970/5609",0.73376198835648,"BP"
"GO:0006986","response to unfolded protein",139,0.479370168628664,2.28819930204296,2.51088612889435e-10,2.63643043533907e-08,1.09833578605577e-08,4327,"tags=48%, list=25%, signal=36%","6774/3309/7494/26270/7415/79094/578/23197/9531/168620/5611/9709/23071/55210/467/11153/3329/3320/79139/3310/84919/23190/80267/51283/153090/468/23471/27248/7873/3301/55161/3312/9695/4189/4780/8440/91319/2081/27230/84699/207/54870/55829/3326/9927/3308/118424/201595/1388/51009/55432/23376/51528/3337/90993/54956/9451/55741/57414/51493/10956/26608/23456/9217/10488/64764/7466",0.814035837847908,"BP"
"GO:0007059","chromosome segregation",383,0.422761928490162,2.28390556662899,1e-10,1.25106382978723e-08,5.21192653702082e-09,3827,"tags=42%, list=22%, signal=33%","6732/6491/57082/24137/3832/157313/9918/1894/56852/4288/79080/3833/3619/2801/9319/990/22974/55839/81610/7153/3837/8239/9928/5347/1063/9611/9371/1104/220134/9055/11065/151246/146909/292/991/10726/9787/90417/1453/23255/3192/55355/332/9897/10051/56992/81620/1778/9493/1062/4751/9031/140735/11004/55920/55055/699/23397/891/55143/221150/54908/79172/29127/378708/1654/1058/23212/348235/23137/9698/60/8243/27183/4085/64151/27243/23063/23310/6599/387/701/1642/3550/81930/440145/10460/23636/79682/7283/1781/84722/163786/11130/7272/10403/51203/57132/8678/672/6993/116028/54892/983/8766/2491/996/151648/9400/9212/22919/2068/55142/55835/26065/127829/9525/9275/10592/29899/57405/5885/256006/5518/9391/51143/10783/10664/55193/79019/6597/83903/387893/83540/92421/147841/9232/54617/26271/6047/64105/11200/9587/84057/54627/79643/10615/9126/11044/3021/79003/29901/55201/100507650/8899/8467/10540/6603/8697/10524/25978",NA,"BP"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis",155,0.471306528761644,2.26775498566479,1.0683413720879e-10,1.28200964650548e-08,5.34084667644413e-09,3827,"tags=50%, list=22%, signal=39%","7415/9793/6491/24137/3832/89958/3833/3619/2801/22974/1213/3837/1639/5347/9371/1104/9055/10726/9787/3192/332/56992/1778/9493/1062/6790/10671/891/55143/54908/29127/1058/55968/8243/27243/387/137886/440145/10460/23636/7283/84722/163786/7272/10403/51203/57132/6993/983/8766/10039/55726/79866/9212/22919/55835/26065/284403/3688/9525/5048/29899/57405/3636/10783/79187/3925/83540/92421/11200/54627/79643/9126/55201/10540/10524/25978",0.839088935621274,"BP"
"GO:0006457","protein folding",199,0.451034640988321,2.25494602379464,1e-10,1.25106382978723e-08,5.21192653702082e-09,3751,"tags=40%, list=22%, signal=32%","5034/3998/3309/9601/9531/2923/7184/56886/51726/5611/10131/9759/57003/23071/811/9131/3329/3320/821/10954/10726/56605/3310/10130/10105/79031/81567/80331/2580/5479/23759/23640/8570/81611/51645/6782/23184/30001/10283/3301/6102/6892/81572/3312/7266/10845/9529/23753/219899/7841/5202/5768/10728/2281/10574/10856/3326/22948/28958/6950/10694/80273/1409/3308/51182/10294/60626/150353/972/4802/64374/8195/64714/7265/79087/3337/5481/5903/2289/908",NA,"BP"
"GO:0032527","protein exit from endoplasmic reticulum",46,0.573703700810639,2.25109551554371,1.72135175194792e-06,4.91337296187076e-05,2.04690906383329e-05,4717,"tags=67%, list=27%, signal=49%","7415/23197/7184/9871/55666/9709/9632/79139/22872/81502/51465/10802/9895/27248/6400/9695/91319/6396/55829/7353/51009/55432/10952/51128/56681/55741/10956/79029/10427/9919/550",0.643551836150722,"BP"
"GO:0097193","intrinsic apoptotic signaling pathway",266,0.426734382782076,2.24113717511037,1e-10,1.25106382978723e-08,5.21192653702082e-09,3915,"tags=41%, list=23%, signal=33%","5034/6774/7494/5831/836/8531/9026/79094/578/3091/8876/8737/2023/6647/9709/6280/4582/8428/10131/259230/351/10525/138151/1499/9131/1051/51527/637/85329/1984/4609/10105/330/664/6279/4170/54205/100289255/1654/23028/153090/84893/598/7159/468/5604/54546/7133/30001/25793/29979/317/22938/3301/7132/204851/5163/3717/8678/840/9529/672/5580/4780/9368/1386/8440/54541/2081/4824/1969/83596/3429/55075/207/8795/54870/51657/10514/23368/5329/5598/55829/5371/1869/220042/8454/7157/4841/6794/602/6714/5591/972/4217/5366/22954/4976/11200/29108/29965/2956/5743/3090/4193/90993/57805/8321/9451/7917",NA,"BP"
"GO:0000910","cytokinesis",173,0.446950077963118,2.2291102826934,6.46381105142276e-10,5.93862640349467e-08,2.47402920689428e-08,3462,"tags=40%, list=20%, signal=32%","63971/128239/994/79784/4627/24137/1894/3619/55165/990/54443/23176/7798/9928/5347/375/8502/9055/11113/144455/382/332/9897/9493/6790/55143/84440/29127/1058/26586/27183/598/27243/387/1642/10112/311/51100/23636/9585/5586/51203/57132/4735/10640/8678/10788/808/79733/6711/8766/801/9212/80344/9525/149371/1072/11021/79187/8826/3925/8555/116840/92421/51429/6840/10755/54627/79643",0.801215574617779,"BP"
"GO:0045066","regulatory T cell differentiation",47,0.574627821976215,2.22048471231443,2.24448802297588e-06,6.13841375585962e-05,2.55726053200814e-05,3998,"tags=53%, list=23%, signal=41%","3659/5690/5696/63976/5699/5698/5685/5684/64410/8651/55626/5686/3123/9760/2309/5683/5687/3135/10288/5692/4192/10524/3122/2175/5688",0.627256739718528,"BP"
"GO:0006487","protein N-linked glycosylation",77,0.514864835048725,2.21953472743626,2.83140004579677e-07,1.08108001748604e-05,4.50377470567323e-06,4361,"tags=53%, list=25%, signal=40%","2526/56886/3703/23193/4245/2683/1798/51465/6185/10905/1650/6184/5373/2525/7841/11320/4124/84061/91319/55858/2530/79644/5589/116150/4247/4121/56052/29880/201595/5238/199857/10195/64116/79087/2528/746/85365/58505/200185/440138/79796",0.674962860011025,"BP"
"GO:0007088","regulation of mitotic nuclear division",114,0.477001646472936,2.20773051885342,2.23022757792063e-08,1.42540632154058e-06,5.93823660822966e-07,3388,"tags=45%, list=20%, signal=36%","57082/157313/4288/3619/9319/5347/1063/1104/220134/11065/991/9787/332/995/1778/4751/6790/140735/55055/699/891/55143/221150/54908/10419/4085/701/3550/23636/1781/11130/7272/10403/9585/51203/10040/4041/1111/6993/79866/9212/57405/5885/51143/9088/83903/83540/3553/147841/26271/9587",0.73376198835648,"BP"
"GO:0009060","aerobic respiration",249,0.432679309775574,2.20482630664964,1e-10,1.25106382978723e-08,5.21192653702082e-09,4895,"tags=46%, list=28%, signal=34%","3418/7415/3419/2597/3091/2023/9759/5214/351/10295/3416/6389/669/506/80201/3099/3421/9611/64223/6472/48/3607/538/56181/10105/1743/1738/5236/891/113115/54205/84676/405/2821/5223/5230/387/226/8671/3101/50/7385/3417/4191/5209/5163/1737/51422/221937/7386/983/4702/9377/4728/5160/57103/498/5166/4720/4726/9927/1431/6391/2475/55526/3939/51341/51103/5208/4512/8050/6714/5018/5315/5211/5562/205327/30968/9555/5515/23530/5566/1537/374291/4967/4514/84275/4719/539/54539/509/4715/2203/9167/84277/513/4710/4513/7167/93974/3458/3692/522/4723/5465/2271/53632/3098/1337/4704/7384/5663/4722/6834/515",NA,"BP"
"GO:1900024","regulation of substrate adhesion-dependent cell spreading",50,0.548592395768893,2.18599268116483,7.43115865743446e-06,0.000167414608834156,6.97448540747988e-05,4013,"tags=48%, list=23%, signal=37%","5034/10562/5879/2633/5318/81/55604/811/1398/5747/55920/81848/8829/23603/6239/708/57091/253725/10855/1399/4192/5881/25/2931",0.610526878385931,"BP"
"GO:0030968","endoplasmic reticulum unfolded protein response",89,0.492101517239992,2.18112641248431,5.54429230787042e-07,1.95212208205258e-05,8.13253220236132e-06,4327,"tags=49%, list=25%, signal=37%","6774/3309/7494/7415/578/168620/5611/9709/55210/467/11153/79139/84919/80267/51283/153090/468/27248/7873/55161/4189/4780/8440/91319/2081/27230/207/54870/55829/1388/51009/55432/23376/90993/54956/9451/55741/57414/51493/10956/26608/9217/10488/7466",0.659444398037935,"BP"
"GO:0051607","defense response to virus",261,0.416472136349613,2.17556356010027,1e-10,1.25106382978723e-08,5.21192653702082e-09,4275,"tags=43%, list=25%, signal=33%","1755/3659/834/64332/4615/2633/151636/57169/3437/80149/2634/103/6772/83666/5611/6737/64771/55210/7706/7726/7874/10146/3320/11128/79594/51251/10269/664/201626/55337/55324/8519/26146/3669/598/81570/24138/115362/200315/6502/54765/57506/81030/9582/29110/4343/10410/7098/10623/8678/149233/64343/54726/4277/10581/5987/54541/81844/11074/89870/3429/64135/146857/64108/9188/708/79102/2150/5495/5371/25939/406933/6773/81559/3609/10084/1660/55703/9868/5551/3588/148022/3553/8399/5366/22954/80212/85363/29108/5970/684/3433/10155/440275/8165/8467/83737/1653/5245/84166/27350/197259/10758/10955/55284/112703/9217/11331/3458/338376/5610",NA,"BP"
"GO:0036503","ERAD pathway",108,0.471820570260786,2.17300353305142,1.34406024563413e-07,5.76866733162679e-06,2.40322433061341e-06,4454,"tags=51%, list=26%, signal=38%","3309/7494/26270/7415/23197/7184/55666/9709/57003/7706/811/821/79139/81502/51465/10613/10905/23190/80267/27248/29979/6400/282679/9695/4189/4780/91319/6449/10869/23392/83590/55829/4121/55298/7353/118424/51439/26232/153830/201595/165324/51009/55432/10952/51528/7917/55741/57414/10956/79029/9354/7466/54788/81542/10277",0.690132458796796,"BP"
"GO:0019058","viral life cycle",264,0.416465129281312,2.16948879506659,1e-10,1.25106382978723e-08,5.21192653702082e-09,3950,"tags=39%, list=23%, signal=31%","6541/5034/4038/7415/57169/6732/80149/103/5819/1508/4627/6737/7301/5093/3416/1488/7706/7153/3673/5861/26986/3838/3949/81607/7037/4035/23367/137492/201626/55065/10663/7113/55337/8519/339122/1654/6780/23137/3669/27183/8815/147339/27243/24138/1642/949/200315/23633/57506/9582/5586/10410/57132/25945/6510/8829/3576/11060/5818/90861/6993/10581/7879/983/3839/1969/11074/89870/3965/64135/50848/3688/3326/9525/79581/6520/9213/81559/3609/1605/92421/6714/5045/128637/1948/81876/290/85363/79643/4864/10318/1234/5481/684/7251/440275/83737/5245/25978/9235/30835/6504/27350/7913",NA,"BP"
"GO:0006979","response to oxidative stress",361,0.402386514475981,2.16765920345876,1e-10,1.25106382978723e-08,5.21192653702082e-09,4758,"tags=48%, list=27%, signal=35%","5690/7494/5831/836/3934/135112/578/2730/4025/3091/8876/50506/5720/80149/8737/6647/2950/1728/8428/10131/2877/5578/5603/5717/1894/9283/5707/2168/4602/4891/7706/8754/9131/1398/3066/4779/5685/5684/81502/538/6667/10105/5704/664/10549/9314/5721/6780/405/9817/5066/8815/468/5604/2539/10197/5708/2643/3162/57019/5194/7168/5702/5599/1719/475/3717/10645/1938/10276/8678/5709/83636/5695/5601/5580/4277/4780/154807/5719/5686/2729/5700/1386/2936/983/4323/11101/2081/5718/5705/207/5701/4257/3040/2068/84883/5598/2395/9943/55829/2309/8807/5371/2110/4314/6810/1072/5683/8454/10213/51765/7157/5687/5536/3039/4512/7979/5693/199/6714/7001/847/5694/4217/347/22954/9124/5562/5713/9555/93100/5692/4363/5970/11047/5743/29957/4193/5111/2353/114757/83667/3163/4233/57707/4521/57190/5829/25/5688/23400/2878/374/57465/1545/11235/1147/7837/3082/54929/9415/5796/337/5195/57332/1909/26258/80777/56888/79912/948/79791",NA,"BP"
"GO:0140888","interferon-mediated signaling pathway",81,0.499516639514623,2.16534861629317,6.71630396694729e-07,2.29628337376832e-05,9.56630666422368e-06,3145,"tags=36%, list=18%, signal=29%","3659/4615/51441/6772/83666/9759/7474/3654/79594/54625/3093/5781/8519/54502/57506/81030/29110/10410/3717/64343/10581/81844/253943/3429/25939/6773/7157/3459/3588",0.659444398037935,"BP"
