"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",1e-04,0.000172413793103448,NA,0.482039124418745,2.40843102189827,189
"HALLMARK_ALLOGRAFT_REJECTION",0.0015367328417277,0.00232838309352682,0.45505986738723,0.315427877290513,1.56667276877041,185
"HALLMARK_ANDROGEN_RESPONSE",1e-04,0.000172413793103448,NA,0.521168853205901,2.33192928059535,96
"HALLMARK_ANGIOGENESIS",0.0160909258385448,0.0196230802909083,0.352487857583619,0.448800251738467,1.57774012675765,30
"HALLMARK_APICAL_JUNCTION",0.00220640542745196,0.00324471386389994,0.431707695803346,0.307420935456655,1.51802417148317,180
"HALLMARK_APICAL_SURFACE",0.0941176470588235,0.109439124487004,0.204294756516886,0.355750987675902,1.32172199259479,40
"HALLMARK_APOPTOSIS",1e-04,0.000172413793103448,NA,0.453415266465208,2.2010195799163,154
"HALLMARK_BILE_ACID_METABOLISM",0.26775956284153,0.297510625379478,0.110122263835536,0.244056532622933,1.10566952208069,100
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1e-04,0.000172413793103448,NA,0.488145370578124,2.0852311389243,74
"HALLMARK_COAGULATION",0.0075016400356096,0.0101373513994724,0.407017918923954,0.335767084362986,1.54988141370027,110
"HALLMARK_COMPLEMENT",1e-04,0.000172413793103448,NA,0.369486954665124,1.83517435193788,185
"HALLMARK_DNA_REPAIR",0.000261287678692769,0.000435479464487948,0.49849310876659,0.348108109495835,1.6846084123494,148
"HALLMARK_E2F_TARGETS",1e-04,0.000172413793103448,NA,0.587944784297497,2.96587128920173,200
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.474387527839644,0.494153674832962,0.0878312634480124,-0.192422218182976,-0.99176457769658,190
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1e-04,0.000172413793103448,NA,0.342789684196722,1.72098177386231,191
"HALLMARK_ESTROGEN_RESPONSE_LATE",1e-04,0.000172413793103448,NA,0.377773618643807,1.87633270138648,185
"HALLMARK_FATTY_ACID_METABOLISM",1e-04,0.000172413793103448,NA,0.482910165591702,2.33426193949008,147
"HALLMARK_G2M_CHECKPOINT",1e-04,0.000172413793103448,NA,0.633590655833626,3.18299461207589,197
"HALLMARK_GLYCOLYSIS",1e-04,0.000172413793103448,NA,0.514889117896572,2.56869305446948,188
"HALLMARK_HEDGEHOG_SIGNALING",0.302144249512671,0.328417662513772,0.106729884364606,0.31216048547836,1.11185148621796,33
"HALLMARK_HEME_METABOLISM",1e-04,0.000172413793103448,NA,0.400438204699915,1.98040573572718,178
"HALLMARK_HYPOXIA",1e-04,0.000172413793103448,NA,0.364186707737427,1.81686470771975,188
"HALLMARK_IL2_STAT5_SIGNALING",1e-04,0.000172413793103448,NA,0.34549541487137,1.73456594337127,191
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1e-04,0.000172413793103448,NA,0.46529831629119,2.02187639668142,80
"HALLMARK_INFLAMMATORY_RESPONSE",0.0009755974325648,0.0015243709883825,0.477270815362862,0.318643499852828,1.58837096385733,186
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1e-04,0.000172413793103448,NA,0.6286043200426,2.81264087598294,96
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1e-04,0.000172413793103448,NA,0.56839393680442,2.85071657561875,194
"HALLMARK_KRAS_SIGNALING_DN",0.00550085763104882,0.00764008004312336,0.407017918923954,-0.297308560740138,-1.43863148276049,132
"HALLMARK_KRAS_SIGNALING_UP",0.0298323609016629,0.0355147153591225,0.352487857583619,0.263876974790667,1.31042704629789,183
"HALLMARK_MITOTIC_SPINDLE",1e-04,0.000172413793103448,NA,0.434902443260061,2.18483672530504,197
"HALLMARK_MTORC1_SIGNALING",1e-04,0.000172413793103448,NA,0.579392573762589,2.92369849966983,199
"HALLMARK_MYC_TARGETS_V1",1e-04,0.000172413793103448,NA,0.569466248260979,2.87360882940045,199
"HALLMARK_MYC_TARGETS_V2",1e-04,0.000172413793103448,NA,0.580521700009553,2.36843437639681,58
"HALLMARK_MYOGENESIS",0.881508078994614,0.881508078994614,0.0465084048719156,0.16593254057634,0.813425061303814,163
"HALLMARK_NOTCH_SIGNALING",0.342911877394636,0.364799869568762,0.0978773277424561,0.30082755230137,1.06389284943733,31
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1e-04,0.000172413793103448,NA,0.486355581947183,2.45422041917245,199
"HALLMARK_P53_PATHWAY",0.00947894890843744,0.0118486861355468,0.380730400722792,0.287008993760935,1.4405949455251,195
"HALLMARK_PANCREAS_BETA_CELLS",0.109195402298851,0.124085684430512,0.186432558434075,0.375678695871272,1.33401448624001,32
"HALLMARK_PEROXISOME",0.000640995717666053,0.0010338640607517,0.477270815362862,0.387787549361351,1.74050689714854,97
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1e-04,0.000172413793103448,NA,0.41609669220068,1.87156668244731,98
"HALLMARK_PROTEIN_SECRETION",1e-04,0.000172413793103448,NA,0.54211084615534,2.41518131852244,94
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1e-04,0.000172413793103448,NA,0.612509768848345,2.34552314890691,46
"HALLMARK_SPERMATOGENESIS",0.00796176960114975,0.0104760126330918,0.380730400722792,0.342804398174914,1.52747618342327,93
"HALLMARK_TGF_BETA_SIGNALING",0.0050708374894415,0.007244053556345,0.407017918923954,0.411047609158452,1.63764389047116,52
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-04,0.000172413793103448,NA,0.410014700877964,2.05848617901126,191
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1e-04,0.000172413793103448,NA,0.595592029025654,2.75766810348507,111
"HALLMARK_UV_RESPONSE_DN",0.831842576028623,0.848818955131247,0.0489954089862481,0.174815914820256,0.84060542244886,144
"HALLMARK_UV_RESPONSE_UP",1e-04,0.000172413793103448,NA,0.495235146211324,2.39383768507433,147
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00929558669195028,0.0118486861355468,0.380730400722792,0.43094329167788,1.59762714150702,39
"HALLMARK_XENOBIOTIC_METABOLISM",1e-04,0.000172413793103448,NA,0.452241706751873,2.2333577447614,177
