"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04141","Protein processing in endoplasmic reticulum",166,0.569856443025184,2.79033445383519,1e-10,3.52e-09,3.33517916306031e-10,4334,"tags=63%, list=25%, signal=48%","5034/3998/3309/7494/9601/26270/6238/7415/578/10970/2923/7184/56886/29927/9871/3703/55666/51726/5611/9709/5887/9373/6747/23193/10525/9632/811/3320/821/79139/22872/51465/10483/56605/3310/10130/6185/10905/23190/81567/80331/80267/1650/823/23640/10802/55968/6184/468/23471/30001/27248/29979/3301/6400/6748/5599/3312/9695/6745/7841/5601/4780/84061/91319/2081/6396/64215/55829/3326/5589/8454/4121/1409/7353/118424/26232/7321/10294/201595/10113/1388/4217/7326/165324/64374/51009/55432/10952/746/3337/5609/7322/51128/56681/9451/55741/58505/6746/10956/10960/7323/200185/7466/54788",NA
"hsa03050","Proteasome",43,0.688383259706069,2.60086233851612,3.37743777364125e-10,9.14506227939784e-09,8.66489237475468e-10,3664,"tags=77%, list=21%, signal=61%","5690/5696/5720/5699/5717/5698/5707/5685/5684/5704/5721/10197/5708/5702/5709/5695/5719/5686/5700/5718/5705/5701/5683/10213/5687/7979/5693/5694/51371/5713/5692/11047/9491",0.814035837847908
"hsa01200","Carbon metabolism",103,0.550551931773965,2.46282249268956,1e-10,3.52e-09,3.33517916306031e-10,3409,"tags=51%, list=20%, signal=42%","5226/3418/7086/3419/2597/2023/5214/29968/6389/80201/3099/3421/6472/48/4200/84706/1743/1738/4329/39/2731/2821/8310/5223/5230/2539/226/3101/50/9104/3417/2806/6470/4191/2805/1737/113675/26275/128/5160/5096/55902/51/1431/6391/22934/6888/26227/847/5315/5211/283871/2098",NA
"hsa04110","Cell cycle",154,0.497307957028999,2.38871581288024,1e-10,3.52e-09,3.33517916306031e-10,4058,"tags=52%, list=23%, signal=40%","1871/595/894/1028/994/57082/7532/9319/990/7027/7534/5347/3066/898/993/991/4609/4175/4998/81620/995/699/891/113130/90381/9133/7531/10912/4173/8243/4085/23063/157570/5526/701/6502/8318/7529/890/1017/7272/10403/1111/23594/983/4171/996/151648/9212/10971/3065/4176/5885/51343/1869/5518/8454/9088/7157/8555/4616/4089/5591/9232/7029/26271/11200/5525/9587/9126/5515/4172/4193/5111/8697/7533/25/246184/5516/1026",NA
"hsa05169","Epstein-Barr virus infection",180,0.484687507359235,2.38808062191909,1e-10,3.52e-09,3.33517916306031e-10,3090,"tags=39%, list=18%, signal=33%","4067/6774/1871/595/5879/4615/894/9541/836/6890/578/2923/3106/8737/6772/5603/5717/5707/8503/3108/7874/811/3066/898/3654/6891/637/3134/3133/3107/4609/3105/5704/841/4793/1432/3113/54205/10912/5708/317/22938/6502/6892/5702/5599/57506/890/1017/29110/5709/5601/5719/5700/3123/3725/5718/5705/355/207/5701/567/3065/1869/6773/10213/7157/4616/3135/7979/8819",NA
"hsa00020","Citrate cycle (TCA cycle)",29,0.661280421758675,2.36599129195333,2.62835869151421e-06,1.96847289236809e-05,1.86511641297588e-06,2689,"tags=52%, list=16%, signal=44%","3418/3419/6389/3421/48/1743/1738/50/3417/4191/1737/47/5160/1431/6391",0.627256739718528
"hsa01230","Biosynthesis of amino acids",65,0.572176524700658,2.36108666329588,8.63492556031599e-09,1.59973357749012e-07,1.51573809491278e-08,3768,"tags=52%, list=22%, signal=41%","3418/7086/5831/3419/2597/2023/5214/29968/3421/6472/4144/48/84706/445/5223/27430/5230/226/435/50/3417/2806/6470/2805/113675/1431/22934/6888/26227/5315/5211/5634/95/2752",0.747739663149885
"hsa00030","Pentose phosphate pathway",26,0.677436792964907,2.32972386743041,2.48628780997795e-06,1.94482957580498e-05,1.84271451049096e-06,4107,"tags=62%, list=24%, signal=47%","5226/7086/5214/55276/5236/2821/23729/2539/226/9104/22934/6888/5211/5634/64080/2203",0.627256739718528
"hsa01212","Fatty acid metabolism",53,0.569135046977973,2.29701373465163,6.87843293988453e-07,6.5438064725388e-06,6.20021789611095e-07,4678,"tags=58%, list=27%, signal=43%","23305/1374/3295/10449/2194/2182/79071/51703/3033/37/39/8310/27349/79966/51144/34/30/51/9524/3030/1376/79993/6342/36/1962/201562/51102/6319/2181/9415/3032",0.659444398037935
"hsa00510","N-Glycan biosynthesis",52,0.577024589690434,2.29189895474282,3.75486626351742e-07,3.88739095517098e-06,3.68327991828277e-07,4361,"tags=63%, list=25%, signal=48%","3703/23193/4245/2683/1798/6185/10905/1650/6184/7841/11320/4124/84061/2530/79644/22845/4247/8704/4121/56052/29880/8818/201595/199857/10195/79087/746/85365/8703/58505/200185/440138/79796",0.674962860011025
