"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-8856688","Golgi-to-ER retrograde transport",122,0.600485159163368,2.81395371258199,1e-10,2.97241379310345e-09,8.17683001254526e-10,3406,"tags=57%, list=20%, signal=46%","6836/22820/2590/1314/124602/63908/24137/3832/378/3833/9276/54732/372/1639/375/5861/9371/547/146909/3799/5870/56992/1778/9493/1062/140735/11004/10671/4905/22818/26286/29127/8729/55083/60561/377/10112/81930/5049/5050/84790/1781/23095/10959/51014/9585/10945/1315/10376/11014/10749/10383/10121/23423/23303/1783/5048/51164/11316/51143/5321/56894/11015/10972/26958/8775/829/81876/8774",NA
"R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic",89,0.622228562286113,2.75686111282695,1e-10,2.97241379310345e-09,8.17683001254526e-10,3406,"tags=58%, list=20%, signal=47%","6836/22820/1314/124602/63908/24137/3832/378/3833/9276/54732/372/375/5861/9371/547/146909/3799/56992/9493/1062/11004/4905/22818/26286/29127/8729/55083/60561/377/10112/81930/84790/23095/10959/51014/9585/10945/1315/10376/11014/10749/10383/23423/23303/11316/11015/10972/26958/8775/81876/8774",NA
"R-HSA-9764561","Regulation of CDH1 Function",57,0.659579504719236,2.74829658598864,1e-10,2.97241379310345e-09,8.17683001254526e-10,3747,"tags=68%, list=22%, signal=54%","5690/71/1508/5717/5707/1499/1520/5685/5684/1495/5704/60/1500/7414/5708/5702/999/5709/5695/5719/5686/5700/3728/5718/5705/5701/5683/10213/5687/7979/1785/5693/6714/5694/5713/5692/11047/4193/79872",NA
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",39,0.726114493667429,2.7421545694429,1e-10,2.97241379310345e-09,8.17683001254526e-10,3598,"tags=79%, list=21%, signal=63%","5690/5696/5720/5699/5717/5698/5707/5685/5684/5704/5721/2209/5708/5702/5709/5695/5719/5686/5700/5718/5705/5701/5683/10213/5687/7979/5693/5694/5713/5692/11047",NA
"R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic",190,0.548772330145523,2.72297365463025,1e-10,2.97241379310345e-09,8.17683001254526e-10,3406,"tags=49%, list=20%, signal=40%","6836/22820/2590/1314/124602/63908/24137/10652/3832/378/3833/9276/54732/10226/372/1639/375/5861/9371/547/146909/3799/9341/5870/56992/10905/1778/9493/1062/140735/9342/11004/10671/55275/4905/6811/22818/26286/29127/339122/8729/55083/60561/377/9950/10112/81930/5049/9570/23647/5050/84790/1781/23095/10959/51014/9585/10945/7110/1315/4124/10376/11014/10749/9265/84342/9266/10383/10121/23423/9527/23303/1783/5048/51164/1523/11316/51143/4121/5321/56894/11015/79571/2803/10972/60592/26958/8775/829/400/10228/9827/81876/8774",NA
"R-HSA-381119","Unfolded Protein Response (UPR)",79,0.620632221258388,2.70397351945477,1e-10,2.97241379310345e-09,8.17683001254526e-10,4354,"tags=68%, list=25%, signal=51%","3309/7494/7184/51726/5611/9709/3068/10525/1639/811/1051/467/2673/10954/2137/22872/10130/6464/37/8570/9114/468/5526/9570/9695/1054/6745/3576/4189/2081/27230/84699/58477/56005/6734/118/11015/30827/10106/10113/1388/4802/8894/7094/1968/90993/55062/9451/2931/10897/10488/64764/7466/55033",NA
"R-HSA-1236974","ER-Phagosome pathway",76,0.616148422259308,2.69569727320367,1e-10,2.97241379310345e-09,8.17683001254526e-10,3598,"tags=66%, list=21%, signal=52%","5690/4615/6890/5696/2923/5720/29927/3106/5699/6280/5717/5698/5707/811/6891/5685/3134/5684/3133/3107/9341/3105/5704/6279/5721/5708/6892/5702/5709/5695/5719/5686/5700/5718/5705/5701/567/6810/5683/10213/5687/3135/7979/5693/5694/5713/5692/114609/10952/11047",NA
"R-HSA-2555396","Mitotic Metaphase and Anaphase",214,0.527074847514693,2.6865758450491,1e-10,2.97241379310345e-09,8.17683001254526e-10,4041,"tags=55%, list=23%, signal=42%","5690/9793/3930/57082/4001/5717/3619/5707/55839/3837/5347/1063/1104/220134/11065/151246/991/10726/5685/5684/332/1778/1062/140735/11004/5704/55920/55055/699/891/113130/55143/54908/9133/79172/378708/1058/348235/8243/27183/8815/4085/27243/23063/5526/5708/701/5905/6249/81930/23636/27338/5702/79682/84790/1781/11130/10403/5709/5695/2010/10376/5719/5686/5700/983/5718/5705/10383/2491/996/151648/4928/5701/9212/22919/6396/1783/5048/57405/5885/5518/5683/10213/51143/5687/55706/79019/7979/7321/83540/5693/92421/5694/147841/9232/26271/64105/5713/5525/23592/5692/79643/9126/79003/5515/5903/11047/8697/25978/8655/9183/5688/79980/23165/246184/5516",NA
"R-HSA-9958825","Activation of STAT3 by cadherin engagement",72,0.620329517439925,2.66624567451752,1e-10,2.97241379310345e-09,8.17683001254526e-10,3747,"tags=64%, list=22%, signal=50%","6774/5879/5690/71/1508/5717/5707/1499/1520/5685/5684/1495/5704/50649/60/1500/7414/5708/5702/3717/999/9855/5709/5695/127544/84231/5719/5686/5700/3728/5718/5705/5701/5683/10213/331/5687/7979/5693/6714/5694/5713/5692/5970/11047/79872",NA
"R-HSA-68882","Mitotic Anaphase",213,0.525941316755749,2.65173531224219,1e-10,2.97241379310345e-09,8.17683001254526e-10,4041,"tags=54%, list=23%, signal=42%","5690/9793/3930/57082/4001/5717/3619/5707/55839/3837/5347/1063/1104/220134/11065/151246/991/10726/5685/5684/332/1778/1062/140735/11004/5704/55920/55055/699/891/113130/55143/54908/9133/79172/378708/1058/348235/8243/27183/8815/4085/27243/23063/5526/5708/701/5905/6249/81930/23636/27338/5702/79682/84790/1781/11130/10403/5709/5695/2010/10376/5719/5686/5700/983/5718/5705/10383/2491/996/151648/4928/5701/9212/22919/6396/1783/5048/57405/5885/5518/5683/10213/51143/5687/55706/79019/7979/7321/83540/5693/92421/5694/147841/9232/64105/5713/5525/23592/5692/79643/9126/79003/5515/5903/11047/8697/25978/8655/9183/5688/79980/23165/246184/5516",NA
"R-HSA-1236975","Antigen processing-Cross presentation",90,0.588512574548616,2.65117309184648,1e-10,2.97241379310345e-09,8.17683001254526e-10,3598,"tags=59%, list=21%, signal=47%","5690/4615/6890/5696/2923/5720/29927/3106/5699/6280/5717/5698/5707/811/1520/6891/5685/3134/5684/3133/3107/9341/3105/5704/6279/5721/2209/4688/5708/6892/5702/5709/5695/5719/5686/5700/5718/5705/5701/567/6810/5683/10213/5687/3135/7979/5693/5694/5713/5692/114609/10952/11047",NA
"R-HSA-6807878","COPI-mediated anterograde transport",91,0.599955312864739,2.64559877464286,1e-10,2.97241379310345e-09,8.17683001254526e-10,3406,"tags=56%, list=20%, signal=45%","22820/1314/63908/10652/378/9276/2801/54732/372/1639/375/5861/1778/140735/10671/4905/6811/22818/26286/2804/6712/8729/377/9570/8615/84790/1781/10959/51014/10945/1315/10376/11014/6711/84342/10383/10121/23423/9527/1783/51164/11316/51143/11015/10972/6709/26958/8775/829/81876/8774",NA
"R-HSA-69620","Cell Cycle Checkpoints",266,0.507751367429021,2.63794288483018,1e-10,2.97241379310345e-09,8.17683001254526e-10,4058,"tags=56%, list=23%, signal=43%","5690/9793/51512/57082/5717/7532/3619/5707/990/55839/7534/5347/1063/7468/898/220134/11065/151246/993/991/10726/5685/9156/55388/5684/63967/4175/4998/332/51588/995/1778/1062/140735/11004/5704/55920/55055/699/891/8341/55143/1432/54908/9133/79172/7531/378708/1058/348235/4173/4085/5526/5708/701/5905/6249/7336/81930/79184/27338/5702/79682/8318/1781/7529/890/11130/1017/10403/165918/23291/1111/5709/5695/672/23594/5719/5686/116028/5700/3014/983/4171/5718/5705/2491/996/151648/4683/4928/5701/9212/22919/10971/8363/1454/6396/1783/5048/57405/4176/5518/5683/8454/10213/51143/9088/7157/5687/79019/7979/7321/83540/5693/85236/5883/5694/5932/147841/64105/11200/5713/5525/5983/1452/5692/580/79003/5515/9025/5903/11047/4172/4193/5985/8697/10524/5982/7533/8655/83990/9183/5688/79980/246184/5516/1026",NA
"R-HSA-2467813","Separation of Sister Chromatids",169,0.537041819610378,2.63513022837839,1e-10,2.97241379310345e-09,8.17683001254526e-10,4041,"tags=58%, list=23%, signal=45%","5690/9793/57082/5717/3619/5707/55839/5347/1063/220134/11065/151246/991/10726/5685/5684/332/1778/1062/140735/11004/5704/55920/55055/699/113130/55143/54908/79172/378708/1058/348235/8243/4085/23063/5526/5708/701/5905/6249/81930/27338/5702/79682/84790/1781/11130/10403/5709/5695/10376/5719/5686/5700/5718/5705/10383/2491/996/151648/4928/5701/9212/22919/6396/1783/5048/57405/5885/5518/5683/10213/51143/5687/79019/7979/7321/83540/5693/5694/147841/9232/64105/5713/5525/5692/9126/79003/5515/5903/11047/8697/8655/9183/5688/79980/246184/5516",NA
"R-HSA-9711123","Cellular response to chemical stress",186,0.530089815087742,2.61678263052166,1e-10,2.97241379310345e-09,8.17683001254526e-10,4490,"tags=56%, list=26%, signal=42%","5034/5226/6774/7086/5690/7415/2730/55666/6647/2950/1728/2877/6737/5717/5707/2168/10072/9611/79594/10498/5685/5684/81502/538/4609/6667/5704/8648/54205/7296/9817/598/468/30001/2539/4097/4688/5708/3162/6502/3417/5702/475/5709/5695/672/5580/4780/10499/5719/5686/2729/5700/2936/5584/9377/5718/5705/207/5701/3040/645/85441/96764/644/25828/5683/8454/10213/81631/5687/7353/23657/3039/4512/7979/6256/5693/6888/7001/847/5694/5713/5692/4363/5970/343/11047/79718/5469/83667/9451/3163/4514/5688/1026/2878/9167/374/4513/7314/1459/5465/139285/571",NA
"R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint",58,0.626892728198619,2.61337900831081,2.11718603518896e-10,6.08338120777628e-09,1.67348079708523e-09,4271,"tags=71%, list=25%, signal=53%","5690/51512/5717/5707/5347/3320/5685/5684/5704/891/9133/5708/5702/84790/5709/5695/10376/5719/5686/5700/983/5718/5705/10383/5701/22919/3326/5683/10213/7157/5687/7979/5693/5694/5713/5692/11047/5688/1026/63943/7314",0.826657301178302
"R-HSA-9755511","KEAP1-NFE2L2 pathway",110,0.564839189466716,2.61007035279366,1e-10,2.97241379310345e-09,8.17683001254526e-10,4562,"tags=63%, list=26%, signal=46%","5226/7086/5690/7415/2730/55666/1728/6737/5717/5707/10072/79594/5685/5684/4609/6667/5704/7296/9817/598/468/2539/4097/5708/3162/6502/3417/5702/5709/5695/672/5580/4780/5719/5686/2729/5700/2936/5584/5718/5705/207/5701/5683/8454/10213/81631/5687/7353/23657/7979/5693/6888/5694/5713/5692/4363/5970/11047/83667/9451/5688/1026/374/7314/1459/139285/571/1950",NA
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion",119,0.558880626544707,2.60810176591913,1e-10,2.97241379310345e-09,8.17683001254526e-10,4154,"tags=58%, list=24%, signal=44%","9793/57082/3619/55839/5347/1063/220134/151246/991/10726/332/1778/1062/140735/11004/55920/55055/699/891/113130/55143/54908/9133/79172/378708/1058/348235/8243/4085/23063/5526/701/5905/6249/81930/79682/84790/1781/11130/10403/10376/983/10383/2491/151648/4928/9212/22919/6396/1783/5048/57405/5885/5518/51143/79019/83540/147841/64105/5525/9126/79003/5515/5903/8655/9183/79980/5516/91687",NA
"R-HSA-141424","Amplification of signal from the kinetochores",93,0.576551408030206,2.60466414348653,1e-10,2.97241379310345e-09,8.17683001254526e-10,4154,"tags=62%, list=24%, signal=48%","9793/57082/3619/55839/5347/1063/220134/151246/991/10726/332/1778/1062/140735/11004/55920/55055/699/55143/54908/79172/378708/1058/348235/4085/5526/701/5905/6249/81930/79682/1781/11130/10403/2491/151648/4928/9212/22919/6396/1783/5048/57405/5518/51143/79019/83540/147841/64105/5525/79003/5515/5903/8655/9183/79980/5516/91687",NA
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",93,0.576551408030206,2.60466414348653,1e-10,2.97241379310345e-09,8.17683001254526e-10,4154,"tags=62%, list=24%, signal=48%","9793/57082/3619/55839/5347/1063/220134/151246/991/10726/332/1778/1062/140735/11004/55920/55055/699/55143/54908/79172/378708/1058/348235/4085/5526/701/5905/6249/81930/79682/1781/11130/10403/2491/151648/4928/9212/22919/6396/1783/5048/57405/5518/51143/79019/83540/147841/64105/5525/79003/5515/5903/8655/9183/79980/5516/91687",NA
"R-HSA-446203","Asparagine N-linked glycosylation",288,0.496886091207493,2.60173264203486,1e-10,2.97241379310345e-09,8.17683001254526e-10,4588,"tags=54%, list=27%, signal=40%","2762/3998/9334/10342/64841/7415/9761/22820/1314/2923/56886/63908/9871/3703/5887/7264/10652/378/23193/9276/2801/5265/9632/54732/372/55014/140838/90411/1639/811/4245/375/5861/2673/2683/821/55907/1798/79139/22872/1453/6185/10905/1778/4597/140735/10671/80267/4905/6811/11196/22818/26286/1650/2804/10802/6184/6712/8729/8702/377/5373/6400/9570/8615/84790/1781/9695/10959/51014/2720/10945/2525/7841/55808/11320/1315/4124/10376/55343/84061/5700/11014/6711/432/84342/10383/2530/10121/79644/23423/9527/6396/1783/5589/51164/11316/116150/22845/4247/8704/51143/4121/56052/11015/29880/8818/10972/6709/26958/201595/10113/8775/829/5238/10175/199857/128637/10195/51009/81876/8774/29925/58485/79087/29926/746/1522/85365/22870/91949/51128/55291/5537/4351/10540/8703/55741/58505/8655/1075/54187/10956/10960/374/6483/7314/440138/79796/51272/10427/6675/64689/9919/1604/3098",NA
"R-HSA-9764265","Regulation of CDH1 Expression and Function",157,0.539840697140562,2.60014560644872,1e-10,2.97241379310345e-09,8.17683001254526e-10,4616,"tags=58%, list=27%, signal=43%","5690/71/3703/1508/5717/23193/5707/1488/1499/9743/1520/3066/9789/821/5685/5684/4609/11171/6185/6667/1495/5704/8341/3170/1650/9314/90701/23028/60/6184/60559/1500/7414/5708/5702/4343/999/5709/5695/7841/5046/5719/5928/5686/5700/3014/3728/5718/5705/5701/116092/2146/8363/5595/7764/3065/5589/5683/10213/5687/6597/7979/387893/1785/5693/6714/85236/94234/5694/5045/5315/5713/687/5692/3021/746/11047/5931/10009/4193/79872/58505/5688/27327/7314/23396/1459/94239/7088/28972/2060",NA
"R-HSA-9764274","Regulation of Expression and Function of Type I Classical Cadherins",157,0.539840697140562,2.60014560644872,1e-10,2.97241379310345e-09,8.17683001254526e-10,4616,"tags=58%, list=27%, signal=43%","5690/71/3703/1508/5717/23193/5707/1488/1499/9743/1520/3066/9789/821/5685/5684/4609/11171/6185/6667/1495/5704/8341/3170/1650/9314/90701/23028/60/6184/60559/1500/7414/5708/5702/4343/999/5709/5695/7841/5046/5719/5928/5686/5700/3014/3728/5718/5705/5701/116092/2146/8363/5595/7764/3065/5589/5683/10213/5687/6597/7979/387893/1785/5693/6714/85236/94234/5694/5045/5315/5713/687/5692/3021/746/11047/5931/10009/4193/79872/58505/5688/27327/7314/23396/1459/94239/7088/28972/2060",NA
"R-HSA-69481","G2/M Checkpoints",133,0.547832426747104,2.59739754653233,1e-10,2.97241379310345e-09,8.17683001254526e-10,3998,"tags=58%, list=23%, signal=45%","5690/51512/5717/7532/5707/990/7534/7468/993/5685/9156/55388/5684/63967/4175/4998/51588/995/5704/891/8341/9133/7531/4173/5708/7336/79184/5702/8318/7529/890/1017/165918/1111/5709/5695/672/23594/5719/5686/116028/5700/3014/983/4171/5718/5705/4683/5701/10971/8363/4176/5683/10213/9088/7157/5687/7979/5693/85236/5883/5694/5932/11200/5713/5983/5692/580/9025/11047/4172/5985/10524/5982/7533/83990/5688",NA
"R-HSA-948021","Transport to the Golgi and subsequent modification",168,0.533439170948202,2.59614861283386,1e-10,2.97241379310345e-09,8.17683001254526e-10,3787,"tags=52%, list=22%, signal=41%","3998/9334/10342/22820/1314/63908/9871/10652/378/9276/2801/5265/9632/54732/372/55014/90411/1639/4245/375/5861/2683/22872/1453/10905/1778/140735/10671/4905/6811/11196/22818/26286/2804/10802/6712/8729/8702/377/9570/8615/84790/1781/10959/51014/10945/2525/11320/1315/4124/10376/11014/6711/84342/10383/2530/10121/23423/9527/6396/1783/51164/11316/4247/8704/51143/4121/11015/10972/6709/26958/10113/8775/829/10175/128637/81876/8774/58485/1522/22870/91949/51128/55291/5537/10540/8703",NA
"R-HSA-9766229","Degradation of CDH1",52,0.655473269264786,2.58588722554248,2.4790187674771e-10,7.00627599201725e-09,1.92736044828696e-09,3747,"tags=69%, list=22%, signal=54%","5690/1508/5717/5707/1499/1520/5685/5684/1495/5704/1500/5708/5702/999/5709/5695/5719/5686/5700/3728/5718/5705/5701/5683/10213/5687/7979/1785/5693/6714/5694/5713/5692/11047/4193/79872",0.814035837847908
"R-HSA-351202","Metabolism of polyamines",45,0.670727144425706,2.58354091524491,6.12205376157686e-10,1.67530487062834e-08,4.60860569887696e-09,3598,"tags=69%, list=21%, signal=55%","5690/54498/1728/5717/5707/5685/5684/5704/262/5708/5702/6723/5709/5695/5719/5686/5700/5718/5705/5701/5683/10213/5687/7979/5693/6611/4953/5694/5713/5692/11047",0.801215574617779
"R-HSA-381070","IRE1alpha activates chaperones",49,0.656107447313238,2.58136488065861,6.7882409566598e-10,1.82858240770023e-08,5.03025774755418e-09,4354,"tags=73%, list=25%, signal=55%","3309/7494/51726/5611/3068/10525/1639/2673/10954/2137/22872/10130/6464/37/9114/5526/9570/9695/6745/4189/2081/27230/58477/56005/6734/118/11015/30827/10106/10113/7094/55062/2931/10897/7466/55033",0.801215574617779
"R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements",60,0.634447591766128,2.57840595349257,1e-10,2.97241379310345e-09,8.17683001254526e-10,3598,"tags=67%, list=21%, signal=53%","5690/8741/1981/9261/54464/5578/5717/5707/7534/26986/5685/5684/1994/5704/1432/8570/5708/5702/7529/3312/7538/5709/5695/5580/5719/5686/5700/5718/5705/207/5701/5683/10213/5687/7979/5693/5694/5713/5692/11047",NA
"R-HSA-9759476","Regulation of Homotypic Cell-Cell Adhesion",172,0.51969458727405,2.57095179927994,1e-10,2.97241379310345e-09,8.17683001254526e-10,3747,"tags=49%, list=22%, signal=39%","5690/71/80149/3703/1508/5717/23193/5707/1488/1499/9743/1520/3066/9789/821/5685/5684/4609/11171/6185/6667/1495/5704/8341/3170/1650/9314/90701/23028/60/6184/60559/1500/7414/5708/5702/4343/999/5709/5695/7841/5046/5719/5928/5686/5700/3014/3728/5718/5705/5701/116092/2146/8363/5595/7764/3065/5589/5683/10213/5687/3609/154796/6597/7979/387893/1785/5693/6714/85236/94234/5694/5045/5315/5713/687/5692/3021/746/11047/5931/10009/4193/79872",NA
"R-HSA-453279","Mitotic G1 phase and G1/S transition",137,0.542188063598622,2.56312917304056,1e-10,2.97241379310345e-09,8.17683001254526e-10,4058,"tags=55%, list=23%, signal=42%","4067/1871/595/5690/894/1028/6241/91750/5717/5707/990/7027/7153/898/993/5685/55388/5684/4609/4175/4998/81620/5704/891/4605/4173/5708/6502/23649/5702/8318/890/1017/1719/3717/132660/5709/5695/23594/5719/5928/5686/5700/983/4171/5718/5705/207/5701/7083/3065/4176/1869/5518/5683/8454/10213/54107/5687/7979/5693/6714/5694/7029/26271/5713/5692/5515/11047/4172/5111/25/5688/5516/1026",NA
"R-HSA-68886","M Phase",355,0.473312951710888,2.54865417828828,1e-10,2.97241379310345e-09,8.17683001254526e-10,4041,"tags=47%, list=23%, signal=37%","5690/9793/3930/57082/9918/5578/4001/5717/7532/3619/2801/5707/55839/3837/1639/5347/1063/5861/3320/1104/220134/11065/151246/991/10726/5685/5684/1453/10762/332/10051/1778/9493/1062/4751/80321/140735/11004/5704/55920/55055/699/23397/26003/891/8341/113130/55143/54908/9133/79172/7531/378708/1058/203068/348235/8243/27183/8815/4085/64151/27243/23063/23310/8548/5526/5708/701/5905/6249/95681/10112/81930/10733/440145/23636/27338/5702/8615/79682/7283/84790/1781/11130/10403/10776/5709/5695/2010/10376/5719/5686/5700/3014/54892/983/5718/5705/10383/2491/996/151648/23175/9663/4928/10121/5701/9212/22919/8363/55142/5595/1454/6396/55835/10592/1783/5048/57405/5885/5518/5683/10213/51143/10783/5687/11116/55706/79019/7979/387893/7321/83540/5693/92421/85236/5694/147841/9232/26271/64105/5713/81876/5525/23592/84131/5692/79643/9126/3021/79003/5515/5903/11047/9702/5566/10540/8697/25978/64900/8655/9183/5688/79980/23165/246184/5516",NA
"R-HSA-5362768","Hh mutants are degraded by ERAD",42,0.670096799876107,2.54355809974834,6.86392603006148e-09,1.55702743102974e-07,4.28323561744322e-08,4271,"tags=79%, list=25%, signal=59%","5690/7415/5717/5707/6469/5685/5684/5704/5708/27248/6400/5702/5709/5695/5719/5686/5700/5718/5705/5701/5683/10213/5687/7979/5693/5694/51009/5713/5692/11047/5688/10956/7314",0.761460801445585
"R-HSA-5357801","Programmed Cell Death",190,0.50954916895932,2.52835080523654,1e-10,2.97241379310345e-09,8.17683001254526e-10,3998,"tags=56%, list=23%, signal=43%","3659/834/6774/5690/836/10211/578/6386/8737/8428/4001/5717/3005/7532/79792/5707/7027/7534/3837/1499/3002/3320/637/5685/5684/63967/7332/5534/4836/140735/5704/841/5747/330/7531/54205/598/7159/27243/90249/5708/317/5702/5599/7529/999/840/5709/5695/5580/9500/5062/5719/3148/5686/5700/5718/5705/55075/9414/355/207/8795/5701/23368/708/10971/5595/57162/356/1869/5683/10213/51765/7157/331/118/5687/1829/7979/1677/6709/5693/92421/51074/148022/5694/5366/8743/7029/4976/5713/3008/5692/79643/11047/83737/25978/7533/22985/8655/197259/3009/1676/3006/5688",NA
"R-HSA-9759194","Nuclear events mediated by NFE2L2",84,0.572472544919382,2.52720753391433,1e-10,2.97241379310345e-09,8.17683001254526e-10,3598,"tags=56%, list=21%, signal=45%","5226/7086/5690/2730/1728/5717/5707/5685/5684/4609/6667/5704/7296/9817/598/468/2539/4097/5708/3162/3417/5702/5709/5695/4780/5719/5686/2729/5700/2936/5718/5705/5701/5683/8454/10213/5687/23657/7979/5693/6888/5694/5713/5692/4363/5970/11047",NA
"R-HSA-381038","XBP1(S) activates chaperone genes",47,0.648819584785332,2.52548470529289,4.5712943462935e-09,1.15895756661912e-07,3.18818296294583e-08,4354,"tags=72%, list=25%, signal=54%","7494/51726/5611/3068/10525/1639/2673/10954/2137/22872/10130/6464/37/9114/5526/9570/9695/6745/4189/27230/58477/56005/6734/118/11015/30827/10106/10113/7094/55062/2931/10897/7466/55033",0.761460801445585
"R-HSA-418990","Adherens junctions interactions",209,0.500058641786404,2.52328783133637,1e-10,2.97241379310345e-09,8.17683001254526e-10,3747,"tags=47%, list=22%, signal=37%","6774/5879/5690/71/80149/5819/3703/1508/5717/23193/5707/1488/1499/9743/1520/3066/9789/821/5685/5684/81607/4609/11171/6185/6667/1495/5704/8341/3170/1650/9314/90701/50649/23028/60/6184/60559/1500/7414/5708/5702/4343/3717/999/25945/9855/5709/5695/7841/5818/5046/127544/84231/5719/5928/5686/5700/3014/3728/5718/5705/5701/116092/2146/8363/5595/7764/3065/5589/5683/10213/331/5687/3609/4301/154796/6597/7979/387893/1785/5693/6714/85236/94234/5694/5045/5315/5713/687/5692/3021/746/5970/11047/5931/10009/4193/79872",NA
"R-HSA-453274","Mitotic G2-G2/M phases",183,0.51117769242947,2.51813117606237,1e-10,2.97241379310345e-09,8.17683001254526e-10,4058,"tags=52%, list=23%, signal=41%","1871/5690/91750/9793/994/51512/5717/7532/5707/22974/1639/5347/1063/3320/993/2305/5685/5684/1453/55355/995/1778/4751/80321/6790/5704/984/891/90381/4605/9133/7531/203068/80028/5708/95681/10733/440145/5702/7283/84790/1781/890/1017/23291/132660/5709/5695/10376/5719/5928/5686/5700/983/5718/5705/79866/10383/151648/10121/5701/3161/22919/55142/1454/55835/4218/3326/5048/51343/1869/5518/5683/8454/10213/9088/7157/5687/11116/7979/5693/5694/5500/5713/84131/5692/5515/11047/51400/9702/5566/10540/8655/5688/5516/1026",NA
