"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0016064","immunoglobulin mediated immune response",137,0.592148580537579,2.75476410809395,1e-10,8.52173913043478e-09,3.84939210470978e-09,2716,"tags=49%, list=15%, signal=42%","3426/717/64332/28452/8741/28385/3493/2214/28448/28408/2215/28423/3133/28409/28442/28424/28410/3539/28449/28444/2212/28473/2209/725/5819/28394/28434/28455/3494/4683/7037/28388/28412/28457/28468/28467/28391/28392/28450/2207/5130/3501/28414/28426/28420/3981/3538/165918/727/51279/28395/708/713/1604/28445/3329/28461/28400/51311/102723168/720/10459/28834/3502/2956/6830/56941",NA,"BP"
"GO:0071357","cellular response to type I interferon",97,0.610030213828219,2.68074940352702,1e-10,8.52173913043478e-09,3.84939210470978e-09,4643,"tags=66%, list=26%, signal=49%","5690/6772/7474/51441/4615/5720/5707/8519/81030/5685/5717/5684/9759/5781/5704/3429/10581/3654/3093/84166/10213/10410/25939/79594/5718/5701/5686/5721/5702/5708/6773/5719/5693/10010/29110/57506/81844/5709/5694/7979/5695/4940/5687/5713/64343/5688/11274/5705/5700/54502/9861/401397/11140/253943/5692/5689/9470/11047/5682/5770/340061/5683/4939/8638",NA,"BP"
"GO:0000070","mitotic sister chromatid segregation",197,0.534791513301664,2.58703481384319,1e-10,8.52173913043478e-09,3.84939210470978e-09,2891,"tags=46%, list=16%, signal=39%","55055/2801/3832/9319/9928/220134/3837/22974/90417/9493/1062/24137/9055/54908/9787/699/23212/5347/29127/991/81930/891/348235/440145/332/3833/10726/10051/57082/3619/22919/9918/23397/7283/221150/146909/11004/11065/4085/1063/387/1104/23063/55143/1058/64151/56992/54892/10403/23636/8766/51203/11130/701/3192/79003/983/84722/126731/2491/7272/64105/23310/9031/5925/8697/5901/10592/1778/1781/11200/3021/81620/6993/5885/8243/27243/26271/387893/10459/83540/8678/9212/348654/83903/147841/9371/79598/51143/57405",NA,"BP"
"GO:0071222","cellular response to lipopolysaccharide",167,0.544278664653384,2.53356523939279,1e-10,8.52173913043478e-09,3.84939210470978e-09,3822,"tags=48%, list=21%, signal=38%","64332/4067/7494/834/56477/3934/114769/80149/7474/2950/4615/92140/6372/8140/8754/1051/8915/9373/22904/3717/115362/3576/2634/5781/29126/6374/3553/57088/10221/1432/3654/387/5578/11027/389643/4314/4793/5054/1604/23328/10288/54623/64127/949/1053/7133/85363/1948/8809/2672/55829/199713/3148/2048/5724/8807/654/5976/567/79931/5599/840/153090/3606/7538/23729/2623/445/3627/7097/4283/6347/7132/958/5970/29108/3055/929/4790/1234",NA,"BP"
"GO:0032729","positive regulation of type II interferon production",69,0.619958334078335,2.52811531773698,1e-10,8.52173913043478e-09,3.84939210470978e-09,4941,"tags=68%, list=28%, signal=49%","5690/5696/7474/11119/5698/351/8140/11118/5699/5685/5684/3113/3553/3105/80381/3965/149233/3595/5686/3329/51311/8809/8807/6556/6504/64581/161882/3606/3594/3115/5687/3670/5688/7784/729230/29108/929/1054/5692/5689/3554/5682/51571/5683/3592/51744/2150",NA,"BP"
"GO:0071216","cellular response to biotic stimulus",197,0.522051011850777,2.52540309385613,1e-10,8.52173913043478e-09,3.84939210470978e-09,3741,"tags=45%, list=21%, signal=36%","64332/4067/7494/834/56477/3934/114769/80149/7474/2950/4615/92140/6372/8140/8754/1051/8915/9373/22904/317/57103/3717/115362/3576/2634/5781/29126/6374/84893/3553/57088/9451/10221/1432/3654/387/5578/11027/389643/4314/4793/5054/1604/196/23328/10288/54623/64127/949/1053/7133/85363/1948/8809/2672/55829/199713/3148/2048/5724/8807/654/8243/5976/567/79931/5599/64581/840/146956/153090/3606/7538/23729/83734/2623/445/3627/7097/4283/6347/7157/7132/958/5970/29108/3055/929/4790",NA,"BP"
"GO:0002449","lymphocyte mediated immunity",286,0.497921509905274,2.51314995333793,1e-10,8.52173913043478e-09,3.84939210470978e-09,2918,"tags=37%, list=16%, signal=31%","3426/717/64332/28452/10384/8741/28385/3493/2214/3106/28448/2013/28408/2215/28423/3133/3077/28409/28442/28424/28410/3539/28449/81607/11118/28444/2212/28473/2209/725/5819/28394/3134/3002/3799/57823/28434/28455/1398/3494/4683/7037/28388/28412/28457/28468/28467/1178/7532/29126/3107/28391/28392/3553/203068/28450/3105/2207/5130/3501/28414/28426/28420/55876/3981/3965/3538/149233/165918/727/51279/28395/708/713/1604/196/28445/1075/7133/3329/28461/28400/51311/8809/634/3135/8078/102723168/720/79465/567/10459/28834/6504/3502/164/2956/3136/6830/56941/3606/721/441168/117157/3594",NA,"BP"
"GO:0007093","mitotic cell cycle checkpoint signaling",139,0.543874364177998,2.49773112711088,1e-10,8.52173913043478e-09,3.84939210470978e-09,3634,"tags=50%, list=20%, signal=40%","595/4582/55055/9319/220134/29980/990/63967/4683/54908/699/5347/991/891/332/57082/3619/8914/221150/1017/1386/4085/1063/55143/90381/10403/4998/11130/701/60561/79184/983/672/7272/55159/10926/54962/1111/1778/51514/1781/5591/580/11200/6993/10459/83540/5932/163859/146956/9212/348654/83903/147841/51143/57405/5514/8655/55743/57551/2177/641/3550/7157/116224/8899/9183/51776/11073/140735",NA,"BP"
"GO:0051983","regulation of chromosome segregation",133,0.54983087282496,2.49342818753248,1e-10,8.52173913043478e-09,3.84939210470978e-09,3712,"tags=52%, list=21%, signal=41%","56852/55055/9319/55920/220134/990/1062/54908/9787/699/5347/991/891/332/10051/57082/3619/23397/996/221150/23137/11004/11065/4085/1063/55143/10460/64151/54892/10403/11130/701/3192/55193/983/7272/60/116028/5925/8697/10592/1778/9698/1781/6993/5885/26271/5359/10459/83540/8678/9212/348654/83903/147841/51143/57405/6599/8655/55743/6597/3550/8899/64682/9183/51776/1459/140735/10783",NA,"BP"
"GO:0051304","chromosome separation",86,0.584361616332301,2.47634963068357,1e-10,8.52173913043478e-09,3.84939210470978e-09,3634,"tags=58%, list=20%, signal=47%","55055/9319/220134/54908/9787/699/5347/991/891/332/10051/57082/3619/23397/221150/11065/4085/1063/55143/64151/54892/10403/11130/701/7272/5925/8697/10592/1778/1781/6993/5885/26271/5359/10459/83540/9212/348654/83903/147841/9400/51143/57405/8655/55743/3550/8899/9183/1459/140735",NA,"BP"
