"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_ADIPOGENESIS",1e-04,0.000185185185185185,NA,0.371126435693118,1.79423942719244,190
"HALLMARK_ALLOGRAFT_REJECTION",1e-04,0.000185185185185185,NA,0.447948762552694,2.15290593316142,187
"HALLMARK_ANDROGEN_RESPONSE",1e-04,0.000185185185185185,NA,0.52683699792354,2.27793234559839,97
"HALLMARK_ANGIOGENESIS",0.0119512052003683,0.0153220579491901,0.380730400722792,0.474154635262724,1.61352851845592,31
"HALLMARK_APICAL_JUNCTION",0.0047676807212248,0.00644281178543891,0.407017918923954,0.31274372299797,1.50017058254421,180
"HALLMARK_APICAL_SURFACE",0.0281906158860893,0.0352382698576116,0.352487857583619,0.405909104932203,1.47182378887555,40
"HALLMARK_APOPTOSIS",1e-04,0.000185185185185185,NA,0.43490480781268,2.0401308637117,155
"HALLMARK_BILE_ACID_METABOLISM",0.325,0.345744680851064,0.12563992130984,-0.224606286645674,-1.0477426655961,104
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1e-04,0.000185185185185185,NA,0.524891560432428,2.17570521296602,74
"HALLMARK_COAGULATION",0.00236870724638873,0.00338386749484104,0.431707695803346,0.361427150465348,1.61013305645774,112
"HALLMARK_COMPLEMENT",1e-04,0.000185185185185185,NA,0.440062777009592,2.11153792027773,186
"HALLMARK_DNA_REPAIR",1e-04,0.000185185185185185,NA,0.385194728706516,1.79416962968061,148
"HALLMARK_E2F_TARGETS",1e-04,0.000185185185185185,NA,0.648093393755887,3.13447441179882,200
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0946142649199418,0.107516210136297,0.173747838999571,0.251171526294426,1.21706310398936,193
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00108601003577084,0.00175162908995297,0.45505986738723,0.32802128510989,1.5872089656902,192
"HALLMARK_ESTROGEN_RESPONSE_LATE",1e-04,0.000185185185185185,NA,0.371435354128075,1.78224534350044,186
"HALLMARK_FATTY_ACID_METABOLISM",1e-04,0.000185185185185185,NA,0.398290374236362,1.85924945963881,149
"HALLMARK_G2M_CHECKPOINT",1e-04,0.000185185185185185,NA,0.661712340702945,3.20687384601645,197
