"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04141","Protein processing in endoplasmic reticulum",166,0.601874994569291,2.83533062910137,1e-10,2.07058823529412e-09,7.08762250137754e-10,4412,"tags=61%, list=25%, signal=47%","7494/9601/3309/3998/10970/7415/26270/5034/6238/6747/9709/56886/7184/29927/3703/578/51726/2923/10483/5611/27248/79139/80267/81567/51465/6748/10525/10130/9373/3310/811/6185/91319/56605/1650/9871/6184/10905/5887/23190/55666/30001/4217/6745/9695/23640/6400/9632/9451/468/3320/64374/3301/821/23193/23471/64215/7321/56681/10952/84061/201595/2081/55829/6746/54431/823/8454/22872/58505/3312/5599/746/26232/1965/10802/200185/7322/55432/5601/29979/10113/6396/55973/80331/51009/23480/10960/7353/118424/55741/22824/1388/7841/824/3326/55968/7326/7993/22926/7323/7095",NA
"hsa03050","Proteasome",43,0.715854332002526,2.68800134361689,1e-10,2.07058823529412e-09,7.08762250137754e-10,4268,"tags=86%, list=24%, signal=66%","5690/5696/5698/5720/5707/5699/5685/5717/5684/10197/5704/10213/23198/5718/5701/5686/5721/5702/5708/5719/5693/5709/5694/7979/51371/5695/3458/5687/5713/5688/5705/5700/9861/5692/5689/11047/5682",NA
"hsa05169","Epstein-Barr virus infection",181,0.542955731761837,2.60651133954018,1e-10,2.07058823529412e-09,7.08762250137754e-10,3606,"tags=45%, list=20%, signal=37%","4067/1871/595/6890/6774/894/5879/6772/8503/3106/578/637/898/2923/3133/4615/836/5707/3134/841/317/811/5717/6891/9541/3113/54205/3107/3065/3105/5704/1432/4609/1017/3654/3066/8737/3108/10213/4193/355/4793/890/5718/5701/5702/5603/8819/5708/6773/207/6892/5719/896/7874/6502/3135/5925/10912/29110/57506/22938/3280/5709/567/7979/5599/4940/1869/3115/5601/5713/3627/7097/5705/7157/3119/5700/958/5970/3383/9861",NA
"hsa01250","Biosynthesis of nucleotide sugars",35,0.692411728060461,2.46558421436706,5.38676383341381e-08,5.92544021675519e-07,2.02827789200087e-07,3043,"tags=60%, list=17%, signal=50%","2762/64841/7264/3099/55276/140838/5373/3101/2673/2585/54187/5238/3098/55907/80201/2821/7360/2582/29925/10020/5236",0.719512826338911
"hsa04110","Cell cycle",154,0.520707397942801,2.45334297046391,1e-10,2.07058823529412e-09,7.08762250137754e-10,3926,"tags=49%, list=22%, signal=39%","1871/595/894/994/898/7534/9319/990/1028/699/993/5347/991/891/7532/7027/57082/5526/3065/996/9133/4609/1017/4085/3066/23063/4175/4193/90381/10403/4998/890/701/113130/8318/983/23594/7272/896/7531/7529/995/10926/6502/5925/10912/8697/1111/8454/5591/11200/81620/5885/8243/9232/26271/10459/4173/9088/4172/9212/4171/1869/151648/5529/157570/7157/64682/5518/4176/5111/5525/10971/7533/9587/5515",NA
"hsa05203","Viral carcinogenesis",170,0.515104645521786,2.42998579475252,1e-10,2.07058823529412e-09,7.08762250137754e-10,4818,"tags=53%, list=27%, signal=39%","4067/595/6774/894/27044/5879/8503/3106/9261/578/898/3133/7534/3249/836/3134/841/9759/1232/991/7532/3107/3065/3105/3845/468/1017/1386/3066/387/2967/81/4193/9114/8341/890/2960/87/983/1108/5366/1654/2957/896/7531/7529/2958/7874/6502/3135/5925/1111/22938/10488/3190/90993/6722/5423/8363/1642/5315/5902/6776/7157/5700/5970/148327/128312/4790/85236/1388/1234/10971/4055/7533/2959/2885/7419/5566/64764/5610/3572/3725/3017/5594/10379/440689/1739/5829/1237",NA
"hsa04668","TNF signaling pathway",113,0.537804184646541,2.39921826666955,1e-10,2.07058823529412e-09,7.08762250137754e-10,3803,"tags=50%, list=21%, signal=39%","843/3659/8503/2919/2920/6372/836/2921/9021/1051/841/6364/4217/6374/3553/192111/4323/197259/5604/468/1432/1386/330/8737/3726/355/4314/64127/5603/7133/5743/3976/207/8809/10059/10488/90993/5599/840/1326/153090/8986/331/5601/602/3627/6347/7132/1540/5970/148327/3383/2353/4790/1388/5608",NA
"hsa05168","Herpes simplex virus 1 infection",154,0.50772758606997,2.39218783738541,1e-10,2.07058823529412e-09,7.08762250137754e-10,5071,"tags=56%, list=28%, signal=40%","6890/6772/8503/3106/578/637/2923/3133/4615/836/6732/9021/6429/5819/3134/841/317/811/3717/6891/3113/54205/5781/3107/3553/3105/1978/3654/330/3108/10189/727/355/684/6773/207/6892/2475/5818/8892/5371/3135/29110/57506/8890/567/4940/3458/1965/64135/3115/115004/6009/598/6426/7097/6427/6347/7157/6428/7132/3119/5970/4790/3690/29992/972/3459/5610/1147/6431/8683/5500/3054/56829/340061/4939/10379/55080/5451/3592/7124/8891/6714/5499/3123",NA
"hsa04657","IL-17 signaling pathway",77,0.55926091195993,2.35373740360512,1.54125021916225e-08,1.93757170408969e-07,6.63230698110665e-08,4709,"tags=60%, list=26%, signal=44%","3934/7184/6280/2919/2920/6372/836/2921/6279/1051/841/3576/6364/1994/6374/3553/4312/3320/1432/53342/4314/5603/5743/29110/6356/5599/3458/5601/3627/6426/6347/2354/5970/2353/4790/727897/5598/3326/4586/8061/1147/3725/5597/23765/5594/10758",0.73376198835648
"hsa05133","Pertussis",70,0.569595731956863,2.35081787008706,9.40649799667313e-09,1.27349511339575e-07,4.35917314087121e-08,5580,"tags=64%, list=31%, signal=44%","4843/717/3659/834/4615/6372/836/725/3576/6374/2773/3553/1432/3654/387/727/3688/713/5603/720/5599/840/721/5601/714/808/1072/5970/29108/2353/929/4790/3586/3725/5594/715/3592/7124/2770/3689/2771/3552/712/148022/801",0.747739663149885
"hsa04612","Antigen processing and presentation",65,0.585094326477723,2.34066615962972,1.50250345632457e-08,1.93757170408969e-07,6.63230698110665e-08,2945,"tags=43%, list=17%, signal=36%","6890/3309/1520/3106/2923/3133/5720/3134/3310/811/1508/6891/3113/3107/10197/3105/3320/821/3108/3308/5721/6892/3135/567/3312/5993/3458/3115",0.73376198835648
"hsa05163","Human cytomegalovirus infection",192,0.476023386874206,2.30708877084095,1e-10,2.07058823529412e-09,7.08762250137754e-10,4341,"tags=46%, list=24%, signal=35%","1871/595/6890/6774/5879/8503/3106/578/637/2923/3133/836/3579/2778/3134/841/2783/811/3576/6891/1398/1232/54205/3107/5534/2773/3553/3105/1978/1499/3845/5604/468/1432/4609/1386/387/8737/5578/4193/355/23236/5603/5743/207/6892/2475/3135/5925/29110/10488/1230/567/3685/2776/90993/6667/2002/5881/2768/3710/1869/115004/6009/6347/7157/808/2787/7132/5970/2793/148327/2782/4790/107/1388/5608/1234/3690/6198/2784/2885/5566/64764/5747/3554/6199/1147/5732",NA
"hsa04621","NOD-like receptor signaling pathway",152,0.487519533005807,2.2712377208111,1e-10,2.07058823529412e-09,7.08762250137754e-10,4664,"tags=49%, list=26%, signal=36%","834/2633/114769/6772/84674/115361/2919/2920/10135/4615/838/2921/56919/8767/841/1508/115362/4210/3576/2634/3553/79792/3320/1432/330/387/8737/90550/91662/4793/23236/1535/79184/64127/5603/6773/7531/10010/199713/81631/10059/29110/55669/57506/5599/4940/3606/3710/331/5601/598/55072/6347/7205/5970/29108/4790/58484/24145/3326/7416/7419/1147/3725/5586/340061/79671/10616/7417/5594/5580/4939/10379/25828",NA
"hsa05170","Human immunodeficiency virus 1 infection",185,0.464921236549799,2.23383477048851,1e-10,2.07058823529412e-09,7.08762250137754e-10,4953,"tags=50%, list=28%, signal=37%","6890/5879/8503/3106/578/637/2923/3133/4615/836/3134/841/2783/811/6891/1398/54205/3985/891/3107/5534/2773/3105/200315/3845/5604/9133/1432/3654/8737/5578/355/5062/25939/684/56924/983/5058/5603/7133/207/85363/6892/2475/995/3135/1111/29110/23291/8454/567/2776/5599/164/5881/1642/3710/5601/115004/598/9582/7097/9730/808/2787/7132/1072/5970/2793/2782/2353/27350/4790/5608/1234/130340/6198/2784/5747/6199/1147/164668/3725/340061/5594/162/55080/545/5829/6921/7124/2770/3984",NA
"hsa03008","Ribosome biogenesis in eukaryotes",74,0.532215111421723,2.21470418699346,2.54240536366611e-07,2.3550702316065e-06,8.06140423351128e-07,5956,"tags=65%, list=33%, signal=43%","10813/1736/26354/81691/54464/23560/22803/10940/9790/10799/10528/5901/29889/4809/10199/54433/55131/51077/55226/9724/55651/10885/102157402/23160/83732/1459/84135/65083/55127/54913/27341/28987/84916/92856/6949/23195/51602/79631/7514/2091/55916/54552/29107/10557/10775/1460/55505/3692",0.674962860011025
"hsa00510","N-Glycan biosynthesis",53,0.575478963836306,2.20824079989429,8.06881273497505e-07,6.45505018798004e-06,2.20956335885632e-06,4238,"tags=58%, list=24%, signal=45%","3703/2683/6185/1650/6184/10905/1798/79644/23193/29880/85365/56052/84061/4245/201595/58505/199857/2530/22845/746/8704/79053/4247/200185/8818/10195/440138/8703/7841/4124/54344",0.659444398037935
"hsa05130","Pathogenic Escherichia coli infection",176,0.467356726742658,2.20224219023361,1e-10,2.07058823529412e-09,7.08762250137754e-10,3741,"tags=39%, list=21%, signal=31%","834/5879/578/51208/4615/9069/2017/2597/836/2212/55971/10097/71/841/9871/3576/5861/54205/5781/3553/203068/4691/9632/1432/3654/10972/10376/387/8737/4627/375/10095/355/5062/4646/3688/4793/10094/5058/5603/60/84790/382/55930/81873/79784/5599/4430/840/10092/10096/10802/3606/2768/4651/5601/10552/2149/9075/9076/10383/7132/10093/5970/9266/29108/2353/4790",NA
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",163,0.467075985959791,2.19586670451595,1.23139151911474e-09,2.16724907364193e-08,7.41849250305061e-09,3822,"tags=40%, list=21%, signal=32%","4067/1871/595/3091/6774/5879/6772/8503/3106/2919/9261/578/637/2920/3133/836/2921/3134/841/2783/3717/3576/1232/54205/3107/5534/3105/1499/3845/5604/4277/1432/4609/1827/355/5603/5743/6773/207/2475/3135/5925/81631/29110/1230/8678/5599/7538/3710/1869/5601/7157/808/64422/2787/7132/5970/2793/3383/2782/2353/3055/4790/5608/1234",0.788186810800237
"hsa05164","Influenza A",142,0.478765479740875,2.18386459067649,1.29805331563824e-09,2.17578460526029e-08,7.44770962354239e-09,6057,"tags=61%, list=34%, signal=40%","834/6772/8503/578/637/4615/5611/836/9021/71/841/317/103/3717/3838/7706/3576/3113/54205/3553/5604/3108/5578/355/8766/4793/23633/7113/60/4928/6773/207/896/5371/29110/57506/4940/3458/1965/3606/64135/3115/11100/3627/292/6347/7132/3119/5970/3383/29108/4790/7416/5644/293/3459/5610/1147/79671/5594/4939/10379/3592/3337/7124/7514/3123/55916/3552/8795/8480/3716/10241/29107/148022/4938/3455/1019/3122/4792/356/5595/7177/5646/7098/7099",0.788186810800237
"hsa05014","Amyotrophic lateral sclerosis",331,0.43048892612143,2.18302564502732,1e-10,2.07058823529412e-09,7.08762250137754e-10,5541,"tags=51%, list=31%, signal=36%","4843/7494/834/3309/7415/5690/5879/637/79139/836/5707/2877/5868/6647/71/317/5685/5717/5684/10762/3799/5861/2906/54205/4217/55062/5534/10671/203068/506/9451/5704/468/1432/10452/10376/10189/10213/493869/90550/23636/5718/5701/5686/1639/5702/5603/60/84790/7133/4928/55706/5708/5903/5719/2475/2081/7386/23165/5693/9688/3181/10010/81631/84134/518/29110/6389/4728/3178/55626/79023/10121/5709/83544/5694/7979/5216/8678/5695/7385/1770/516/1965/4726/3710/54539/498/29979/598/5687/5713/4702/9776/29982/6396/9377/5688/9167/6391/311/5705/2733/7157/6428/10383/51164/7132/5700/4720/9861/10540/127602/9818/4704/5608/57122/4722/642659/4697/5692/4715/5689/2876/7416/310/146754/11047/125965/5682/22926/4723/4710/539/1537/522/5683/4744/23130/4512/515/60673/8632/509/81929/348995/2902/7124/10126/4725/440567/11258/374291/4709/4706/29978/1347/30849/55916/1337/8480/513/7175/5606/7388/4696/29107/9631/4513/4514",NA
"hsa05140","Leishmaniasis",71,0.529373971685534,2.18132131775772,5.244263522193e-07,4.29297851119055e-06,1.4694863312368e-06,5326,"tags=54%, list=30%, signal=38%","4843/6772/2214/2215/4615/4688/2212/2209/3717/3113/3553/1432/3654/3108/3688/4793/1535/5603/5743/3458/2002/3115/7097/3119/5970/2353/4790/3586/3459/3725/65108/5594/3592/7124/3689/3123/3552/3716",0.659444398037935
"hsa04210","Apoptosis",128,0.477809186549499,2.17856803635722,5.74053093511331e-09,8.32252877895191e-08,2.84880118782684e-08,3741,"tags=42%, list=21%, signal=34%","843/1520/8503/578/637/836/4001/71/841/84823/317/3002/1508/10038/4170/54205/4217/332/9451/3845/5604/468/330/10376/8737/355/1075/60/84790/5366/207/2081/9131/10912/823/143/5599/840/153090/1965/4914/3710/331/5783/5601/598/27113/7157/7132/5970/2353/10039/142/4790",0.761460801445585
"hsa04145","Phagocytosis",213,0.445140768871981,2.17392327436962,1e-10,2.07058823529412e-09,7.08762250137754e-10,3872,"tags=38%, list=22%, signal=30%","6890/3934/1520/5879/8503/2214/3106/29927/2215/3133/4069/10312/3673/5868/4688/2212/2209/71/3134/811/1508/6891/3113/26130/3107/10671/203068/8547/3105/10376/821/3108/22879/9114/3688/1535/1639/10952/2219/523/949/60/84790/23673/3135/9341/81631/4973/115201/1778/1781/1783/10121/6993/249/3685/9885/8678/64581/10533/51143/3115/8655/5878/7097/967/23480/7879/64422/10383/53407/51164/3119/140735/10540/929/30835/3690/90423/5874",NA
"hsa05161","Hepatitis B",143,0.471163305394892,2.17213025573514,2.19088810331258e-09,3.50542096530012e-08,1.19990542238025e-08,3829,"tags=38%, list=22%, signal=30%","843/1871/6774/6772/8503/637/898/4615/7534/836/841/317/3717/3576/54205/332/7046/3845/5604/468/1432/4609/1017/1386/3654/5578/355/890/5603/1654/6773/207/7529/5925/29110/57506/10488/90993/5599/2002/1642/64135/1869/5601/6776/7097/7157/5970/148327/2353/5111/4790/1388/5608/10971",0.774939030136436
"hsa05416","Viral myocarditis",61,0.545786518637508,2.16910321788228,1.50486176627894e-06,1.12704540793656e-05,3.8578758717958e-06,3595,"tags=44%, list=20%, signal=35%","595/5879/3106/637/3133/836/1981/6645/71/3134/841/3113/54205/3107/3105/3108/1604/60/3135/3908/5881/1605/3115/1982/3119/958/3383",0.643551836150722
"hsa04742","Taste transduction",48,-0.52984375545055,-2.16163631718213,1.55644781677166e-05,0.00010337162858559,3.538410333251e-05,3078,"tags=56%, list=17%, signal=47%","259295/954/259292/2555/5332/775/50838/50840/3352/2550/50832/346562/50831/5567/22953/259296/5136/259290/54429/5028/6328/5030/29850/6335/259293/259294/3359",0.575610261071129
"hsa05132","Salmonella infection",231,0.438839063388518,2.16052008208828,1e-10,2.07058823529412e-09,7.08762250137754e-10,3806,"tags=38%, list=21%, signal=30%","834/5879/7184/64746/578/5898/4615/838/2597/836/5868/5286/8767/10097/71/841/3799/3576/54205/10671/3553/203068/79792/1499/197259/5604/3320/1432/4609/3654/330/10376/387/8737/10640/3839/375/10095/4646/1639/10094/5058/5603/60/84790/207/382/1778/1781/1783/10121/6993/81873/5216/5599/1434/840/10092/10096/3606/9842/51143/5601/10552/388/3840/8655/391/5878/7097/7879/10383/51164/7132/10093/5970/9266/29108/140735/2353/10540/60412/929/127829/4790/5608/58484",NA
