"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-69620","Cell Cycle Checkpoints",266,0.57681151048631,2.86939148598392,1e-10,2.57313432835821e-09,1.01115021895379e-09,4072,"tags=59%, list=23%, signal=47%","5690/898/9793/7534/5707/55839/55055/151246/5685/5717/55920/220134/5684/990/51512/1062/63967/4683/54908/699/993/5347/991/81930/891/7532/348235/332/10726/57082/5526/3619/22919/55388/1454/7468/5704/27338/996/9133/1432/1017/11004/11065/4085/1063/9156/165918/10213/55143/1058/7321/4175/4193/5905/10403/8341/4998/11130/890/5718/701/5701/5686/79172/79184/79003/79682/8318/5702/983/672/2491/23594/116028/4928/5708/5903/5719/91687/64105/7531/7529/7336/995/10926/378708/5693/79980/84126/6249/8697/1111/23291/1778/1781/8454/7324/580/11200/79023/3014/1783/54821/5709/5694/51588/83540/7979/5932/4173/5695/5983/9088/4172/9212/8363/4171/147841/5985/51143/57405/5982/7334/64326/8655/5687/5713/79019/151648/5529/6396/57551/5688/641/5705/7157/64682/5700/9183/5518/9861/54820/11073/140735/4176/128312/85236/5525/10971/7533/57122/5515/9577/9025/23332/5692/5689",NA
"R-HSA-2467813","Separation of Sister Chromatids",169,0.596001867617372,2.8193255240251,1e-10,2.57313432835821e-09,1.01115021895379e-09,4268,"tags=63%, list=24%, signal=49%","5690/9793/5707/55839/55055/151246/5685/5717/55920/220134/5684/1062/54908/699/5347/991/81930/348235/332/10726/57082/5526/3619/22919/5704/27338/996/11004/11065/4085/1063/10376/23063/10213/55143/1058/7321/5905/10403/11130/5718/701/5701/5686/79172/113130/79003/79682/5702/2491/84790/4928/5708/5903/5719/91687/64105/378708/5693/79980/6249/8697/1778/1781/7324/79023/1783/54821/5885/8243/5709/9232/5694/83540/7979/5695/9212/147841/51143/57405/8655/5687/5713/79019/151648/5529/6396/57551/5688/5705/64682/10383/5700/9183/5518/9861/54820/140735/5525/57122/5515/23332/5692/5689/11047/64946/5682",NA
"R-HSA-2555396","Mitotic Metaphase and Anaphase",214,0.577694519940946,2.81507002535043,1e-10,2.57313432835821e-09,1.01115021895379e-09,4072,"tags=57%, list=23%, signal=45%","5690/9793/3930/5707/55839/55055/151246/4001/5685/5717/55920/220134/5684/3837/1062/54908/699/5347/991/81930/891/348235/332/10726/57082/5526/3619/22919/5704/27338/996/9133/11004/11065/4085/1063/10376/1104/23063/10213/55143/1058/7321/5905/10403/23636/11130/5718/701/23592/5701/5686/79172/113130/79003/79682/5702/983/2491/84790/4928/55706/5708/5903/5719/2010/91687/64105/378708/23165/5693/9688/8815/79980/6249/8697/5901/1778/1781/7324/79023/1783/54821/5885/8243/5709/9232/27243/26271/5694/83540/7979/5695/9212/147841/51143/57405/8655/5687/5713/79019/151648/5529/6396/57551/5688/5705/64682/10383/5700/9183/5518/9861/54820/140735/9818/5525/57122/5515/23332/5692/5689",NA
"R-HSA-68882","Mitotic Anaphase",213,0.576554208359109,2.81006305060984,1e-10,2.57313432835821e-09,1.01115021895379e-09,4072,"tags=57%, list=23%, signal=44%","5690/9793/3930/5707/55839/55055/151246/4001/5685/5717/55920/220134/5684/3837/1062/54908/699/5347/991/81930/891/348235/332/10726/57082/5526/3619/22919/5704/27338/996/9133/11004/11065/4085/1063/10376/1104/23063/10213/55143/1058/7321/5905/10403/23636/11130/5718/701/23592/5701/5686/79172/113130/79003/79682/5702/983/2491/84790/4928/55706/5708/5903/5719/2010/91687/64105/378708/23165/5693/9688/8815/79980/6249/8697/5901/1778/1781/7324/79023/1783/54821/5885/8243/5709/9232/27243/5694/83540/7979/5695/9212/147841/51143/57405/8655/5687/5713/79019/151648/5529/6396/57551/5688/5705/64682/10383/5700/9183/5518/9861/54820/140735/9818/5525/57122/5515/23332/5692/5689",NA
"R-HSA-1236974","ER-Phagosome pathway",76,0.668123011245209,2.79334148721314,1e-10,2.57313432835821e-09,1.01115021895379e-09,4301,"tags=72%, list=24%, signal=55%","6890/5690/5696/3106/29927/6280/2923/3133/4615/5698/5720/5707/5699/6279/3134/5685/811/5717/5684/6891/3107/3105/5704/10213/5718/5701/5686/5721/10952/5702/5708/6892/5719/5693/3135/9341/5709/567/5694/7979/5695/5687/5713/7097/5688/23480/5705/5700/9861/929/5692/5689/11047/5682/1147",NA
"R-HSA-1236975","Antigen processing-Cross presentation",90,0.648012947281566,2.79055696372314,1e-10,2.57313432835821e-09,1.01115021895379e-09,4301,"tags=67%, list=24%, signal=51%","6890/5690/5696/1520/3106/29927/6280/2923/3133/4615/5698/5720/5707/5699/6279/4688/2209/3134/5685/811/5717/5684/6891/3107/3105/5704/10213/5718/5701/1535/5686/5721/10952/5702/5708/6892/5719/5693/3135/9341/5709/567/3685/5694/7979/5695/5687/5713/7097/5688/23480/5705/5700/9861/929/5692/5689/11047/5682/1147",NA
"R-HSA-69481","G2/M Checkpoints",133,0.612724432192728,2.7768586826096,1e-10,2.57313432835821e-09,1.01115021895379e-09,4938,"tags=70%, list=28%, signal=51%","5690/7534/5707/5685/5717/5684/990/51512/63967/4683/993/891/7532/55388/7468/5704/9133/1017/9156/165918/10213/4175/8341/4998/890/5718/5701/5686/79184/8318/5702/983/672/23594/116028/5708/5719/7531/7529/7336/995/10926/5693/84126/1111/580/11200/3014/5709/5694/51588/7979/5932/4173/5695/5983/9088/4172/8363/4171/5985/5982/7334/5687/5713/5688/641/5705/7157/5700/9861/11073/4176/128312/85236/10971/7533/9577/9025/5692/5689/11047/5682/5883/10524/3017/3364/5683/545/8317/83990/2810/83695",NA
"R-HSA-141424","Amplification of signal from the kinetochores",93,0.64435177042813,2.752969355306,1e-10,2.57313432835821e-09,1.01115021895379e-09,3990,"tags=68%, list=22%, signal=53%","9793/55839/55055/151246/55920/220134/1062/54908/699/5347/991/81930/348235/332/10726/57082/5526/3619/22919/11004/4085/1063/55143/1058/5905/10403/11130/701/79172/79003/79682/2491/4928/5903/91687/64105/378708/79980/6249/1778/1781/79023/1783/54821/83540/9212/147841/51143/57405/8655/79019/151648/5529/6396/57551/9183/5518/54820/140735/5525/57122/5515/23332",NA
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",93,0.64435177042813,2.752969355306,1e-10,2.57313432835821e-09,1.01115021895379e-09,3990,"tags=68%, list=22%, signal=53%","9793/55839/55055/151246/55920/220134/1062/54908/699/5347/991/81930/348235/332/10726/57082/5526/3619/22919/11004/4085/1063/55143/1058/5905/10403/11130/701/79172/79003/79682/2491/4928/5903/91687/64105/378708/79980/6249/1778/1781/79023/1783/54821/83540/9212/147841/51143/57405/8655/79019/151648/5529/6396/57551/9183/5518/54820/140735/5525/57122/5515/23332",NA
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion",119,0.613932909802142,2.74584134323772,1e-10,2.57313432835821e-09,1.01115021895379e-09,3990,"tags=61%, list=22%, signal=48%","9793/55839/55055/151246/55920/220134/1062/54908/699/5347/991/81930/891/348235/332/10726/57082/5526/3619/22919/9133/11004/4085/1063/10376/23063/55143/1058/5905/10403/11130/701/79172/113130/79003/79682/983/2491/84790/4928/5903/91687/64105/378708/79980/6249/1778/1781/79023/1783/54821/5885/8243/83540/9212/147841/51143/57405/8655/79019/151648/5529/6396/57551/10383/9183/5518/54820/140735/5525/57122/5515/23332",NA
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation",109,0.615630497095104,2.70282002350166,1e-10,2.57313432835821e-09,1.01115021895379e-09,3990,"tags=61%, list=22%, signal=48%","9793/55839/55055/151246/55920/220134/1062/54908/699/5347/991/81930/348235/332/10726/57082/5526/3619/22919/11004/4085/1063/10376/55143/1058/5905/10403/11130/701/79172/79003/79682/2491/84790/4928/5903/91687/64105/378708/79980/6249/1778/1781/79023/1783/54821/83540/9212/147841/51143/57405/8655/79019/151648/5529/6396/57551/10383/9183/5518/54820/140735/10783/5525/57122/5515/23332",NA
"R-HSA-68886","M Phase",355,0.521253774634219,2.68852269445121,1e-10,2.57313432835821e-09,1.01115021895379e-09,4283,"tags=51%, list=24%, signal=39%","5690/9793/3930/5707/55839/55055/80321/2801/151246/4001/23175/5685/5717/55920/220134/5684/10762/3837/9493/95681/1062/5861/54908/699/5347/991/81930/891/7532/348235/440145/332/10726/10051/57082/5526/3619/22919/203068/1454/9918/8615/23397/8548/5704/26003/7283/27338/996/9133/3320/11004/11065/4085/1063/10376/10776/1104/23063/5578/10112/10213/55143/1058/7321/64151/54892/5905/10403/23636/10733/8341/11130/5718/701/23592/5701/5686/79172/4751/113130/79003/79682/1639/5702/983/2491/84790/4928/55706/5708/5903/5719/2010/91687/84131/64105/23310/7531/378708/23165/5693/9688/8815/79980/5925/6249/8697/5901/55142/10592/1778/1781/7324/79023/3021/3014/1783/10121/54821/5885/8243/5709/9232/27243/26271/387893/5694/83540/7979/5695/121441/9212/8363/147841/51143/1453/57405/8655/5687/5713/79019/151648/5529/6396/57551/5688/5705/64682/10383/5700/9183/5518/9861/54820/1459/140735/128312/10540/55722/10783/81876/9818/85236/5525/57122/29922/9663/5515/55835/23332/5692/5689/5566/1069/11047/4957/64946/5682/22995",NA
