"lineage","n_cells","prop_CD","lineage_end_cluster"
"Lineage 1",13328,0.691,"γδ T cells / innate cytotoxic T cells"
"Lineage 2",20647,0.721,"Cycling T cells"
"Lineage 3",22018,0.734,"IFN-activated CD8 cytotoxic T cells"
"Lineage 4",20755,0.721,"NK-like cytotoxic T cells"
"Lineage 5",20629,0.721,"TRM-like CD8 cytotoxic T cells"
"Lineage 6",12373,0.625,"Activated effector Treg"
"Lineage 7",12137,0.649,"CD4 TRM-like activated memory T cells"
"Lineage 8",15143,0.746,"FOXP3+ activated Treg"
"Lineage 9",10639,0.388,"Activated CD4 T cells stress response"
"Lineage 10",9087,0.353,"T follicular helper"
"Lineage 11",36,0.083,"Exhaustion-like CD4 memory T cells"
