"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.15418283912805,0.822,0.125,0,0,"GZMK"
0,3.20760561010732,0.557,0.096,0,0,"GZMH"
0,2.22945343912326,0.892,0.443,0,0,"CST7"
0,2.94456169736802,0.597,0.148,0,0,"HLA-DRB1"
0,2.02769508495647,0.895,0.45,0,0,"NKG7"
0,3.05492845904898,0.81,0.371,0,0,"CCL4"
0,2.19671784355695,0.656,0.225,0,0,"CTSW"
0,0.586831768218493,0.831,0.431,0,0,"GZMA"
0,2.27770001359933,0.569,0.196,0,0,"HLA-DPB1"
0,2.0605686926865,0.532,0.212,0,0,"HLA-DPA1"
0,3.50874743732829,0.415,0.099,0,0,"CMC1"
0,2.61430156707054,0.385,0.092,0,0,"KLRG1"
0,1.60455211280112,0.564,0.274,0,0,"ITGB2"
0,1.87518788612462,0.53,0.246,0,0,"LITAF"
0,2.90625723870282,0.333,0.068,0,0,"HLA-DRA"
0,1.68107847426669,0.474,0.211,0,0,"LYAR"
0,2.24464265828599,0.435,0.181,0,0,"GZMB"
0,1.72321047755814,0.83,0.578,0,0,"CD74"
0,2.47569237072647,0.314,0.083,0,0,"HLA-DQB1"
0,1.04841029849212,0.993,0.768,0,0,"CCL5"
0,0.929490423715981,0.535,0.312,0,0,"CD8B"
0,2.22595514674296,0.335,0.114,0,0,"LYST"
0,1.75764874702846,0.602,0.382,0,0,"DUSP2"
0,1.73450407509423,0.401,0.182,0,0,"SH2D1A"
0,3.03138738124176,0.306,0.088,0,0,"IFNG"
0,1.53482179841036,0.399,0.186,0,0,"PRF1"
0,1.18774300826484,0.571,0.359,0,0,"NR4A2"
0,2.81235446880529,0.28,0.083,0,0,"CRTAM"
0,1.19929220538651,0.602,0.409,0,0,"CREM"
0,1.1625042127735,0.548,0.363,0,0,"REL"
0,0.957120618756684,0.701,0.516,0,0,"ANXA1"
0,1.67074941322813,0.343,0.166,0,0,"APOBEC3G"
0,1.06686624653962,0.477,0.301,0,0,"MT2A"
0,1.26915815904055,0.578,0.402,0,0,"CLEC2B"
0,1.08602153925502,0.502,0.33,0,0,"IFITM1"
0,1.08948296295023,0.5,0.329,0,0,"ZNF331"
0,1.02000529550589,0.549,0.383,0,0,"GZMM"
0,1.72526537010052,0.398,0.232,0,0,"LGALS1"
0,1.1145793033879,0.533,0.372,0,0,"PIK3R1"
0,1.57464180028284,0.277,0.119,0,0,"ZEB2"
0,1.39452374544754,0.43,0.276,0,0,"TUBA4A"
0,1.00550267515964,0.939,0.785,0,0,"CXCR4"
0,2.91399048099247,0.247,0.1,0,0,"CCL4L2"
0,2.6977204260355,0.182,0.036,0,0,"SAMD3"
0,1.65845959791926,0.285,0.14,0,0,"JMJD6"
0,0.979047247813792,0.644,0.501,0,0,"DNAJB1"
0,3.75556450744837,0.158,0.016,0,0,"HLA-DRB5"
0,2.97719511918429,0.167,0.027,0,0,"HLA-DQA1"
0,0.778477738763161,0.585,0.445,0,0,"RUNX3"
0,0.867360178305133,0.872,0.733,0,0,"HCST"
0,0.757021402935937,0.656,0.521,0,0,"CD44"
0,0.932280889144872,0.563,0.43,0,0,"SELK"
0,0.988155328734305,0.509,0.378,0,0,"DNAJA1"
0,1.39702754076691,0.282,0.151,0,0,"DUSP4"
0,1.15326868231984,0.331,0.201,0,0,"ANXA2"
0,0.97370530064229,0.627,0.501,0,0,"CRIP1"
0,0.84825057145728,0.506,0.38,0,0,"EMP3"
0,1.01615785581277,0.439,0.321,0,0,"DNAJB6"
0,1.29455075719301,0.268,0.153,0,0,"APMAP"
0,0.746828432251395,0.671,0.561,0,0,"CD99"
0,3.29126594584547,0.139,0.031,0,0,"CCL3"
0,3.51272229070921,0.113,0.013,0,0,"EOMES"
0,0.708689346516103,0.653,0.561,0,0,"ISG20"
0,0.699459034341477,0.711,0.625,0,0,"SUB1"
0,0.803886638376547,0.447,0.366,0,0,"SDCBP"
0,0.734787699350832,0.556,0.477,0,0,"S100A10"
0,0.759643809189293,0.787,0.714,0,0,"S100A6"
0,0.680437488340246,0.802,0.73,0,0,"SRSF7"
0,0.466872037777335,0.964,0.892,0,0,"SRGN"
0,0.904796855367393,0.574,0.512,0,0,"ALOX5AP"
0,0.561889814706078,0.726,0.666,0,0,"RARRES3"
0,0.585983695772595,0.724,0.67,0,0,"CALM2"
0,0.539661769661817,0.873,0.822,0,0,"UBB"
0,0.58954288682621,0.942,0.891,0,0,"IL32"
0,0.477912434060888,0.897,0.862,0,0,"MYL6"
0,0.6177254781016,0.971,0.945,0,0,"H3F3B"
0,0.506082287162975,0.966,0.945,0,0,"UBC"
0,0.583532895213957,0.996,0.978,0,0,"HLA-C"
0,0.590847374398205,0.998,0.988,0,0,"HLA-A"
0,0.411393188106135,0.994,0.989,0,0,"EIF1"
0,0.472551067999334,0.999,0.994,0,0,"HLA-B"
0,0.411348346945296,1,1,0,0,"B2M"
9.88131291682493e-324,3.01366669871572,0.1,0.019,1.9503735435229e-319,0,"OASL"
2.47032822920623e-323,0.498044606326685,0.895,0.859,4.87593385880726e-319,0,"SH3BGRL3"
1.33385521716051e-312,1.24637435527142,0.27,0.156,2.63276342763142e-308,0,"VPS37B"
5.60392229505961e-310,0.664310685177106,0.517,0.462,1.10610218259887e-305,0,"TAGLN2"
