"cluster","label","cells","percentage"
"0","T_cells",9721,98.2912032355915
"0","NK_cell",169,1.70879676440849
"1","T_cells",8737,99.4989181186653
"1",NA,40,0.455528983031545
"1","B_cell",1,0.0113882245757886
"1","Endothelial_cells",1,0.0113882245757886
"1","NK_cell",1,0.0113882245757886
"1","Pre-B_cell_CD34-",1,0.0113882245757886
"2","T_cells",7687,99.6758298755187
"2","NK_cell",16,0.20746887966805
"2",NA,8,0.103734439834025
"2","Epithelial_cells",1,0.0129668049792531
"3","T_cells",6256,99.8404085541015
"3","NK_cell",8,0.1276731567188
"3",NA,2,0.0319182891797
"4","T_cells",5157,92.3200859291085
"4","NK_cell",428,7.66201217329037
"4",NA,1,0.0179018976011457
"5","T_cells",5284,99.7357493393733
"5","NK_cell",12,0.226500566251416
"5",NA,2,0.0377500943752359
"6","T_cells",4587,99.9564175201569
"6",NA,2,0.0435824798431031
"7","T_cells",3815,99.7385620915033
"7","NK_cell",8,0.209150326797386
"7","Hepatocytes",1,0.0261437908496732
"7","Pre-B_cell_CD34-",1,0.0261437908496732
"8","T_cells",3476,99.5988538681949
"8",NA,13,0.372492836676218
"8","NK_cell",1,0.0286532951289398
"9","T_cells",1929,96.1615154536391
"9","NK_cell",49,2.44267198404786
"9",NA,24,1.19641076769691
"9","Pre-B_cell_CD34-",3,0.149551345962114
"9","BM",1,0.0498504486540379
"10","T_cells",808,92.4485125858124
"10","NK_cell",66,7.55148741418764
"11","T_cells",508,91.0394265232975
"11","NK_cell",32,5.73476702508961
"11",NA,7,1.25448028673835
"11","Epithelial_cells",4,0.716845878136201
"11","BM & Prog.",2,0.3584229390681
"11","Erythroblast",2,0.3584229390681
"11","B_cell",1,0.17921146953405
"11","MEP",1,0.17921146953405
"11","Pro-B_cell_CD34+",1,0.17921146953405
"12","T_cells",169,74.1228070175439
"12","NK_cell",59,25.8771929824561
"13","T_cells",74,43.5294117647059
"13","Epithelial_cells",27,15.8823529411765
"13","Pre-B_cell_CD34-",17,10
"13","Endothelial_cells",13,7.64705882352941
"13","Hepatocytes",10,5.88235294117647
"13","Monocyte",7,4.11764705882353
"13","B_cell",6,3.52941176470588
"13","DC",4,2.35294117647059
"13",NA,4,2.35294117647059
"13","HSC_-G-CSF",3,1.76470588235294
"13","NK_cell",2,1.17647058823529
"13","Chondrocytes",1,0.588235294117647
"13","Fibroblasts",1,0.588235294117647
"13","Macrophage",1,0.588235294117647
