"cluster","label","cells","percentage"
"0","T cells",8821,89.1911021233569
"0","CD8+ T cells",1046,10.5763397371082
"0","CD4+ T cells",16,0.161779575328615
"0","NK cells",5,0.0505561172901921
"0",NA,2,0.0202224469160768
"1","CD4+ T cells",5680,64.6851155904794
"1","T cells",2174,24.7580002277645
"1","CD8+ T cells",867,9.87359070720874
"1",NA,57,0.649128800819952
"1","B cells",2,0.0227764491515773
"1","Monocytes",1,0.0113882245757886
"2","T cells",7278,94.3724066390041
"2","CD8+ T cells",406,5.26452282157676
"2","CD4+ T cells",17,0.220435684647303
"2","NK cells",5,0.0648340248962656
"2",NA,5,0.0648340248962656
"2","Monocytes",1,0.0129668049792531
"3","T cells",5439,86.8017874241941
"3","CD4+ T cells",768,12.2566230450048
"3","CD8+ T cells",47,0.750079795722949
"3",NA,11,0.17555059048835
"3","NK cells",1,0.01595914458985
"4","T cells",5149,92.1768707482993
"4","NK cells",397,7.10705334765485
"4","CD8+ T cells",38,0.680272108843537
"4",NA,2,0.0358037952022914
"5","T cells",3939,74.3488108720272
"5","CD4+ T cells",1164,21.9705549263873
"5","CD8+ T cells",186,3.51075877689694
"5",NA,9,0.169875424688562
"6","CD4+ T cells",2774,60.448899542384
"6","T cells",1746,38.047504903029
"6","CD8+ T cells",55,1.19851819568533
"6",NA,14,0.305077358901721
"7","T cells",3741,97.8039215686274
"7","CD4+ T cells",74,1.93464052287582
"7","CD8+ T cells",3,0.0784313725490196
"7",NA,3,0.0784313725490196
"7","NK cells",2,0.0522875816993464
"7","Basophils",1,0.0261437908496732
"7","Dendritic cells",1,0.0261437908496732
"8","CD4+ T cells",2708,77.593123209169
"8","T cells",736,21.0888252148997
"8","CD8+ T cells",36,1.03151862464183
"8",NA,10,0.286532951289398
"9","T cells",1413,70.4386839481555
"9","CD4+ T cells",386,19.2422731804586
"9","CD8+ T cells",147,7.32801595214357
"9",NA,49,2.44267198404786
"9","NK cells",5,0.249252243270189
"9","B cells",3,0.149551345962114
"9","Basophils",1,0.0498504486540379
"9","Monocytes",1,0.0498504486540379
"9","Progenitors",1,0.0498504486540379
"10","T cells",703,80.4347826086957
"10","CD8+ T cells",125,14.3020594965675
"10","NK cells",45,5.1487414187643
"10",NA,1,0.11441647597254
"11","T cells",434,77.7777777777778
"11","CD4+ T cells",61,10.9318996415771
"11","NK cells",30,5.3763440860215
"11","CD8+ T cells",19,3.40501792114695
"11","Progenitors",6,1.0752688172043
"11",NA,5,0.896057347670251
"11","B cells",1,0.17921146953405
"11","Dendritic cells",1,0.17921146953405
"11","Monocytes",1,0.17921146953405
"12","T cells",218,95.6140350877193
"12","NK cells",7,3.07017543859649
"12","CD8+ T cells",3,1.31578947368421
"13","T cells",40,23.5294117647059
"13","Monocytes",29,17.0588235294118
"13",NA,28,16.4705882352941
"13","B cells",27,15.8823529411765
"13","Dendritic cells",27,15.8823529411765
"13","Progenitors",8,4.70588235294118
"13","CD8+ T cells",6,3.52941176470588
"13","CD4+ T cells",3,1.76470588235294
"13","Basophils",2,1.17647058823529
