"cluster","cellAtlas","monacoImmune","Freq"
"0","B_cell","B cells",0
"1","B_cell","B cells",1
"2","B_cell","B cells",0
"3","B_cell","B cells",0
"4","B_cell","B cells",0
"5","B_cell","B cells",0
"6","B_cell","B cells",0
"7","B_cell","B cells",0
"8","B_cell","B cells",0
"9","B_cell","B cells",0
"10","B_cell","B cells",0
"11","B_cell","B cells",1
"12","B_cell","B cells",0
"13","B_cell","B cells",6
"0","BM","B cells",0
"1","BM","B cells",0
"2","BM","B cells",0
"3","BM","B cells",0
"4","BM","B cells",0
"5","BM","B cells",0
"6","BM","B cells",0
"7","BM","B cells",0
"8","BM","B cells",0
"9","BM","B cells",0
"10","BM","B cells",0
"11","BM","B cells",0
"12","BM","B cells",0
"13","BM","B cells",0
"0","BM & Prog.","B cells",0
"1","BM & Prog.","B cells",0
"2","BM & Prog.","B cells",0
"3","BM & Prog.","B cells",0
"4","BM & Prog.","B cells",0
"5","BM & Prog.","B cells",0
"6","BM & Prog.","B cells",0
"7","BM & Prog.","B cells",0
"8","BM & Prog.","B cells",0
"9","BM & Prog.","B cells",0
"10","BM & Prog.","B cells",0
"11","BM & Prog.","B cells",0
"12","BM & Prog.","B cells",0
"13","BM & Prog.","B cells",0
"0","Chondrocytes","B cells",0
"1","Chondrocytes","B cells",0
"2","Chondrocytes","B cells",0
"3","Chondrocytes","B cells",0
"4","Chondrocytes","B cells",0
"5","Chondrocytes","B cells",0
"6","Chondrocytes","B cells",0
"7","Chondrocytes","B cells",0
"8","Chondrocytes","B cells",0
"9","Chondrocytes","B cells",0
"10","Chondrocytes","B cells",0
"11","Chondrocytes","B cells",0
"12","Chondrocytes","B cells",0
"13","Chondrocytes","B cells",0
"0","DC","B cells",0
"1","DC","B cells",0
"2","DC","B cells",0
"3","DC","B cells",0
"4","DC","B cells",0
"5","DC","B cells",0
"6","DC","B cells",0
"7","DC","B cells",0
"8","DC","B cells",0
"9","DC","B cells",0
"10","DC","B cells",0
"11","DC","B cells",0
